From,To,Hop,SignalingPath,SpNotation,Attention
1,418,hop1,ErbB signaling pathway,sp9,1.0
4,1615,hop1,AMPK signaling pathway,sp2,0.037633365078125
4,1615,hop1,Glucagon signaling pathway,sp13,0.022468132625
4,1615,hop1,Insulin signaling pathway,sp20,0.095584850421875
4,1616,hop1,AMPK signaling pathway,sp2,0.043381828265625
4,1616,hop1,Glucagon signaling pathway,sp13,0.0259711420625
4,1616,hop1,Insulin signaling pathway,sp20,0.109803684796875
4,1617,hop1,AMPK signaling pathway,sp2,0.036056770328125
4,1617,hop1,Glucagon signaling pathway,sp13,0.0212721525
4,1617,hop1,Insulin signaling pathway,sp20,0.102701789953125
4,1618,hop1,Glucagon signaling pathway,sp13,0.023448411546875
4,1618,hop1,Insulin signaling pathway,sp20,0.099438585671875
4,1622,hop1,AMPK signaling pathway,sp2,0.038039900390625
4,1622,hop1,Glucagon signaling pathway,sp13,0.0182595863125
4,1622,hop1,Insulin signaling pathway,sp20,0.278433106640625
4,1623,hop1,AMPK signaling pathway,sp2,0.035270008390625
4,1623,hop1,Glucagon signaling pathway,sp13,0.01963493459375
4,1623,hop1,Insulin signaling pathway,sp20,0.180496683296875
4,1624,hop1,Insulin signaling pathway,sp20,0.13354132640625
6,1563,hop1,PPAR signaling pathway,sp29,0.016091394046875
6,1794,hop1,PPAR signaling pathway,sp29,0.01555527415625
6,1795,hop1,PPAR signaling pathway,sp29,0.014503248609375
7,1562,hop1,PPAR signaling pathway,sp29,0.0236590721875
7,1794,hop1,PPAR signaling pathway,sp29,0.0102361515265625
7,1795,hop1,PPAR signaling pathway,sp29,0.0080733244234375
8,1562,hop1,PPAR signaling pathway,sp29,0.0222646634375
8,1563,hop1,PPAR signaling pathway,sp29,0.01381206040625
8,1794,hop1,PPAR signaling pathway,sp29,0.01334004103125
8,1795,hop1,PPAR signaling pathway,sp29,0.0125086100546875
9,1562,hop1,PPAR signaling pathway,sp29,0.020614589515625
9,1563,hop1,PPAR signaling pathway,sp29,0.017457168125
9,1794,hop1,PPAR signaling pathway,sp29,0.0168783878046875
9,1795,hop1,PPAR signaling pathway,sp29,0.015709194640625
10,1562,hop1,PPAR signaling pathway,sp29,0.022237638671875
10,1563,hop1,PPAR signaling pathway,sp29,0.0136530281171875
10,1794,hop1,PPAR signaling pathway,sp29,0.013006036984375
10,1795,hop1,PPAR signaling pathway,sp29,0.01177504215625
11,1562,hop1,PPAR signaling pathway,sp29,0.02338231603125
11,1794,hop1,PPAR signaling pathway,sp29,0.0103840315828125
11,1795,hop1,PPAR signaling pathway,sp29,0.008531093521875
