gene_name,R1042011,R1218460,R1407047,R1660726,R1743384,R1924801,R2045909,R2237803,R2373966,R2455930,R2494273,R2543886,R2880377,R2881301,R3143439,R3176125,R3368249,R3811781,R3922205,R3978789,R4260171,R4527133,R4641987,R5234179,R5374583,R5541746,R5656511,R5739959,R5850046,R5907586,R5927382,R5973191,R6001210,R6058053,R6108690,R6231758,R6267541,R6292415,R6392007,R6665276,R6698302,R6743664,R6751504,R6765868,R6879714,R7143693,R7325259,R7483736,R7796947,R7911202,R7915228,R8044591,R8155560,R8293796,R8466373,R8759568,R8774534,R9072353,R9101940,R9127940,R9330569,R9419876,R9598418,R9904978
ABL1,0.063749,0.078626,0.075052,0.082813,0.089918,0.078485,0.069635,0.098905,0.088602,0.095431,0.07478,0.074601,0.079865,0.090802,0.075098,0.088896,0.083239,0.073434,0.079492,0.073524,0.074652,0.077543,0.075318,0.067797,0.085776,0.082938,0.073334,0.094293,0.078743,0.074243,0.090762,0.076887,0.069673,0.0552,0.091214,0.067385,0.081567,0.108627,0.082017,0.070194,0.069826,0.08739,0.072264,0.085873,0.102406,0.077001,0.082585,0.075337,0.078789,0.084923,0.096384,0.070625,0.086789,0.06426,0.069405,0.07031,0.070713,0.071615,0.090389,0.074542,0.079611,0.075733,0.075028,0.077276
ABL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1,0.051502,0.087707,0.055578,0.061476,0.05752,0.044514,0.077624,0.070313,0.045776,0.067857,0.085546,0.036579,0.080252,0.039701,0.036587,0.050437,0.067237,0.074772,0.055989,0.062455,0.043393,0.096806,0.067622,0.043635,0.054658,0.065097,0.050942,0.057528,0.067867,0.047966,0.077189,0.075445,0.058602,0.065503,0.031349,0.048486,0.062591,0.04037,0.081958,0.046236,0.041227,0.120179,0.037204,0.11812,0.073353,0.059938,0.061221,0.056846,0.021863,0.058038,0.058392,0.02136,0.06201,0.051102,0.034911,0.074528,0.05693,0.052336,0.057308,0.117771,0.06948,0.072776,0.069704,0.049276
ACACA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADL,0.072182,0.058904,0.08093,0.066306,0.08674,0.059222,0.052038,0.072264,0.072158,0.093301,0.061909,0.090096,0.085168,0.064157,0.064635,0.064176,0.080953,0.067045,0.081682,0.080973,0.073448,0.076981,0.080379,0.072826,0.080413,0.091539,0.09091,0.088544,0.069911,0.062737,0.075162,0.063745,0.053382,0.080357,0.070929,0.079793,0.153959,0.101057,0.072361,0.058454,0.080675,0.088198,0.064933,0.098448,0.082617,0.069354,0.055642,0.077983,0.05294,0.062876,0.084613,0.103924,0.070683,0.094679,0.070073,0.066379,0.061503,0.081138,0.066994,0.073596,0.060744,0.07058,0.076388,0.07553
ACADM,0.0202714999999999,0.0073644999999999,0.003607,0.016345,0.001068,0.0,0.0186875,0.0,0.0188235,0.019928,0.0027229999999999,0.005331,0.005554,0.009843,0.0,0.0,0.0076895,0.010231,0.018681,0.006009,0.0131005,0.0008255,0.006937,0.0028755,0.0067675,0.0072765,0.006494,0.001703,0.0141485,0.0002225,0.012528,0.001872,0.0,0.0115105,0.000931,0.0063755,0.0,0.009832,0.0089625,0.0,0.0027165,0.0208825,0.0076005,0.0212625,0.0,0.0,0.002289,0.0075875,0.0238925,0.0084345,0.0061105,0.005489,0.0064115,0.020359,0.007242,0.0103585,0.00722,0.0,0.0,0.007852,0.0,0.016274,0.0042325,0.000528
ACOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
