gene_name,R1042011,R1218460,R1407047,R1660726,R1743384,R1924801,R2045909,R2237803,R2373966,R2455930,R2494273,R2543886,R2880377,R2881301,R3143439,R3176125,R3368249,R3811781,R3922205,R3978789,R4260171,R4527133,R4641987,R5234179,R5374583,R5541746,R5656511,R5739959,R5850046,R5907586,R5927382,R5973191,R6001210,R6058053,R6108690,R6231758,R6267541,R6292415,R6392007,R6665276,R6698302,R6743664,R6751504,R6765868,R6879714,R7143693,R7325259,R7483736,R7796947,R7911202,R7915228,R8044591,R8155560,R8293796,R8466373,R8759568,R8774534,R9072353,R9101940,R9127940,R9330569,R9419876,R9598418,R9904978
ABL1,0.0897151666666666,0.0837816666666666,0.08941375,0.0998218333333333,0.0757325833333333,0.08723275,0.093627,0.0831399166666666,0.0856518333333333,0.098269,0.1035991666666666,0.0842693333333333,0.0918010833333333,0.0891670833333333,0.0851646666666666,0.08686025,0.0920900833333333,0.0942482499999999,0.0878251666666666,0.0841349166666666,0.0773445,0.083673,0.0748573333333333,0.07874225,0.0900901666666666,0.08950525,0.09222925,0.0919461666666666,0.0836800833333333,0.0882470833333333,0.08902675,0.0851790833333333,0.0838385,0.0889113333333333,0.08162375,0.0911962499999999,0.0933254166666666,0.0849564166666666,0.0915203333333333,0.0829771666666666,0.07951025,0.09345125,0.0844199166666666,0.08146375,0.0818189166666666,0.0990205833333333,0.0790610833333333,0.0911769166666666,0.0870779999999999,0.099835,0.0846445,0.0824461666666666,0.0813103333333333,0.0895869166666666,0.0919344166666666,0.0864679166666666,0.0830475,0.0865330833333333,0.08397975,0.0807184166666666,0.0865216666666666,0.0847186666666666,0.0834830833333333,0.0906714166666666
ABL2,0.3610828333333333,0.3848483333333333,0.3816838333333334,0.3372003333333333,0.3317521666666667,0.3671678333333333,0.3474255,0.349014,0.3853481666666666,0.3401968333333333,0.377593,0.3356805,0.3512343333333333,0.3830406666666666,0.382963,0.3478245,0.3660311666666667,0.3795346666666666,0.3854761666666667,0.3710819999999999,0.3566158333333333,0.3827725,0.346162,0.3581823333333333,0.3077338333333333,0.3758703333333333,0.3583698333333333,0.354969,0.3500563333333333,0.3703871666666666,0.3791483333333333,0.3999915,0.3237558333333333,0.3732353333333333,0.3555146666666666,0.3478793333333334,0.4110465,0.3573538333333333,0.3280131666666666,0.3583145,0.3857518333333333,0.3729901666666666,0.3591275,0.3806871666666667,0.3625485,0.3283456666666667,0.3810795,0.3415708333333333,0.3325295,0.3857461666666666,0.3602561666666666,0.3818316666666666,0.398465,0.3715128333333333,0.3545879999999999,0.373926,0.3445906666666666,0.3637826666666666,0.4091345,0.3319858333333333,0.3646143333333334,0.3653133333333333,0.3832656666666666,0.3385614999999999
ACAA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACA,0.5299653333333333,0.5222848333333333,0.5170608333333334,0.4823986666666666,0.5262278333333333,0.5228061666666667,0.5267356666666667,0.5113325000000001,0.4953658333333333,0.5024460000000001,0.5220475,0.506221,0.5204406666666667,0.5297558333333333,0.5084581666666667,0.5307725,0.510464,0.4956033333333333,0.5216726666666667,0.5228001666666667,0.53027,0.5506476666666666,0.5172318333333333,0.512035,0.5051361666666666,0.5355881666666666,0.5180333333333333,0.5037005,0.5022856666666666,0.5339256666666666,0.5145203333333334,0.5355493333333333,0.5245111666666666,0.5250551666666666,0.5196428333333333,0.5214125,0.5428646666666667,0.5073165,0.5012913333333334,0.5360248333333334,0.5437033333333333,0.5171176666666667,0.52307,0.5031958333333334,0.5139833333333333,0.4928733333333333,0.5260848333333333,0.5116506666666667,0.5210958333333333,0.4991498333333333,0.531741,0.4967881666666667,0.5071471666666666,0.5309918333333333,0.5249845000000001,0.5118483333333333,0.5132028333333333,0.5027503333333333,0.5395991666666667,0.4889708333333333,0.5326901666666667,0.5360545,0.5270830000000001,0.5259793333333334
ACACB,0.8982709999999999,0.8991910000000001,0.872067,0.8820043333333333,0.880801,0.9163693333333334,0.8844046666666667,0.8805463333333333,0.8845040000000001,0.8901473333333333,0.8852593333333334,0.9073116666666666,0.8991600000000001,0.8967733333333333,0.862453,0.9083626666666668,0.862549,0.8980239999999999,0.8652983333333334,0.88373,0.9064353333333334,0.898345,0.897363,0.9002566666666666,0.8758319999999999,0.865615,0.8857626666666666,0.8858783333333333,0.8684436666666667,0.897604,0.8884293333333334,0.9300363333333334,0.9104356666666668,0.8714196666666667,0.9241296666666666,0.920702,0.8744396666666666,0.9019513333333332,0.8669743333333333,0.9131906666666666,0.911575,0.8754976666666666,0.8824299999999999,0.8598096666666667,0.8846906666666667,0.915885,0.9358066666666668,0.85417,0.8660023333333333,0.839502,0.8954460000000001,0.8368163333333333,0.8930219999999999,0.905475,0.9084103333333332,0.8822869999999999,0.8922246666666668,0.884897,0.9055756666666668,0.8406436666666667,0.8998413333333334,0.894778,0.8828290000000001,0.8905473333333332
ACADL,0.509683,0.680218,0.52242,0.564932,0.589345,0.51283,0.604619,0.601576,0.57569,0.604994,0.571363,0.543389,0.585532,0.52422,0.536045,0.582381,0.419243,0.527327,0.504611,0.572592,0.48268,0.64155,0.580918,0.526481,0.566482,0.532156,0.551113,0.492185,0.520929,0.60265,0.593738,0.510513,0.579498,0.499073,0.557525,0.584699,0.535648,0.524564,0.572047,0.563353,0.60927,0.530844,0.602323,0.499785,0.464182,0.458014,0.680361,0.574966,0.427319,0.647077,0.536975,0.544735,0.498834,0.573836,0.586982,0.571597,0.531022,0.504075,0.571702,0.278996,0.60343,0.555822,0.613381,0.604457
ACADM,0.327011,0.1197,0.1221515,0.1246645,0.4374055,0.1091834999999999,0.441149,0.3026815,0.1392499999999999,0.320978,0.131028,0.2657205,0.1170245,0.13867,0.4833594999999999,0.391745,0.2557155,0.3283264999999999,0.139792,0.111309,0.4817705,0.3362325,0.3106425,0.1339795,0.2870074999999999,0.1385095,0.1258485,0.138809,0.1382229999999999,0.2836135,0.133049,0.2839715,0.109149,0.1308565,0.1239265,0.1077434999999999,0.1609795,0.437446,0.1258925,0.305655,0.4795255,0.1484975,0.14041,0.2887119999999999,0.1358075,0.334299,0.1010875,0.4183225,0.4752695,0.2930925,0.3603785,0.1146965,0.513619,0.1216555,0.448831,0.3193025,0.316666,0.2490939999999999,0.3253074999999999,0.095585,0.3015345,0.2915069999999999,0.3378995,0.2818374999999999
ACOX1,0.279569,0.275482,0.29488175,0.266967,0.2825182499999999,0.2200695,0.26168725,0.2820085,0.2303425,0.269055,0.2815265,0.2747327499999999,0.292418,0.285726,0.28221575,0.2549135,0.2926295,0.241799,0.282641,0.2900765,0.2487315,0.30117775,0.264429,0.273626,0.26218825,0.28363825,0.27192775,0.27548425,0.27443525,0.28682825,0.2894555,0.28207175,0.28571725,0.27990225,0.28139425,0.296752,0.26509925,0.27414775,0.2943685,0.26152825,0.31654225,0.27434975,0.26182725,0.24359525,0.285431,0.26693525,0.25107825,0.28711925,0.2790365,0.26690075,0.288746,0.2610225,0.2218355,0.2700685,0.26576725,0.281244,0.2623565,0.263251,0.27280775,0.24808225,0.25418125,0.2911655,0.284497,0.293556
ACOX2,0.595101,0.594466,0.592607,0.602911,0.575823,0.572169,0.625999,0.557941,0.634035,0.583333,0.625681,0.57953,0.56653,0.628883,0.616678,0.617647,0.617482,0.616215,0.527594,0.607068,0.608813,0.701093,0.659627,0.589768,0.573584,0.595593,0.616526,0.604237,0.581544,0.635611,0.628259,0.590071,0.637822,0.62009,0.575749,0.5982,0.541077,0.581956,0.570023,0.633615,0.589974,0.603109,0.630067,0.613424,0.616903,0.57434,0.585931,0.634821,0.618556,0.577903,0.621685,0.578469,0.640274,0.623205,0.579302,0.628373,0.59154,0.564899,0.610576,0.61418,0.559899,0.593663,0.587574,0.606165
ACOX3,0.4755795,0.478038,0.4755785,0.4829395,0.4731424999999999,0.4787365,0.4760425,0.476879,0.4810945,0.481785,0.4725175,0.4624705,0.4871255,0.4877775,0.4774865,0.4802225,0.473696,0.4932365,0.477581,0.4801165,0.466429,0.459007,0.4798815,0.4859035,0.466943,0.4747605,0.47481,0.4686075,0.471335,0.4840394999999999,0.4654215,0.494428,0.4809124999999999,0.4935975,0.4849845,0.4926729999999999,0.4813955,0.4908545,0.465677,0.4935815,0.460804,0.482132,0.472712,0.48491,0.471189,0.4719945,0.4759965,0.4762535,0.499897,0.478793,0.4845575,0.4811169999999999,0.4857785,0.4808805,0.4815629999999999,0.4663275,0.4861995,0.4616969999999999,0.483849,0.4851065,0.478533,0.4773219999999999,0.4704165,0.486415
