gene_name,R1262106,R1287407,R1489314,R1531359,R1617674,R1687970,R1710143,R1822146,R2079629,R2111091,R2516394,R2575548,R2624931,R2678902,R2731324,R2731764,R2803490,R3408213,R3477250,R3535957,R3739042,R3740754,R3741788,R3757880,R3874626,R4119160,R4147686,R4276053,R4531942,R4917253,R5177066,R5211056,R5334541,R5369295,R5449861,R5546461,R5766881,R5965031,R6114572,R6132310,R6759986,R6847727,R6862468,R7025378,R7295303,R7738727,R7791442,R7876628,R7881801,R7959406,R8444624,R8457289,R8626395,R8704458,R8845676,R8937093,R9088015,R9286126,R9354381,R9489952,R9596785,R9680160,R9781891,R9936070
ABL1,0.080111,0.079313,0.094081,0.076834,0.071132,0.090699,0.085521,0.079401,0.066612,0.066208,0.08698,0.079188,0.061386,0.084841,0.0782,0.07532,0.088085,0.083394,0.082297,0.082468,0.077912,0.067576,0.086941,0.08838,0.087708,0.079534,0.076647,0.07055,0.083209,0.068347,0.083598,0.064414,0.076898,0.066825,0.075436,0.104562,0.082125,0.088723,0.078507,0.067713,0.066241,0.08685,0.089589,0.084639,0.081826,0.062719,0.079678,0.080204,0.071402,0.07688,0.075429,0.082494,0.070783,0.070351,0.070322,0.075345,0.072284,0.087198,0.072881,0.06277,0.08051,0.09245,0.07418,0.078574
ABL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1,0.076645,0.044503,0.052998,0.04594,0.051211,0.073931,0.056877,0.041615,0.033618,0.066598,0.042501,0.070465,0.065517,0.052066,0.052876,0.08848,0.055244,0.078163,0.06777,0.034564,0.064448,0.050329,0.050071,0.064173,0.093611,0.054108,0.052625,0.071408,0.049401,0.049076,0.059587,0.126134,0.107056,0.053539,0.053347,0.042644,0.055209,0.051305,0.039126,0.053097,0.011299,0.059182,0.038241,0.031548,0.072613,0.062177,0.057867,0.054578,0.066444,0.043081,0.038918,0.05314,0.074008,0.0,0.051746,0.059828,0.020354,0.046763,0.066808,0.02243,0.061692,0.066667,0.08602,0.052739
ACACA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADL,0.08493,0.058879,0.079129,0.057633,0.098674,0.101705,0.075837,0.067426,0.050966,0.078557,0.09154,0.066584,0.064567,0.096859,0.079355,0.058836,0.070317,0.066199,0.072431,0.078639,0.079608,0.064519,0.078921,0.079587,0.067446,0.076155,0.070768,0.070882,0.075372,0.069626,0.084794,0.071109,0.065167,0.057755,0.07268,0.091135,0.065976,0.076233,0.089029,0.071075,0.085766,0.067287,0.092552,0.088226,0.071443,0.077298,0.079087,0.068495,0.05529,0.063824,0.088777,0.068135,0.072421,0.064488,0.075045,0.051906,0.06675,0.07872,0.050558,0.047773,0.076017,0.085239,0.081607,0.060516
ACADM,0.001811,6.55e-05,0.0020375,0.002432,0.027888,0.0144825,0.0098395,9.75e-05,0.003896,0.004102,0.0090925,0.0081755,0.0195355,0.005518,0.0069229999999999,0.005836,0.0013275,0.0109535,0.021172,0.010521,0.0331464999999999,0.014369,0.0034995,0.006055,0.010597,0.0012915,0.0065089999999999,0.007506,0.0074055,0.0004175,0.00528,0.0026335,0.004599,0.0001095,0.0005255,0.0051275,0.0067634999999999,0.011194,0.0057355,0.006856,0.0,0.013632,0.0044895,0.0248795,0.008971,0.0169485,0.0232025,0.0,0.0093335,0.0269435,0.005209,0.008642,0.018386,0.024002,0.003259,0.0063735,0.0025375,0.0106325,0.0278199999999999,0.000532,0.021524,0.0120445,0.0126994999999999,0.017368
ACOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
