From,To,Edge_type,Validation
1,13,cancer-cell,truth
1,21,cancer-cell,truth
1,26,cancer-cell,truth
1,27,cancer-cell,truth
1,28,cancer-cell,truth
1,47,cancer-cell,truth
2,37,cancer-cell,truth
2,38,cancer-cell,truth
2,39,cancer-cell,truth
2,44,cancer-cell,truth
2,48,cancer-cell,truth
3,17,cancer-cell,truth
3,18,cancer-cell,truth
3,24,cancer-cell,truth
3,46,cancer-cell,truth
4,23,cancer-cell,truth
4,36,cancer-cell,truth
4,45,cancer-cell,truth
5,11,cancer-cell,truth
5,16,cancer-cell,truth
5,19,cancer-cell,truth
5,20,cancer-cell,truth
5,29,cancer-cell,truth
5,30,cancer-cell,truth
5,31,cancer-cell,truth
6,25,cancer-cell,truth
6,40,cancer-cell,truth
6,41,cancer-cell,truth
6,42,cancer-cell,truth
6,49,cancer-cell,truth
6,50,cancer-cell,truth
7,22,cancer-cell,truth
7,32,cancer-cell,truth
7,33,cancer-cell,truth
7,34,cancer-cell,truth
7,43,cancer-cell,truth
8,15,cancer-cell,truth
8,35,cancer-cell,truth
9,10,cancer-cell,truth
9,12,cancer-cell,truth
9,14,cancer-cell,truth
9,51,cancer-cell,truth
13,59,cell-sp,validated
13,63,cell-sp,validated
13,66,cell-sp,non-validated
13,67,cell-sp,validated
21,53,cell-sp,validated
21,58,cell-sp,validated
21,63,cell-sp,non-validated
21,66,cell-sp,non-validated
26,71,cell-sp,validated
26,59,cell-sp,non-validated
26,64,cell-sp,non-validated
26,63,cell-sp,validated
26,66,cell-sp,validated
26,68,cell-sp,non-validated
27,53,cell-sp,validated
27,57,cell-sp,non-validated
27,59,cell-sp,non-validated
27,63,cell-sp,validated
27,66,cell-sp,non-validated
27,67,cell-sp,validated
28,53,cell-sp,validated
28,55,cell-sp,non-validated
28,59,cell-sp,validated
28,63,cell-sp,validated
28,66,cell-sp,non-validated
28,67,cell-sp,non-validated
47,52,cell-sp,non-validated
47,53,cell-sp,validated
47,71,cell-sp,non-validated
47,56,cell-sp,non-validated
47,63,cell-sp,validated
47,68,cell-sp,non-validated
37,53,cell-sp,non-validated
37,59,cell-sp,non-validated
37,60,cell-sp,non-validated
37,63,cell-sp,validated
37,66,cell-sp,non-validated
38,53,cell-sp,non-validated
38,57,cell-sp,non-validated
38,63,cell-sp,non-validated
38,66,cell-sp,non-validated
39,56,cell-sp,non-validated
39,58,cell-sp,non-validated
39,63,cell-sp,non-validated
39,65,cell-sp,non-validated
44,58,cell-sp,non-validated
44,63,cell-sp,non-validated
44,66,cell-sp,non-validated
48,59,cell-sp,validated
48,63,cell-sp,validated
48,66,cell-sp,validated
48,67,cell-sp,non-validated
48,70,cell-sp,validated
17,55,cell-sp,non-validated
17,59,cell-sp,non-validated
17,63,cell-sp,validated
17,66,cell-sp,non-validated
17,67,cell-sp,non-validated
18,53,cell-sp,non-validated
18,55,cell-sp,non-validated
18,56,cell-sp,non-validated
18,63,cell-sp,non-validated
18,69,cell-sp,non-validated
24,53,cell-sp,non-validated
24,55,cell-sp,non-validated
24,59,cell-sp,non-validated
24,63,cell-sp,validated
46,55,cell-sp,non-validated
46,59,cell-sp,non-validated
46,63,cell-sp,non-validated
46,66,cell-sp,non-validated
46,67,cell-sp,validated
23,55,cell-sp,non-validated
23,63,cell-sp,validated
23,66,cell-sp,validated
36,53,cell-sp,validated
36,54,cell-sp,non-validated
36,56,cell-sp,validated
36,63,cell-sp,validated
36,66,cell-sp,non-validated
45,52,cell-sp,non-validated
45,63,cell-sp,non-validated
45,68,cell-sp,non-validated
11,53,cell-sp,validated
11,58,cell-sp,validated
11,59,cell-sp,validated
11,63,cell-sp,validated
11,66,cell-sp,validated
11,67,cell-sp,non-validated
16,58,cell-sp,non-validated
16,63,cell-sp,non-validated
16,66,cell-sp,non-validated
19,59,cell-sp,validated
19,63,cell-sp,non-validated
19,66,cell-sp,non-validated
19,67,cell-sp,non-validated
20,53,cell-sp,non-validated
20,56,cell-sp,non-validated
20,57,cell-sp,non-validated
20,63,cell-sp,non-validated
20,66,cell-sp,non-validated
20,68,cell-sp,non-validated
29,59,cell-sp,validated
29,63,cell-sp,validated
29,66,cell-sp,non-validated
29,67,cell-sp,non-validated
30,53,cell-sp,non-validated
30,56,cell-sp,validated
30,61,cell-sp,validated
30,66,cell-sp,non-validated
30,68,cell-sp,non-validated
30,69,cell-sp,non-validated
31,52,cell-sp,non-validated
31,55,cell-sp,non-validated
31,63,cell-sp,validated
31,70,cell-sp,validated
25,53,cell-sp,non-validated
25,57,cell-sp,non-validated
25,63,cell-sp,validated
25,66,cell-sp,non-validated
40,52,cell-sp,non-validated
40,59,cell-sp,validated
40,63,cell-sp,validated
40,68,cell-sp,non-validated
41,53,cell-sp,non-validated
41,62,cell-sp,non-validated
41,63,cell-sp,validated
41,66,cell-sp,non-validated
42,53,cell-sp,validated
42,56,cell-sp,non-validated
42,66,cell-sp,non-validated
42,70,cell-sp,non-validated
49,53,cell-sp,validated
49,57,cell-sp,non-validated
49,63,cell-sp,non-validated
49,66,cell-sp,non-validated
49,69,cell-sp,non-validated
50,71,cell-sp,validated
50,56,cell-sp,non-validated
50,57,cell-sp,non-validated
50,62,cell-sp,non-validated
50,64,cell-sp,non-validated
50,66,cell-sp,non-validated
50,68,cell-sp,non-validated
22,53,cell-sp,validated
22,71,cell-sp,validated
22,56,cell-sp,non-validated
22,66,cell-sp,non-validated
32,59,cell-sp,validated
32,63,cell-sp,validated
32,66,cell-sp,non-validated
32,67,cell-sp,non-validated
32,68,cell-sp,non-validated
33,52,cell-sp,non-validated
33,71,cell-sp,validated
33,63,cell-sp,validated
33,66,cell-sp,non-validated
34,57,cell-sp,non-validated
34,63,cell-sp,validated
34,69,cell-sp,non-validated
43,53,cell-sp,validated
43,59,cell-sp,validated
43,63,cell-sp,validated
43,66,cell-sp,validated
43,67,cell-sp,validated
15,57,cell-sp,validated
15,63,cell-sp,validated
35,59,cell-sp,validated
35,63,cell-sp,validated
35,66,cell-sp,validated
35,67,cell-sp,validated
10,53,cell-sp,validated
10,59,cell-sp,validated
10,63,cell-sp,validated
10,66,cell-sp,non-validated
10,67,cell-sp,non-validated
12,53,cell-sp,validated
12,58,cell-sp,validated
12,59,cell-sp,validated
12,63,cell-sp,validated
12,66,cell-sp,validated
12,67,cell-sp,non-validated
14,52,cell-sp,non-validated
