SpNotation,SignalingPath,Attention,cell_line_name,cell_line_num,mean_rank
sp5,B cell receptor signaling pathway,0.1262135958461165,A498,1,1
sp14,GnRH signaling pathway,0.06601941961440774,A498,1,2
sp24,NOD-like receptor signaling pathway,0.06410256594230385,A498,1,3
sp32,RIG-I-like receptor signaling pathway,0.0636942697742038,A498,1,4
sp11,Fc epsilon RI signaling pathway,0.056756758530378364,A498,1,5
sp38,T cell receptor signaling pathway,0.05572519248454961,A498,1,6
sp18,Hippo signaling pathway - multiple species,0.05327869007868851,A498,1,7
sp40,TNF signaling pathway,0.047580646528290305,A498,1,8
sp37,Sphingolipid signaling pathway,0.04365079500562561,A498,1,9
sp9,ErbB signaling pathway,0.043419268486607855,A498,1,10
sp36,Signaling pathways regulating pluripotency of stem cells,0.04252336562632709,A498,1,11
sp30,Phospholipase D signaling pathway,0.03966789781589482,A498,1,12
sp42,Toll-like receptor signaling pathway,0.039310346051972395,A498,1,13
sp3,Adipocytokine signaling pathway,0.038062285002768155,A498,1,14
sp6,C-type lectin receptor signaling pathway,0.03801478432579724,A498,1,15
sp31,Prolactin signaling pathway,0.03769841406859787,A498,1,16
sp43,VEGF signaling pathway,0.03613569399185839,A498,1,17
sp20,Insulin signaling pathway,0.03497230005848035,A498,1,18
sp23,NF-kappa B signaling pathway,0.02991886484354968,A498,1,19
sp7,Calcium signaling pathway,0.028895548701138682,A498,1,20
sp10,Estrogen signaling pathway,0.028635779422288454,A498,1,21
sp39,TGF-beta signaling pathway,0.02829457435342634,A498,1,22
sp1,AGE-RAGE signaling pathway in diabetic complications,0.028156222719863747,A498,1,23
sp46,cGMP-PKG signaling pathway,0.02734571085153034,A498,1,24
sp35,Relaxin signaling pathway,0.027156550269808292,A498,1,25
sp27,Oxytocin signaling pathway,0.026946108436315928,A498,1,26
sp16,Hedgehog signaling pathway,0.02681564338237987,A498,1,27
sp13,Glucagon signaling pathway,0.02586206971425572,A498,1,28
sp47,mTOR signaling pathway,0.02479500247176927,A498,1,29
sp2,AMPK signaling pathway,0.02430330598592435,A498,1,30
