SpNotation,SignalingPath,Attention,cell_line_name,cell_line_num,mean_rank
sp5,B cell receptor signaling pathway,0.12621359586407765,EKVX,7,1
sp14,GnRH signaling pathway,0.06601941952718444,EKVX,7,2
sp24,NOD-like receptor signaling pathway,0.06410256582920278,EKVX,7,3
sp32,RIG-I-like receptor signaling pathway,0.06369426949171973,EKVX,7,4
sp11,Fc epsilon RI signaling pathway,0.05675675857724322,EKVX,7,5
sp38,T cell receptor signaling pathway,0.05572519308319082,EKVX,7,6
sp18,Hippo signaling pathway - multiple species,0.05327869002709015,EKVX,7,7
sp40,TNF signaling pathway,0.04758064672982256,EKVX,7,8
sp37,Sphingolipid signaling pathway,0.04365079501602039,EKVX,7,9
sp9,ErbB signaling pathway,0.04341926841557665,EKVX,7,10
sp36,Signaling pathways regulating pluripotency of stem cells,0.04252336596721494,EKVX,7,11
sp30,Phospholipase D signaling pathway,0.03966789802392987,EKVX,7,12
sp42,Toll-like receptor signaling pathway,0.03931034651982067,EKVX,7,13
sp3,Adipocytokine signaling pathway,0.038062284438546694,EKVX,7,14
sp6,C-type lectin receptor signaling pathway,0.038014784802449825,EKVX,7,15
sp31,Prolactin signaling pathway,0.037698413930345225,EKVX,7,16
sp43,VEGF signaling pathway,0.03613569456930677,EKVX,7,17
sp20,Insulin signaling pathway,0.03497230044996051,EKVX,7,18
sp23,NF-kappa B signaling pathway,0.029918865102484773,EKVX,7,19
sp7,Calcium signaling pathway,0.028895548781155807,EKVX,7,20
sp10,Estrogen signaling pathway,0.0286357795349824,EKVX,7,21
sp39,TGF-beta signaling pathway,0.02829457485482944,EKVX,7,22
sp1,AGE-RAGE signaling pathway in diabetic complications,0.02815622247237964,EKVX,7,23
sp46,cGMP-PKG signaling pathway,0.027345710782976904,EKVX,7,24
sp35,Relaxin signaling pathway,0.02715655070374333,EKVX,7,25
sp27,Oxytocin signaling pathway,0.02694610885454226,EKVX,7,26
sp16,Hedgehog signaling pathway,0.026815643958887136,EKVX,7,27
sp13,Glucagon signaling pathway,0.025862069891862804,EKVX,7,28
sp47,mTOR signaling pathway,0.024795002611906272,EKVX,7,29
sp2,AMPK signaling pathway,0.024303305854242827,EKVX,7,30
sp25,Neurotrophin signaling pathway,0.024084779414586692,EKVX,7,31
sp29,PPAR signaling pathway,0.023255814548231488,EKVX,7,32
sp15,HIF-1 signaling pathway,0.02316933712363514,EKVX,7,33
sp19,IL-17 signaling pathway,0.021325210390289395,EKVX,7,34
sp26,Notch signaling pathway,0.020408164106032637,EKVX,7,35
sp4,Apelin signaling pathway,0.02011735233683276,EKVX,7,36
sp12,FoxO signaling pathway,0.01973684325918584,EKVX,7,37
sp41,Thyroid hormone signaling pathway,0.019354839340599332,EKVX,7,38
sp34,Ras signaling pathway,0.019012676364070474,EKVX,7,39
sp33,Rap1 signaling pathway,0.018918318210485095,EKVX,7,40
sp48,p53 signaling pathway,0.018413598672146727,EKVX,7,41
sp22,MAPK signaling pathway,0.01815780857344979,EKVX,7,42
sp45,cAMP signaling pathway,0.016981133032566233,EKVX,7,43
sp44,Wnt signaling pathway,0.016839707319695352,EKVX,7,44
sp17,Hippo signaling pathway,0.01663280906484003,EKVX,7,45
sp8,Chemokine signaling pathway,0.01552328535026313,EKVX,7,46
sp28,PI3K-Akt signaling pathway,0.015519087232715638,EKVX,7,47
sp21,JAK-STAT signaling pathway,0.012940529212295415,EKVX,7,48
