SpNotation,SignalingPath,Attention,cell_line_name,cell_line_num,mean_rank
sp2,AMPK signaling pathway,0.5043351985138264,MCF7,17,1
sp32,RIG-I-like receptor signaling pathway,0.366756417,MCF7,17,2
sp5,B cell receptor signaling pathway,0.352830578,MCF7,17,3
sp10,Estrogen signaling pathway,0.270703262062,MCF7,17,4
sp29,PPAR signaling pathway,0.18860607744743332,MCF7,17,5
sp24,NOD-like receptor signaling pathway,0.14288897795,MCF7,17,6
sp15,HIF-1 signaling pathway,0.14113905952040373,MCF7,17,7
sp31,Prolactin signaling pathway,0.09936194039999995,MCF7,17,8
sp4,Apelin signaling pathway,0.09740339409999993,MCF7,17,9
sp38,T cell receptor signaling pathway,0.07781742197857142,MCF7,17,10
sp9,ErbB signaling pathway,0.06631444580000001,MCF7,17,11
sp37,Sphingolipid signaling pathway,0.060446050700000004,MCF7,17,12
sp30,Phospholipase D signaling pathway,0.03827321174727272,MCF7,17,13
sp42,Toll-like receptor signaling pathway,0.035101032709285704,MCF7,17,14
sp14,GnRH signaling pathway,0.03377849242857142,MCF7,17,15
sp36,Signaling pathways regulating pluripotency of stem cells,0.030877317068965498,MCF7,17,16
sp41,Thyroid hormone signaling pathway,0.030780606350654414,MCF7,17,17
sp3,Adipocytokine signaling pathway,0.02975042843333332,MCF7,17,18
sp11,Fc epsilon RI signaling pathway,0.02915192043333333,MCF7,17,19
sp47,mTOR signaling pathway,0.026605600571658953,MCF7,17,20
sp25,Neurotrophin signaling pathway,0.025932892941999984,MCF7,17,21
sp17,Hippo signaling pathway,0.02451016253051612,MCF7,17,22
sp6,C-type lectin receptor signaling pathway,0.0242224013,MCF7,17,23
sp23,NF-kappa B signaling pathway,0.024185341674999975,MCF7,17,24
sp13,Glucagon signaling pathway,0.02375407401999999,MCF7,17,25
sp28,PI3K-Akt signaling pathway,0.020241743500088553,MCF7,17,26
sp40,TNF signaling pathway,0.018896951922499974,MCF7,17,27
sp22,MAPK signaling pathway,0.017424397219090886,MCF7,17,28
sp27,Oxytocin signaling pathway,0.01663602736,MCF7,17,29
sp1,AGE-RAGE signaling pathway in diabetic complications,0.016324015959999973,MCF7,17,30
sp7,Calcium signaling pathway,0.015478482655,MCF7,17,31
sp20,Insulin signaling pathway,0.015464464358099974,MCF7,17,32
sp16,Hedgehog signaling pathway,0.01293456806999995,MCF7,17,33
sp33,Rap1 signaling pathway,0.012559215372512481,MCF7,17,34
sp35,Relaxin signaling pathway,0.01224533618649999,MCF7,17,35
sp8,Chemokine signaling pathway,0.010948999689999983,MCF7,17,36
sp19,IL-17 signaling pathway,0.010528640539999983,MCF7,17,37
sp48,p53 signaling pathway,0.009647999725,MCF7,17,38
sp44,Wnt signaling pathway,0.009115115194634128,MCF7,17,39
sp12,FoxO signaling pathway,0.009013799976666667,MCF7,17,40
sp21,JAK-STAT signaling pathway,0.007937998715999959,MCF7,17,41
sp45,cAMP signaling pathway,0.007297888804166634,MCF7,17,42
