DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,node_type,att_deg
1505.0,0.0,0.0,1490.0,1.0,0.463388432,HOP-92,2.555555555555556,1847,1505,1145,,,,
1505.0,0.0,0.0,1490.0,1.0,0.463388432,HOP-92,2.555555555555556,1847,1505,1216,,,,
1505.0,0.0,0.0,1490.0,1.0,0.463388432,HOP-92,2.555555555555556,1847,1505,1217,,,,
1505.0,0.0,0.0,1490.0,1.0,0.463388432,HOP-92,2.555555555555556,1847,1505,1218,,,,
1500.0,0.0,0.0,1505.0,0.0,0.0,HOP-92,0.7777777777777778,927,1500,707,,,,
1504.0,3.0,3.8402135328,1501.0,0.0,0.0,HOP-92,0.7777777777777778,914,1504,885,885.0,NFKB1,gene,2.9132314948
1504.0,3.0,3.8402135328,1501.0,0.0,0.0,HOP-92,0.7777777777777778,914,1504,1106,1106.0,PTGS2,gene,0.463388432
1504.0,3.0,3.8402135328,1501.0,0.0,0.0,HOP-92,0.7777777777777778,914,1504,1399,1399.0,TNF,gene,0.463593606
1500.0,0.0,0.0,1505.0,0.0,0.0,HOP-92,0.7777777777777778,927,1500,1,,,,
1504.0,3.0,3.8402135328,1501.0,0.0,0.0,HOP-92,0.7777777777777778,914,1504,439,,,,
1499.0,0.0,0.0,1491.0,0.0,0.0,HOP-92,0.7777777777777778,2122,1499,401,,,,
1499.0,0.0,0.0,1491.0,0.0,0.0,HOP-92,0.7777777777777778,2122,1499,980,,,,
1499.0,0.0,0.0,1501.0,0.0,0.0,HOP-92,0.6666666666666666,241,1499,980,,,,
1499.0,0.0,0.0,1501.0,0.0,0.0,HOP-92,0.6666666666666666,241,1499,401,,,,
1500.0,0.0,0.0,1491.0,0.0,0.0,HOP-92,0.3333333333333333,1435,1500,707,,,,
1500.0,0.0,0.0,1491.0,0.0,0.0,HOP-92,0.3333333333333333,1435,1500,1,,,,
1499.0,0.0,0.0,1505.0,0.0,0.0,HOP-92,0.2222222222222222,1620,1499,980,,,,
1499.0,0.0,0.0,1505.0,0.0,0.0,HOP-92,0.2222222222222222,1620,1499,401,,,,
1504.0,3.0,3.8402135328,1505.0,0.0,0.0,HOP-92,0.1111111111111111,960,1504,439,,,,
1504.0,3.0,3.8402135328,1505.0,0.0,0.0,HOP-92,0.1111111111111111,960,1504,885,885.0,NFKB1,gene,2.9132314948
1504.0,3.0,3.8402135328,1505.0,0.0,0.0,HOP-92,0.1111111111111111,960,1504,1106,1106.0,PTGS2,gene,0.463388432
1504.0,3.0,3.8402135328,1505.0,0.0,0.0,HOP-92,0.1111111111111111,960,1504,1399,1399.0,TNF,gene,0.463593606
1495.0,0.0,0.0,1491.0,0.0,0.0,HOP-92,-0.4444444444444444,1687,1495,401,,,,
1495.0,0.0,0.0,1502.0,0.0,0.0,HOP-92,-1.6666666666666667,2373,1495,401,,,,
1499.0,0.0,0.0,1494.0,0.0,0.0,HOP-92,-2.111111111111111,638,1499,980,,,,
1499.0,0.0,0.0,1494.0,0.0,0.0,HOP-92,-2.111111111111111,638,1499,401,,,,
1504.0,3.0,3.8402135328,1503.0,1.0,1.693773188,HOP-92,-2.7777777777777777,585,1504,1399,1399.0,TNF,gene,0.463593606
1504.0,3.0,3.8402135328,1503.0,1.0,1.693773188,HOP-92,-2.7777777777777777,585,1504,1106,1106.0,PTGS2,gene,0.463388432
1504.0,3.0,3.8402135328,1503.0,1.0,1.693773188,HOP-92,-2.7777777777777777,585,1504,885,885.0,NFKB1,gene,2.9132314948
