"node_num","node_name","node_type","att_deg"
1,"ABL1","gene",0.3531348858
2,"ABL2","gene",0.24652953552
3,"ACAA1","gene",0.09774239258
4,"ACACA","gene",0.931631145864302
5,"ACADM","gene",0.0943148747
6,"ACOX1","gene",0.14006729044
7,"ACOX3","gene",0.1467448721
8,"ACSBG2","gene",0.143681825494
9,"ACSL1","gene",0.1163642666
10,"ACSL3","gene",0.11430258352
11,"ACSL6","gene",0.130313716006
12,"ACTA2","gene",0.493768717
13,"ACTB","gene",7.69328897795306
14,"ACTG1","gene",0.303905850220659
15,"ACVR1","gene",0.91849616056
16,"ACVR1B","gene",0.85301624728
17,"ACVR1C","gene",0.80390842122
18,"ACVR2A","gene",0.84124776386
19,"ACVR2B","gene",0.8636595075
20,"ADAM17","gene",0.04473039044
21,"ADCY1","gene",4.673202890634
22,"ADCY2","gene",4.85938476728
23,"ADCY3","gene",4.3966954826
24,"ADCY4","gene",4.3003193733
25,"ADCY5","gene",4.092720361914
26,"ADCY6","gene",3.81430384606
27,"ADCY7","gene",3.975320732328
28,"ADCY8","gene",4.70980139764
29,"ADCY9","gene",3.91131394644
30,"ADCYAP1","gene",0.64153185978
31,"ADCYAP1R1","gene",0.10921890206
32,"ADIPOR1","gene",0.1900006962
33,"ADIPOR2","gene",0.1419132856
34,"ADORA2A","gene",0.21037527198
35,"ADORA2B","gene",0.0909959809
36,"ADRA1A","gene",0.421130552193909
37,"ADRA1B","gene",0.26239041184
38,"ADRA1D","gene",0.2728150554
39,"ADRA2A","gene",0.15680925344
40,"ADRA2B","gene",0.1572481301
41,"ADRA2C","gene",0.16382441892
42,"ADRB1","gene",0.82212757882
43,"ADRB2","gene",0.97777705848
44,"AGAP2","gene",0.8888874948
45,"AGTR1","gene",1.96144613866
46,"AIFM2","gene",0.0256987773
47,"AIM2","gene",0.623611692
48,"AJUBA","gene",0.290244438883104
49,"AKT1","gene",13.0926663720023
50,"AKT1S1","gene",0.322044704376048
51,"AKT2","gene",13.704631040649
52,"ALDOA","gene",0.025587867439237
53,"ALDOC","gene",0.0543123136780697
54,"AMH","gene",0.4506808713
55,"ANAPC5","gene",0.10808479052
56,"ANGPTL4","gene",0.156973239638
57,"AOX1","gene",0.09664839442
58,"APAF1","gene",0.193434192
59,"APBB1IP","gene",0.171263441256159
60,"APC","gene",0.98195227081
61,"APC2","gene",1.052052259848
62,"APH1B","gene",0.16869593024
63,"APOA1","gene",0.100067255706
64,"AQP7","gene",0.105667597086
65,"ARAP3","gene",0.488817097408044
66,"ARF1","gene",0.28927502178
67,"ARF6","gene",0.13314265644
68,"ARHGDIA","gene",0.42789283452
69,"ARHGDIB","gene",0.50384256036
70,"ARHGDIG","gene",0.50016498118
71,"ARHGEF12","gene",0.86994453632
72,"ARNT","gene",1.13028387561235
73,"ARRB1","gene",0.3316886038856
74,"ARRB2","gene",0.331580663077
75,"ATF2","gene",1.00933492572606
76,"ATF4","gene",11.6045752366631
77,"ATF6B","gene",0.547938885918946
78,"ATG12","gene",0.607535241957299
79,"ATG16L1","gene",0.307265080423986
80,"ATG5","gene",0.641312327095676
81,"ATM","gene",0.08234479698
82,"ATP1A1","gene",0.126928996302092
83,"ATP1A3","gene",0.184424174600063
84,"ATP1B1","gene",0.125763928471296
85,"ATP1B2","gene",0.197287725160067
86,"ATP1B3","gene",0.132302588842095
87,"ATP2A1","gene",0.0414548109200001
88,"ATP2A2","gene",0.0291199746834723
89,"ATP2A3","gene",0.0425773530000001
90,"ATP2B1","gene",0.07565855026
91,"ATP2B2","gene",0.09262893104
92,"ATP2B4","gene",0.07363028864
93,"ATP6V1A","gene",0.02853925848
94,"ATP6V1B2","gene",0.029606989
95,"ATP6V1C1","gene",0.02826033014
96,"ATP6V1C2","gene",0.0318068604
97,"ATP6V1D","gene",0.02938558086
98,"ATP6V1E1","gene",0.0278715187
99,"ATP6V1E2","gene",0.0317301904
100,"ATP6V1F","gene",0.0303860767
101,"ATP6V1G1","gene",0.0264178756
102,"ATP6V1G2","gene",0.03479509472
103,"ATP6V1H","gene",0.03026398798
104,"ATR","gene",0.04291698842
105,"ATXN1","gene",0.05546106382
106,"ATXN1L","gene",0.04819027578
107,"AVP","gene",0.50830470676
108,"AVPR1B","gene",0.4485664169
109,"AXIN1","gene",1.09776861328615
110,"AXIN2","gene",1.16481543514603
111,"AZI2","gene",0.4573006218
112,"BAD","gene",1.91265769864749
113,"BAMBI","gene",0.2959011846
114,"BAX","gene",0.99913269964
115,"BBC3","gene",0.0845134634106733
116,"BCAR1","gene",0.16089297264
117,"BCL10","gene",2.7976509544
118,"BCL2","gene",2.27852850126442
119,"BCL2L1","gene",1.60081836732334
120,"BCL2L11","gene",0.0518156520938827
121,"BCL3","gene",0.23370736706
122,"BCL6","gene",0.04359557374
123,"BDKRB2","gene",0.9083525296
124,"BDNF","gene",2.26233567018
125,"BECN1","gene",1.865360652
126,"BID","gene",1.0416471584
127,"BIRC2","gene",0.625478242926234
128,"BIRC5","gene",0.121864588052669
129,"BMP2","gene",0.59456968108
130,"BMP4","gene",0.63267353318
131,"BMP6","gene",0.52355410918
132,"BMP7","gene",0.39716468218
133,"BMP8A","gene",0.4136689761
134,"BMP8B","gene",0.39191171686
135,"BMPR1A","gene",1.24097881764
136,"BMPR1B","gene",1.31071323986
137,"BMPR2","gene",1.35821977546
138,"BNIP3","gene",0.03090597876
139,"BOC","gene",0.17464264948
140,"BRAF","gene",2.64604764948964
141,"BRAP","gene",0.11710409606
142,"BRCA1","gene",0.0225716629753259
143,"BTC","gene",0.0873771964
144,"CAB39","gene",0.264605623151167
145,"CAB39L","gene",0.341761107495376
146,"CACNA1C","gene",0.1918412191
147,"CACNA1D","gene",0.20801225174
148,"CACNA2D1","gene",0.02501601286
149,"CACNA2D2","gene",0.02528407982
150,"CACNA2D3","gene",0.0243711683
151,"CACNA2D4","gene",0.02447609208
152,"CACNB1","gene",0.02433893642
153,"CACNB2","gene",0.02544521954
154,"CACNB3","gene",0.02306168256
155,"CACNB4","gene",0.0243251508
156,"CACNG1","gene",0.0256908112
157,"CACNG2","gene",0.0243251506
158,"CACNG3","gene",0.02436741744
159,"CACNG4","gene",0.02433089438
160,"CACNG6","gene",0.02432358746
161,"CACNG7","gene",0.02437071644
162,"CACYBP","gene",0.07238330012
163,"CALM1","gene",3.31356120696206
164,"CALM2","gene",3.8036617140408
165,"CALM3","gene",36.2588119190546
166,"CALML3","gene",5.3202035921168
167,"CAMK1","gene",0.8004964790413
168,"CAMK1D","gene",0.8643031578934
169,"CAMK2A","gene",3.00572752340963
170,"CAMK2B","gene",2.97806883195643
171,"CAMK2D","gene",2.47084598017775
172,"CAMK2G","gene",2.61421217631603
173,"CAMK4","gene",2.25472763310886
174,"CAMKK2","gene",0.95756384084619
175,"CAMP","gene",0.278812445
176,"CARD10","gene",1.059100622
177,"CARD11","gene",3.6882574778
178,"CARD14","gene",0.942896246
179,"CARD9","gene",1.00523165569893
180,"CASP3","gene",1.0014930947452
181,"CASP4","gene",2
182,"CASP9","gene",1.09544792117577
183,"CASQ1","gene",2.024429448
184,"CASR","gene",2.016976808
185,"CAT","gene",0.03176662606
186,"CBL","gene",0.1800448964
187,"CBLB","gene",0.4945445551
188,"CCKAR","gene",0.1253372604
189,"CCKBR","gene",0.12078970812
190,"CCL22","gene",0.27237430174
191,"CCL24","gene",0.10592780558
192,"CCL25","gene",0.10811668362
193,"CCL5","gene",0.58649463554
194,"CCNA1","gene",0.021575262492
195,"CCNB1","gene",0.78972745876
196,"CCNB2","gene",0.53541847868
197,"CCND1","gene",13.2699482519275
198,"CCND2","gene",0.913116828863508
199,"CCND3","gene",0.607920866502029
200,"CCNE1","gene",0.178181295508611
201,"CCNE2","gene",0.205958974389897
202,"CCNG1","gene",0.01468363354
203,"CCR10","gene",0.4873803423
204,"CCR7","gene",0.49450679862
205,"CD38","gene",0.465925436818352
206,"CD40","gene",0.56381249666
207,"CD72","gene",0.2665430072
208,"CD79B","gene",0.2690438122
209,"CD82","gene",0.02141769368
210,"CD8A","gene",0.131110465
211,"CD8B","gene",0.1287553606
212,"CDC25B","gene",0.083321670271024
213,"CDC37","gene",0.525335794868595
214,"CDC42","gene",8.63343993342824
215,"CDH1","gene",0.45370224226
216,"CDK1","gene",0.50602218724
217,"CDK2","gene",0.191682594760122
218,"CDK4","gene",2.29039216581162
219,"CDK6","gene",0.295591476094531
220,"CDKN1A","gene",0.949732565667748
221,"CDKN1B","gene",0.53100257061913
222,"CDKN2A","gene",0.02363859036
223,"CDKN2B","gene",1.0597074646
