DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score
Fulvestrant,1.0,8.450574905041742,Everolimus,1.0,0.0916607872823371,MCF7,10.0
Sirolimus,2.0,1.1387862350315308,Celecoxib,2.0,22.797962657622847,MCF7,5.777777777777778
Fulvestrant,1.0,8.450574905041742,Celecoxib,2.0,22.797962657622847,MCF7,5.666666666666667
Fulvestrant,1.0,8.450574905041742,Tretinoin,4.0,47.45738539919395,MCF7,4.666666666666667
Sirolimus,2.0,1.1387862350315308,Tretinoin,4.0,47.45738539919395,MCF7,3.555555555555556
Fulvestrant,1.0,8.450574905041742,Romidepsin,3.0,12.272954454793956,MCF7,2.555555555555556
Everolimus,1.0,0.0916607872823371,Docetaxel,2.0,19.48699562538226,MCF7,2.2222222222222223
Everolimus,1.0,0.0916607872823371,Sirolimus,2.0,1.1387862350315308,MCF7,2.0
Dasatinib,12.0,41.27059805745024,Sirolimus,2.0,1.1387862350315308,MCF7,1.6666666666666667
Everolimus,1.0,0.0916607872823371,Tretinoin,4.0,47.45738539919395,MCF7,1.4444444444444444
Everolimus,1.0,0.0916607872823371,Celecoxib,2.0,22.797962657622847,MCF7,1.2222222222222223
Everolimus,1.0,0.0916607872823371,Paclitaxel,2.0,19.48699562538226,MCF7,0.1111111111111111
Thalidomide,4.0,17.623304607720492,Sirolimus,2.0,1.1387862350315308,MCF7,0.1111111111111111
Everolimus,1.0,0.0916607872823371,Nilotinib,2.0,1.6679180962806135,MCF7,0.0
Tretinoin,4.0,47.45738539919395,Cladribine,2.0,0.2087576152108974,MCF7,0.0
Nilotinib,2.0,1.6679180962806135,Cladribine,2.0,0.2087576152108974,MCF7,-0.3333333333333333
Dasatinib,12.0,41.27059805745024,Celecoxib,2.0,22.797962657622847,MCF7,-0.5555555555555556
Thalidomide,4.0,17.623304607720492,Mitotane,2.0,9.354245202761499,MCF7,-0.7777777777777778
Everolimus,1.0,0.0916607872823371,Cladribine,2.0,0.2087576152108974,MCF7,-0.8888888888888888
Thalidomide,4.0,17.623304607720492,Tretinoin,4.0,47.45738539919395,MCF7,-1.0
Dasatinib,12.0,41.27059805745024,Cladribine,2.0,0.2087576152108974,MCF7,-1.2222222222222223
Everolimus,1.0,0.0916607872823371,Romidepsin,3.0,12.272954454793956,MCF7,-1.3333333333333333
Thalidomide,4.0,17.623304607720492,Paclitaxel,2.0,19.48699562538226,MCF7,-1.3333333333333333
Fulvestrant,1.0,8.450574905041742,Vorinostat,3.0,11.984401952262168,MCF7,-1.4444444444444444
Tretinoin,4.0,47.45738539919395,Celecoxib,2.0,22.797962657622847,MCF7,-2.2222222222222223
Nilotinib,2.0,1.6679180962806135,Celecoxib,2.0,22.797962657622847,MCF7,-2.888888888888889
Gefitinib,1.0,0.23723230850738244,Lenalidomide,1.0,11.819571656171934,MCF7,-3.111111111111111
Fulvestrant,1.0,8.450574905041742,Cladribine,2.0,0.2087576152108974,MCF7,-3.333333333333333
Dasatinib,12.0,41.27059805745024,Docetaxel,2.0,19.48699562538226,MCF7,-3.4444444444444446
Cladribine,2.0,0.2087576152108974,Celecoxib,2.0,22.797962657622847,MCF7,-3.555555555555556
Nilotinib,2.0,1.6679180962806135,Mitotane,2.0,9.354245202761499,MCF7,-3.6666666666666665
Sirolimus,2.0,1.1387862350315308,Nilotinib,2.0,1.6679180962806135,MCF7,-3.888888888888889
Nilotinib,2.0,1.6679180962806135,Tretinoin,4.0,47.45738539919395,MCF7,-4.0
Fulvestrant,1.0,8.450574905041742,Paclitaxel,2.0,19.48699562538226,MCF7,-4.222222222222222
Sirolimus,2.0,1.1387862350315308,Mitotane,2.0,9.354245202761499,MCF7,-4.555555555555555
Fulvestrant,1.0,8.450574905041742,Sirolimus,2.0,1.1387862350315308,MCF7,-4.777777777777778
Everolimus,1.0,0.0916607872823371,Vorinostat,3.0,11.984401952262168,MCF7,-4.888888888888889
Everolimus,1.0,0.0916607872823371,Dasatinib,12.0,41.27059805745024,MCF7,-5.222222222222222
Dasatinib,12.0,41.27059805745024,Nilotinib,2.0,1.6679180962806135,MCF7,-5.333333333333333
Dasatinib,12.0,41.27059805745024,Tretinoin,4.0,47.45738539919395,MCF7,-6.222222222222222
Fulvestrant,1.0,8.450574905041742,Nilotinib,2.0,1.6679180962806135,MCF7,-6.222222222222222
Fulvestrant,1.0,8.450574905041742,Dasatinib,12.0,41.27059805745024,MCF7,-6.444444444444445
Thalidomide,4.0,17.623304607720492,Docetaxel,2.0,19.48699562538226,MCF7,-7.777777777777778
Thalidomide,4.0,17.623304607720492,Cladribine,2.0,0.2087576152108974,MCF7,-7.888888888888889
Sirolimus,2.0,1.1387862350315308,Cladribine,2.0,0.2087576152108974,MCF7,-8.666666666666666
Dasatinib,12.0,41.27059805745024,Paclitaxel,2.0,19.48699562538226,MCF7,-9.333333333333334
Megestrol acetate,1.0,0.9036702977197565,Gefitinib,1.0,0.23723230850738244,MCF7,-10.22222222222222
Dasatinib,12.0,41.27059805745024,Vorinostat,3.0,11.984401952262168,MCF7,-10.333333333333334
Dasatinib,12.0,41.27059805745024,Romidepsin,3.0,12.272954454793956,MCF7,-10.444444444444445
Megestrol acetate,1.0,0.9036702977197565,Lenalidomide,1.0,11.819571656171934,MCF7,-12.555555555555555
