DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score
Fulvestrant,0.0,0.0,Everolimus,1.0,1.7259215408,A498,17.11111111111111
Fulvestrant,0.0,0.0,Romidepsin,0.0,0.0,A498,11.333333333333334
Mitotane,0.0,0.0,Everolimus,1.0,1.7259215408,A498,11.22222222222222
Docetaxel,1.0,0.788826391,Fulvestrant,0.0,0.0,A498,10.0
Paclitaxel,1.0,0.788826391,Tretinoin,0.0,0.0,A498,9.77777777777778
Sirolimus,2.0,3.2702630648,Tretinoin,0.0,0.0,A498,7.222222222222222
Paclitaxel,1.0,0.788826391,Sirolimus,2.0,3.2702630648,A498,7.0
Docetaxel,1.0,0.788826391,Tretinoin,0.0,0.0,A498,6.777777777777778
Docetaxel,1.0,0.788826391,Celecoxib,0.0,0.0,A498,6.444444444444445
Docetaxel,1.0,0.788826391,Sirolimus,2.0,3.2702630648,A498,6.222222222222222
Docetaxel,1.0,0.788826391,Nilotinib,0.0,0.0,A498,6.0
Dasatinib,3.0,3.499086106,Sirolimus,2.0,3.2702630648,A498,4.888888888888889
Paclitaxel,1.0,0.788826391,Nilotinib,0.0,0.0,A498,4.777777777777778
Paclitaxel,1.0,0.788826391,Celecoxib,0.0,0.0,A498,4.777777777777778
Dasatinib,3.0,3.499086106,Paclitaxel,1.0,0.788826391,A498,3.0
Everolimus,1.0,1.7259215408,Paclitaxel,1.0,0.788826391,A498,2.888888888888889
Mitotane,0.0,0.0,Sirolimus,2.0,3.2702630648,A498,2.333333333333333
Docetaxel,1.0,0.788826391,Paclitaxel,1.0,0.788826391,A498,2.2222222222222223
Sirolimus,2.0,3.2702630648,Celecoxib,0.0,0.0,A498,2.0
Everolimus,1.0,1.7259215408,Sirolimus,2.0,3.2702630648,A498,2.0
Dasatinib,3.0,3.499086106,Celecoxib,0.0,0.0,A498,1.7777777777777777
Fulvestrant,0.0,0.0,Dasatinib,3.0,3.499086106,A498,1.5555555555555556
Romidepsin,0.0,0.0,Sirolimus,2.0,3.2702630648,A498,1.4444444444444444
Sirolimus,2.0,3.2702630648,Nilotinib,0.0,0.0,A498,1.2222222222222223
Mitotane,0.0,0.0,Docetaxel,1.0,0.788826391,A498,1.1111111111111112
Romidepsin,0.0,0.0,Docetaxel,1.0,0.788826391,A498,1.0
Sirolimus,2.0,3.2702630648,Mitotane,0.0,0.0,A498,0.8888888888888888
Mitotane,0.0,0.0,Cladribine,0.0,0.0,A498,0.4444444444444444
Mitotane,0.0,0.0,Celecoxib,0.0,0.0,A498,0.3333333333333333
Romidepsin,0.0,0.0,Tretinoin,0.0,0.0,A498,0.0
Dasatinib,3.0,3.499086106,Vorinostat,0.0,0.0,A498,0.0
Dasatinib,3.0,3.499086106,Cladribine,0.0,0.0,A498,-0.3333333333333333
Dasatinib,3.0,3.499086106,Docetaxel,1.0,0.788826391,A498,-0.4444444444444444
Everolimus,1.0,1.7259215408,Romidepsin,0.0,0.0,A498,-0.6666666666666666
Nilotinib,0.0,0.0,Celecoxib,0.0,0.0,A498,-0.6666666666666666
Romidepsin,0.0,0.0,Celecoxib,0.0,0.0,A498,-0.7777777777777778
Everolimus,1.0,1.7259215408,Cladribine,0.0,0.0,A498,-0.8888888888888888
Mitotane,0.0,0.0,Tretinoin,0.0,0.0,A498,-0.8888888888888888
Fulvestrant,0.0,0.0,Vorinostat,0.0,0.0,A498,-1.4444444444444444
Everolimus,1.0,1.7259215408,Celecoxib,0.0,0.0,A498,-1.5555555555555556
Fulvestrant,0.0,0.0,Tretinoin,0.0,0.0,A498,-1.6666666666666667
Fulvestrant,0.0,0.0,Cladribine,0.0,0.0,A498,-1.6666666666666667
Fulvestrant,0.0,0.0,Paclitaxel,1.0,0.788826391,A498,-1.7777777777777777
Romidepsin,0.0,0.0,Cladribine,0.0,0.0,A498,-1.8888888888888888
Everolimus,1.0,1.7259215408,Docetaxel,1.0,0.788826391,A498,-2.0
Fulvestrant,0.0,0.0,Sirolimus,2.0,3.2702630648,A498,-2.0
Everolimus,1.0,1.7259215408,Dasatinib,3.0,3.499086106,A498,-2.111111111111111
Nilotinib,0.0,0.0,Mitotane,0.0,0.0,A498,-2.2222222222222223
Everolimus,1.0,1.7259215408,Nilotinib,0.0,0.0,A498,-2.333333333333333
Thalidomide,1.0,1.1984729548,Tretinoin,0.0,0.0,A498,-2.4444444444444446
Fulvestrant,0.0,0.0,Nilotinib,0.0,0.0,A498,-2.555555555555556
Docetaxel,1.0,0.788826391,Cladribine,0.0,0.0,A498,-2.555555555555556
Vorinostat,0.0,0.0,Docetaxel,1.0,0.788826391,A498,-2.6666666666666665
Paclitaxel,1.0,0.788826391,Cladribine,0.0,0.0,A498,-2.6666666666666665
Vorinostat,0.0,0.0,Tretinoin,0.0,0.0,A498,-2.7777777777777777
Vorinostat,0.0,0.0,Cladribine,0.0,0.0,A498,-2.7777777777777777
Nilotinib,0.0,0.0,Tretinoin,0.0,0.0,A498,-3.2222222222222223
Dasatinib,3.0,3.499086106,Romidepsin,0.0,0.0,A498,-3.555555555555556
Fulvestrant,0.0,0.0,Celecoxib,0.0,0.0,A498,-3.7777777777777777
Thalidomide,1.0,1.1984729548,Mitotane,0.0,0.0,A498,-3.7777777777777777
Everolimus,1.0,1.7259215408,Tretinoin,0.0,0.0,A498,-4.0
Nilotinib,0.0,0.0,Cladribine,0.0,0.0,A498,-4.222222222222222
Megestrol acetate,0.0,0.0,Gefitinib,1.0,0.716431952,A498,-4.222222222222222
Dasatinib,3.0,3.499086106,Tretinoin,0.0,0.0,A498,-4.444444444444445
Thalidomide,1.0,1.1984729548,Paclitaxel,1.0,0.788826391,A498,-4.666666666666667
Megestrol acetate,0.0,0.0,Lenalidomide,0.0,0.0,A498,-4.777777777777778
Vorinostat,0.0,0.0,Celecoxib,0.0,0.0,A498,-4.777777777777778
Vorinostat,0.0,0.0,Paclitaxel,1.0,0.788826391,A498,-4.777777777777778
Everolimus,1.0,1.7259215408,Vorinostat,0.0,0.0,A498,-4.888888888888889
Thalidomide,1.0,1.1984729548,Cladribine,0.0,0.0,A498,-5.333333333333333
Mitotane,0.0,0.0,Paclitaxel,1.0,0.788826391,A498,-5.666666666666667
Vorinostat,0.0,0.0,Sirolimus,2.0,3.2702630648,A498,-5.777777777777778
Gefitinib,1.0,0.716431952,Lenalidomide,0.0,0.0,A498,-5.888888888888889
Vorinostat,0.0,0.0,Nilotinib,0.0,0.0,A498,-6.222222222222222
Mitotane,0.0,0.0,Nilotinib,0.0,0.0,A498,-6.555555555555555
Romidepsin,0.0,0.0,Nilotinib,0.0,0.0,A498,-6.666666666666667
Sirolimus,2.0,3.2702630648,Cladribine,0.0,0.0,A498,-6.666666666666667
Tretinoin,0.0,0.0,Celecoxib,0.0,0.0,A498,-7.0
Dasatinib,3.0,3.499086106,Nilotinib,0.0,0.0,A498,-7.0
Tretinoin,0.0,0.0,Cladribine,0.0,0.0,A498,-8.0
Cladribine,0.0,0.0,Celecoxib,0.0,0.0,A498,-8.333333333333334
Romidepsin,0.0,0.0,Paclitaxel,1.0,0.788826391,A498,-8.88888888888889
Vorinostat,0.0,0.0,Romidepsin,0.0,0.0,A498,-9.11111111111111
Thalidomide,1.0,1.1984729548,Docetaxel,1.0,0.788826391,A498,-9.555555555555555
