DrugA_idx,DrugA_target_num,DrugA_target_idfatt_sum,DrugB_idx,DrugB_target_num,DrugB_target_idfatt_sum,Cell_idx,Score
Fulvestrant,1.0,13.597695774535273,Romidepsin,3.0,13.178240425452174,NCI-H23,5.888888888888889
Sirolimus,1.0,2.9108081788474625,Mitotane,1.0,13.597695774535273,NCI-H23,3.4444444444444446
Thalidomide,1.0,0.0,Paclitaxel,2.0,0.0,NCI-H23,2.888888888888889
Mitotane,1.0,13.597695774535273,Tretinoin,0.0,0.0,NCI-H23,2.0
Mitotane,1.0,13.597695774535273,Celecoxib,0.0,0.0,NCI-H23,1.3333333333333333
Cladribine,0.0,0.0,Celecoxib,0.0,0.0,NCI-H23,1.1111111111111112
Tretinoin,0.0,0.0,Celecoxib,0.0,0.0,NCI-H23,1.0
Mitotane,1.0,13.597695774535273,Everolimus,0.0,0.0,NCI-H23,0.6666666666666666
Nilotinib,2.0,5.556028308517206,Cladribine,0.0,0.0,NCI-H23,0.4444444444444444
Fulvestrant,1.0,13.597695774535273,Vorinostat,3.0,13.178240425452174,NCI-H23,0.2222222222222222
Tretinoin,0.0,0.0,Cladribine,0.0,0.0,NCI-H23,0.2222222222222222
Thalidomide,1.0,0.0,Tretinoin,0.0,0.0,NCI-H23,-0.1111111111111111
Fulvestrant,1.0,13.597695774535273,Tretinoin,0.0,0.0,NCI-H23,-0.6666666666666666
Fulvestrant,1.0,13.597695774535273,Cladribine,0.0,0.0,NCI-H23,-1.2222222222222223
Megestrol acetate,0.0,0.0,Gefitinib,1.0,0.0,NCI-H23,-1.4444444444444444
Mitotane,1.0,13.597695774535273,Sirolimus,1.0,2.9108081788474625,NCI-H23,-1.4444444444444444
Gefitinib,1.0,0.0,Lenalidomide,0.0,0.0,NCI-H23,-1.5555555555555556
Fulvestrant,1.0,13.597695774535273,Dasatinib,10.0,12.177274635272473,NCI-H23,-1.8888888888888888
Mitotane,1.0,13.597695774535273,Dasatinib,10.0,12.177274635272473,NCI-H23,-2.555555555555556
Fulvestrant,1.0,13.597695774535273,Celecoxib,0.0,0.0,NCI-H23,-3.0
Sirolimus,1.0,2.9108081788474625,Celecoxib,0.0,0.0,NCI-H23,-3.333333333333333
Fulvestrant,1.0,13.597695774535273,Paclitaxel,2.0,0.0,NCI-H23,-4.444444444444445
Mitotane,1.0,13.597695774535273,Docetaxel,2.0,0.0,NCI-H23,-4.777777777777778
Fulvestrant,1.0,13.597695774535273,Everolimus,0.0,0.0,NCI-H23,-5.111111111111111
Fulvestrant,1.0,13.597695774535273,Sirolimus,1.0,2.9108081788474625,NCI-H23,-5.111111111111111
Sirolimus,1.0,2.9108081788474625,Nilotinib,2.0,5.556028308517206,NCI-H23,-5.333333333333333
Mitotane,1.0,13.597695774535273,Cladribine,0.0,0.0,NCI-H23,-5.777777777777778
Thalidomide,1.0,0.0,Mitotane,1.0,13.597695774535273,NCI-H23,-6.0
Megestrol acetate,0.0,0.0,Lenalidomide,0.0,0.0,NCI-H23,-6.888888888888889
Sirolimus,1.0,2.9108081788474625,Cladribine,0.0,0.0,NCI-H23,-7.444444444444445
Mitotane,1.0,13.597695774535273,Nilotinib,2.0,5.556028308517206,NCI-H23,-8.11111111111111
Nilotinib,2.0,5.556028308517206,Mitotane,1.0,13.597695774535273,NCI-H23,-8.333333333333334
Sirolimus,1.0,2.9108081788474625,Tretinoin,0.0,0.0,NCI-H23,-8.777777777777779
Fulvestrant,1.0,13.597695774535273,Nilotinib,2.0,5.556028308517206,NCI-H23,-8.88888888888889
Nilotinib,2.0,5.556028308517206,Celecoxib,0.0,0.0,NCI-H23,-9.555555555555555
Thalidomide,1.0,0.0,Docetaxel,2.0,0.0,NCI-H23,-12.555555555555555
Nilotinib,2.0,5.556028308517206,Tretinoin,0.0,0.0,NCI-H23,-13.333333333333334
Thalidomide,1.0,0.0,Cladribine,0.0,0.0,NCI-H23,-13.555555555555555
