DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,node_type,att_deg
1494.0,1.0,1.350503744,1501.0,1.0,0.745231526,OVCAR-4,17.333333333333332,470,1501,821,,,,
1494.0,1.0,1.350503744,1501.0,1.0,0.745231526,OVCAR-4,17.333333333333332,470,1501,118,118.0,BCL2,gene,0.745231526
1493.0,1.0,0.745231526,1490.0,0.0,0.0,OVCAR-4,15.22222222222222,1128,1490,1106,,,,
1493.0,1.0,0.745231526,1490.0,0.0,0.0,OVCAR-4,15.22222222222222,1128,1490,965,,,,
1499.0,0.0,0.0,1493.0,1.0,0.745231526,OVCAR-4,15.0,449,1493,118,118.0,BCL2,gene,0.745231526
1499.0,0.0,0.0,1493.0,1.0,0.745231526,OVCAR-4,15.0,449,1493,821,,,,
1493.0,1.0,0.745231526,1495.0,0.0,0.0,OVCAR-4,14.88888888888889,1599,1495,401,,,,
1501.0,1.0,0.745231526,1490.0,0.0,0.0,OVCAR-4,11.88888888888889,64,1490,1106,,,,
1501.0,1.0,0.745231526,1490.0,0.0,0.0,OVCAR-4,11.88888888888889,64,1490,965,,,,
1493.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,11.444444444444445,1832,1505,1218,,,,
1493.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,11.444444444444445,1832,1505,1216,,,,
1493.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,11.444444444444445,1832,1505,1145,,,,
1493.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,11.444444444444445,1832,1505,1217,,,,
1495.0,0.0,0.0,1494.0,1.0,1.350503744,OVCAR-4,11.0,2489,1494,858,858.0,MTOR,gene,1.350503744
1499.0,0.0,0.0,1494.0,1.0,1.350503744,OVCAR-4,10.22222222222222,895,1494,858,858.0,MTOR,gene,1.350503744
1501.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,9.555555555555555,2341,1505,1218,,,,
1501.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,9.555555555555555,2341,1505,1145,,,,
1501.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,9.555555555555555,2341,1505,1217,,,,
1501.0,1.0,0.745231526,1505.0,0.0,0.0,OVCAR-4,9.555555555555555,2341,1505,1216,,,,
1503.0,1.0,1.350503744,1499.0,0.0,0.0,OVCAR-4,7.0,1639,1499,980,,,,
1503.0,1.0,1.350503744,1499.0,0.0,0.0,OVCAR-4,7.0,1639,1499,401,,,,
1503.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,6.444444444444445,612,1505,1145,,,,
1503.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,6.444444444444445,612,1505,1216,,,,
1503.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,6.444444444444445,612,1505,1217,,,,
1503.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,6.444444444444445,612,1505,1218,,,,
1493.0,1.0,0.745231526,1503.0,1.0,1.350503744,OVCAR-4,3.555555555555556,2034,1503,858,858.0,MTOR,gene,1.350503744
1493.0,1.0,0.745231526,1503.0,1.0,1.350503744,OVCAR-4,3.555555555555556,2034,1503,429,,,,
1503.0,1.0,1.350503744,1490.0,0.0,0.0,OVCAR-4,3.0,1780,1490,1106,,,,
1503.0,1.0,1.350503744,1490.0,0.0,0.0,OVCAR-4,3.0,1780,1490,965,,,,
1500.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,3.0,2587,1491,1209,,,,
1500.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,3.0,2587,1491,1208,,,,
1494.0,1.0,1.350503744,1493.0,1.0,0.745231526,OVCAR-4,2.555555555555556,1478,1493,118,118.0,BCL2,gene,0.745231526
1494.0,1.0,1.350503744,1493.0,1.0,0.745231526,OVCAR-4,2.555555555555556,1478,1493,821,,,,
1495.0,0.0,0.0,1502.0,0.0,0.0,OVCAR-4,2.2222222222222223,1905,1502,568,,,,
1495.0,0.0,0.0,1502.0,0.0,0.0,OVCAR-4,2.2222222222222223,1905,1502,566,,,,
1495.0,0.0,0.0,1502.0,0.0,0.0,OVCAR-4,2.2222222222222223,1905,1502,565,,,,
1504.0,1.0,1.7410117492,1503.0,1.0,1.350503744,OVCAR-4,1.8888888888888888,70,1503,858,858.0,MTOR,gene,1.350503744
1504.0,1.0,1.7410117492,1503.0,1.0,1.350503744,OVCAR-4,1.8888888888888888,70,1503,429,,,,
1493.0,1.0,0.745231526,1501.0,1.0,0.745231526,OVCAR-4,1.7777777777777777,1960,1501,118,118.0,BCL2,gene,0.745231526
1493.0,1.0,0.745231526,1501.0,1.0,0.745231526,OVCAR-4,1.7777777777777777,1960,1501,821,,,,
1506.0,0.0,0.0,1503.0,1.0,1.350503744,OVCAR-4,1.6666666666666667,2037,1503,429,,,,
1506.0,0.0,0.0,1503.0,1.0,1.350503744,OVCAR-4,1.6666666666666667,2037,1503,858,858.0,MTOR,gene,1.350503744
1505.0,0.0,0.0,1490.0,0.0,0.0,OVCAR-4,1.4444444444444444,1126,1490,1106,,,,
1505.0,0.0,0.0,1490.0,0.0,0.0,OVCAR-4,1.4444444444444444,1126,1490,965,,,,
1495.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,1.3333333333333333,183,1491,1209,,,,
1495.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,1.3333333333333333,183,1491,1208,,,,
1495.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,0.8888888888888888,765,1505,1216,,,,
1495.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,0.8888888888888888,765,1505,1218,,,,
1495.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,0.8888888888888888,765,1505,1217,,,,
1495.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,0.8888888888888888,765,1505,1145,,,,
1502.0,0.0,0.0,1493.0,1.0,0.745231526,OVCAR-4,0.7777777777777778,260,1493,118,118.0,BCL2,gene,0.745231526
1502.0,0.0,0.0,1493.0,1.0,0.745231526,OVCAR-4,0.7777777777777778,260,1493,821,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,2,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,707,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,599,599.0,HSPA8,gene,1.034610472
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,468,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,442,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,394,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,1314,1314.0,SRC,gene,0.325151818
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,806,806.0,MAPK14,gene,0.307753052
1494.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,0.5555555555555556,1291,1505,1217,,,,
1494.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,0.5555555555555556,1291,1505,1145,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,1,,,,
1494.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,0.5555555555555556,1291,1505,1218,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,1325,1325.0,STAT5B,gene,0.533901259
1494.0,1.0,1.350503744,1505.0,0.0,0.0,OVCAR-4,0.5555555555555556,1291,1505,1216,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,737,,,,
1495.0,0.0,0.0,1492.0,4.0,2.201416601,OVCAR-4,0.5555555555555556,1139,1492,774,,,,
1494.0,1.0,1.350503744,1491.0,0.0,0.0,OVCAR-4,0.5555555555555556,113,1491,1208,,,,
1494.0,1.0,1.350503744,1491.0,0.0,0.0,OVCAR-4,0.5555555555555556,113,1491,1209,,,,
1503.0,1.0,1.350503744,1500.0,0.0,0.0,OVCAR-4,0.4444444444444444,560,1500,707,,,,
1503.0,1.0,1.350503744,1500.0,0.0,0.0,OVCAR-4,0.4444444444444444,560,1500,1,,,,
1493.0,1.0,0.745231526,1500.0,0.0,0.0,OVCAR-4,0.2222222222222222,567,1500,707,,,,
1493.0,1.0,0.745231526,1500.0,0.0,0.0,OVCAR-4,0.2222222222222222,567,1500,1,,,,
1492.0,4.0,2.201416601,1505.0,0.0,0.0,OVCAR-4,0.1111111111111111,1935,1505,1218,,,,
1494.0,1.0,1.350503744,1503.0,1.0,1.350503744,OVCAR-4,0.1111111111111111,2725,1503,858,858.0,MTOR,gene,1.350503744
1494.0,1.0,1.350503744,1503.0,1.0,1.350503744,OVCAR-4,0.1111111111111111,2725,1503,429,,,,
1492.0,4.0,2.201416601,1490.0,0.0,0.0,OVCAR-4,0.1111111111111111,2293,1490,1106,,,,
1492.0,4.0,2.201416601,1490.0,0.0,0.0,OVCAR-4,0.1111111111111111,2293,1490,965,,,,
1492.0,4.0,2.201416601,1505.0,0.0,0.0,OVCAR-4,0.1111111111111111,1935,1505,1217,,,,
1492.0,4.0,2.201416601,1505.0,0.0,0.0,OVCAR-4,0.1111111111111111,1935,1505,1216,,,,
1492.0,4.0,2.201416601,1505.0,0.0,0.0,OVCAR-4,0.1111111111111111,1935,1505,1145,,,,
1506.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,0.1111111111111111,1913,1491,1209,,,,
1506.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,0.1111111111111111,1913,1491,1208,,,,
1506.0,0.0,0.0,1502.0,0.0,0.0,OVCAR-4,-0.4444444444444444,2724,1502,565,,,,
1506.0,0.0,0.0,1502.0,0.0,0.0,OVCAR-4,-0.4444444444444444,2724,1502,566,,,,
1506.0,0.0,0.0,1502.0,0.0,0.0,OVCAR-4,-0.4444444444444444,2724,1502,568,,,,
1495.0,0.0,0.0,1506.0,0.0,0.0,OVCAR-4,-0.5555555555555556,1839,1506,566,,,,
1492.0,4.0,2.201416601,1491.0,0.0,0.0,OVCAR-4,-0.5555555555555556,1085,1491,1209,,,,
1492.0,4.0,2.201416601,1491.0,0.0,0.0,OVCAR-4,-0.5555555555555556,1085,1491,1208,,,,
1502.0,0.0,0.0,1503.0,1.0,1.350503744,OVCAR-4,-0.5555555555555556,116,1503,858,858.0,MTOR,gene,1.350503744
1502.0,0.0,0.0,1503.0,1.0,1.350503744,OVCAR-4,-0.5555555555555556,116,1503,429,,,,
1495.0,0.0,0.0,1506.0,0.0,0.0,OVCAR-4,-0.5555555555555556,1839,1506,567,,,,
1495.0,0.0,0.0,1506.0,0.0,0.0,OVCAR-4,-0.5555555555555556,1839,1506,565,,,,
1502.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,-0.8888888888888888,2771,1491,1208,,,,
1502.0,0.0,0.0,1491.0,0.0,0.0,OVCAR-4,-0.8888888888888888,2771,1491,1209,,,,
1506.0,0.0,0.0,1493.0,1.0,0.745231526,OVCAR-4,-0.8888888888888888,843,1493,118,118.0,BCL2,gene,0.745231526
1506.0,0.0,0.0,1493.0,1.0,0.745231526,OVCAR-4,-0.8888888888888888,843,1493,821,,,,
1492.0,4.0,2.201416601,1493.0,1.0,0.745231526,OVCAR-4,-1.0,2437,1493,821,,,,
1492.0,4.0,2.201416601,1493.0,1.0,0.745231526,OVCAR-4,-1.0,2437,1493,118,118.0,BCL2,gene,0.745231526
1494.0,1.0,1.350503744,1490.0,0.0,0.0,OVCAR-4,-1.5555555555555556,594,1490,965,,,,
1494.0,1.0,1.350503744,1490.0,0.0,0.0,OVCAR-4,-1.5555555555555556,594,1490,1106,,,,
1492.0,4.0,2.201416601,1501.0,1.0,0.745231526,OVCAR-4,-1.5555555555555556,2520,1501,118,118.0,BCL2,gene,0.745231526
1492.0,4.0,2.201416601,1501.0,1.0,0.745231526,OVCAR-4,-1.5555555555555556,2520,1501,821,,,,
1504.0,1.0,1.7410117492,1501.0,1.0,0.745231526,OVCAR-4,-1.6666666666666667,2331,1501,118,118.0,BCL2,gene,0.745231526
1504.0,1.0,1.7410117492,1501.0,1.0,0.745231526,OVCAR-4,-1.6666666666666667,2331,1501,821,,,,
1504.0,1.0,1.7410117492,1505.0,0.0,0.0,OVCAR-4,-2.0,1099,1505,1145,,,,
1504.0,1.0,1.7410117492,1505.0,0.0,0.0,OVCAR-4,-2.0,1099,1505,1217,,,,
1506.0,0.0,0.0,1490.0,0.0,0.0,OVCAR-4,-2.0,1522,1490,1106,,,,
1506.0,0.0,0.0,1490.0,0.0,0.0,OVCAR-4,-2.0,1522,1490,965,,,,
1504.0,1.0,1.7410117492,1505.0,0.0,0.0,OVCAR-4,-2.0,1099,1505,1218,,,,
1504.0,1.0,1.7410117492,1505.0,0.0,0.0,OVCAR-4,-2.0,1099,1505,1216,,,,
1499.0,0.0,0.0,1503.0,1.0,1.350503744,OVCAR-4,-2.2222222222222223,1273,1503,858,858.0,MTOR,gene,1.350503744
1499.0,0.0,0.0,1503.0,1.0,1.350503744,OVCAR-4,-2.2222222222222223,1273,1503,429,,,,
1506.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,-2.333333333333333,1562,1505,1218,,,,
1506.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,-2.333333333333333,1562,1505,1217,,,,
1506.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,-2.333333333333333,1562,1505,1216,,,,
1506.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,-2.333333333333333,1562,1505,1145,,,,
1494.0,1.0,1.350503744,1500.0,0.0,0.0,OVCAR-4,-2.4444444444444446,1163,1500,707,,,,
1494.0,1.0,1.350503744,1500.0,0.0,0.0,OVCAR-4,-2.4444444444444446,1163,1500,1,,,,
1501.0,1.0,0.745231526,1503.0,1.0,1.350503744,OVCAR-4,-2.555555555555556,2754,1503,429,,,,
1501.0,1.0,0.745231526,1503.0,1.0,1.350503744,OVCAR-4,-2.555555555555556,2754,1503,858,858.0,MTOR,gene,1.350503744
1492.0,4.0,2.201416601,1503.0,1.0,1.350503744,OVCAR-4,-2.7777777777777777,1230,1503,429,,,,
1492.0,4.0,2.201416601,1503.0,1.0,1.350503744,OVCAR-4,-2.7777777777777777,1230,1503,858,858.0,MTOR,gene,1.350503744
1502.0,0.0,0.0,1505.0,0.0,0.0,OVCAR-4,-2.888888888888889,1801,1505,1218,,,,
