"node_num","node_name","node_type","att_deg"
12,"ACTA2","gene",0.263788732
14,"ACTG1","gene",6.269468298
16,"ACVR1B","gene",0.33375679
17,"ACVR1C","gene",0.346041726
18,"ACVR2A","gene",0.343275114
19,"ACVR2B","gene",0.345822836
21,"ADCY1","gene",2.408434402
22,"ADCY2","gene",2.466814618
23,"ADCY3","gene",2.15981853
24,"ADCY4","gene",1.950809348
25,"ADCY5","gene",1.944713166
26,"ADCY6","gene",1.85925079
27,"ADCY7","gene",1.945606036
28,"ADCY8","gene",2.404192818
29,"ADCY9","gene",1.892819794
45,"AGTR1","gene",1.258003096
49,"AKT1","gene",2.213015408
51,"AKT2","gene",2.569577472
60,"APC","gene",0.397552308
61,"APC2","gene",0.411350834
65,"ARAP3","gene",0.495161712
68,"ARHGDIA","gene",0.410476288
69,"ARHGDIB","gene",0.511264694
70,"ARHGDIG","gene",0.511036934
71,"ARHGEF12","gene",0.513394012
76,"ATF4","gene",10.322129654
109,"AXIN1","gene",0.39937196
110,"AXIN2","gene",0.408752526
114,"BAX","gene",0.2404227248
124,"BDNF","gene",0.999942334
164,"CALM2","gene",39.607919992
167,"CAMK1","gene",0.926185676
168,"CAMK1D","gene",0.939702734
169,"CAMK2A","gene",1.925960634
170,"CAMK2B","gene",1.924872648
171,"CAMK2D","gene",1.750107394
172,"CAMK2G","gene",1.815370866
173,"CAMK4","gene",1.410420166
174,"CAMKK2","gene",0.435981034
184,"CASR","gene",1.88557254
197,"CCND1","gene",7.6054930728
213,"CDC37","gene",0.415991412
214,"CDC42","gene",2.826878998
215,"CDH1","gene",0.26071148
218,"CDK4","gene",1.628884984
223,"CDKN2B","gene",0.2064626028
228,"CHAD","gene",0.533079096
240,"CNTFR","gene",0.32457439
241,"COL1A1","gene",0.903835452
242,"COL1A2","gene",0.903669608
243,"COL2A1","gene",0.533076852
244,"COL4A1","gene",0.475493576
245,"COL4A2","gene",0.738944926
246,"COL4A3","gene",0.533066072
