DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,node_type,att_deg
1503.0,2.0,7.92977481215765,1499.0,2.0,1.81623764846857,ACHN,9.444444444444445,2229,1499,401,401,ESR1,gene,1.68199127250857
1503.0,2.0,7.92977481215765,1499.0,2.0,1.81623764846857,ACHN,9.444444444444445,2229,1499,980,980,PGR,gene,0.13424637596
1503.0,2.0,7.92977481215765,1505.0,4.0,6.073724514255691,ACHN,5.888888888888889,817,1505,1218,1218,RXRG,gene,2.09500849000938
1503.0,2.0,7.92977481215765,1505.0,4.0,6.073724514255691,ACHN,5.888888888888889,817,1505,1217,1217,RXRB,gene,1.81919110831948
1503.0,2.0,7.92977481215765,1505.0,4.0,6.073724514255691,ACHN,5.888888888888889,817,1505,1145,1145,RARA,gene,0.12050808542
1503.0,2.0,7.92977481215765,1505.0,4.0,6.073724514255691,ACHN,5.888888888888889,817,1505,1216,1216,RXRA,gene,2.03901683050683
1499.0,2.0,1.81623764846857,1493.0,2.0,2.39857986474364,ACHN,5.555555555555555,995,1493,118,118,BCL2,gene,2.35674696306364
1499.0,2.0,1.81623764846857,1493.0,2.0,2.39857986474364,ACHN,5.555555555555555,995,1493,821,821,MAPT,gene,0.04183290168
1503.0,2.0,7.92977481215765,1490.0,2.0,4.08143497908973,ACHN,5.0,2125,1490,965,965,PDPK1,gene,2.72363267120973
1503.0,2.0,7.92977481215765,1490.0,2.0,4.08143497908973,ACHN,5.0,2125,1490,1106,1106,PTGS2,gene,1.35780230788
1499.0,2.0,1.81623764846857,1505.0,4.0,6.073724514255691,ACHN,4.777777777777778,129,1505,1218,1218,RXRG,gene,2.09500849000938
1499.0,2.0,1.81623764846857,1505.0,4.0,6.073724514255691,ACHN,4.777777777777778,129,1505,1145,1145,RARA,gene,0.12050808542
1499.0,2.0,1.81623764846857,1505.0,4.0,6.073724514255691,ACHN,4.777777777777778,129,1505,1216,1216,RXRA,gene,2.03901683050683
1499.0,2.0,1.81623764846857,1505.0,4.0,6.073724514255691,ACHN,4.777777777777778,129,1505,1217,1217,RXRB,gene,1.81919110831948
