DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score,index1,Drug,Target,node_num,node_name,node_type,att_deg
1503.0,2.0,6.76943860768001,1499.0,2.0,1.3628318582935581,EKVX,6.333333333333333,476,1503,429,429,FGF2,gene,2.65696287938
1503.0,2.0,6.76943860768001,1499.0,2.0,1.3628318582935581,EKVX,6.333333333333333,476,1503,858,858,MTOR,gene,4.11247572830001
1499.0,2.0,1.3628318582935581,1505.0,4.0,5.9503791192147215,EKVX,3.6666666666666665,2732,1499,980,980,PGR,gene,0.143499968469988
1499.0,2.0,1.3628318582935581,1505.0,4.0,5.9503791192147215,EKVX,3.6666666666666665,2732,1499,401,401,ESR1,gene,1.21933188982357
1495.0,1.0,1.21933188982357,1505.0,4.0,5.9503791192147215,EKVX,3.333333333333333,943,1495,401,401,ESR1,gene,1.21933188982357
1499.0,2.0,1.3628318582935581,1494.0,1.0,4.11247572830001,EKVX,3.2222222222222223,2469,1499,401,401,ESR1,gene,1.21933188982357
1499.0,2.0,1.3628318582935581,1494.0,1.0,4.11247572830001,EKVX,3.2222222222222223,2469,1499,980,980,PGR,gene,0.143499968469988
1504.0,4.0,16.98943824482832,1505.0,4.0,5.9503791192147215,EKVX,1.7777777777777777,1881,1504,1399,1399,TNF,gene,2.93273498374
1504.0,4.0,16.98943824482832,1505.0,4.0,5.9503791192147215,EKVX,1.7777777777777777,1881,1504,439,439,FGFR2,gene,5.04114314906
1504.0,4.0,16.98943824482832,1505.0,4.0,5.9503791192147215,EKVX,1.7777777777777777,1881,1504,885,885,NFKB1,gene,7.82725773637432
1504.0,4.0,16.98943824482832,1505.0,4.0,5.9503791192147215,EKVX,1.7777777777777777,1881,1504,1106,1106,PTGS2,gene,1.188302375654
1504.0,4.0,16.98943824482832,1499.0,2.0,1.3628318582935581,EKVX,1.5555555555555556,515,1504,439,439,FGFR2,gene,5.04114314906
1504.0,4.0,16.98943824482832,1499.0,2.0,1.3628318582935581,EKVX,1.5555555555555556,515,1504,1399,1399,TNF,gene,2.93273498374
1504.0,4.0,16.98943824482832,1499.0,2.0,1.3628318582935581,EKVX,1.5555555555555556,515,1504,1106,1106,PTGS2,gene,1.188302375654
1504.0,4.0,16.98943824482832,1499.0,2.0,1.3628318582935581,EKVX,1.5555555555555556,515,1504,885,885,NFKB1,gene,7.82725773637432
1505.0,4.0,5.9503791192147215,1490.0,2.0,4.0022929971726,EKVX,1.3333333333333333,443,1505,1145,1145,RARA,gene,0.106049373955502
1505.0,4.0,5.9503791192147215,1490.0,2.0,4.0022929971726,EKVX,1.3333333333333333,443,1505,1217,1217,RXRB,gene,1.80165147757367
1505.0,4.0,5.9503791192147215,1490.0,2.0,4.0022929971726,EKVX,1.3333333333333333,443,1505,1218,1218,RXRG,gene,2.06314666342753
1505.0,4.0,5.9503791192147215,1490.0,2.0,4.0022929971726,EKVX,1.3333333333333333,443,1505,1216,1216,RXRA,gene,1.97953160425802
1503.0,2.0,6.76943860768001,1505.0,4.0,5.9503791192147215,EKVX,1.1111111111111112,2764,1503,429,429,FGF2,gene,2.65696287938
1503.0,2.0,6.76943860768001,1505.0,4.0,5.9503791192147215,EKVX,1.1111111111111112,2764,1503,858,858,MTOR,gene,4.11247572830001
1504.0,4.0,16.98943824482832,1503.0,2.0,6.76943860768001,EKVX,0.8888888888888888,27,1504,885,885,NFKB1,gene,7.82725773637432
1504.0,4.0,16.98943824482832,1503.0,2.0,6.76943860768001,EKVX,0.8888888888888888,27,1504,439,439,FGFR2,gene,5.04114314906
1504.0,4.0,16.98943824482832,1503.0,2.0,6.76943860768001,EKVX,0.8888888888888888,27,1504,1106,1106,PTGS2,gene,1.188302375654
1504.0,4.0,16.98943824482832,1503.0,2.0,6.76943860768001,EKVX,0.8888888888888888,27,1504,1399,1399,TNF,gene,2.93273498374
1495.0,1.0,1.21933188982357,1506.0,3.0,1.403739587636899,EKVX,0.5555555555555556,2443,1495,401,401,ESR1,gene,1.21933188982357
1498.0,1.0,0.143499968469988,1496.0,1.0,12.8997180761139,EKVX,0.3333333333333333,28,1498,980,980,PGR,gene,0.143499968469988
1503.0,2.0,6.76943860768001,1500.0,2.0,4.90170567218,EKVX,0.0,275,1503,858,858,MTOR,gene,4.11247572830001
1503.0,2.0,6.76943860768001,1500.0,2.0,4.90170567218,EKVX,0.0,275,1503,429,429,FGF2,gene,2.65696287938
1503.0,2.0,6.76943860768001,1490.0,2.0,4.0022929971726,EKVX,0.0,61,1503,858,858,MTOR,gene,4.11247572830001
1503.0,2.0,6.76943860768001,1490.0,2.0,4.0022929971726,EKVX,0.0,61,1503,429,429,FGF2,gene,2.65696287938
1500.0,2.0,4.90170567218,1499.0,2.0,1.3628318582935581,EKVX,-0.7777777777777778,1240,1500,707,707,KIT,gene,4.49514162376
1500.0,2.0,4.90170567218,1499.0,2.0,1.3628318582935581,EKVX,-0.7777777777777778,1240,1500,1,1,ABL1,gene,0.40656404842
1495.0,1.0,1.21933188982357,1503.0,2.0,6.76943860768001,EKVX,-2.0,2143,1495,401,401,ESR1,gene,1.21933188982357
1495.0,1.0,1.21933188982357,1502.0,3.0,1.411904914455339,EKVX,-2.0,2542,1495,401,401,ESR1,gene,1.21933188982357
