DrugA_idx,DrugA_target_num,DrugA_target_att_sum,DrugB_idx,DrugB_target_num,DrugB_target_att_sum,Cell_idx,Score
Docetaxel,2.0,2.8057581508637903,Tretinoin,4.0,5.72016314575765,HCT-116,21.55555555555556
Paclitaxel,2.0,2.8057581508637903,Celecoxib,2.0,4.21337595642953,HCT-116,13.444444444444445
Paclitaxel,2.0,2.8057581508637903,Tretinoin,4.0,5.72016314575765,HCT-116,12.666666666666666
Docetaxel,2.0,2.8057581508637903,Celecoxib,2.0,4.21337595642953,HCT-116,11.666666666666666
Fulvestrant,1.0,1.02258782706354,Everolimus,1.0,3.68517281421072,HCT-116,10.333333333333334
Vorinostat,3.0,3.862966561280406,Romidepsin,3.0,3.874082349389023,HCT-116,8.777777777777779
Romidepsin,3.0,3.874082349389023,Docetaxel,2.0,2.8057581508637903,HCT-116,8.444444444444445
Romidepsin,3.0,3.874082349389023,Tretinoin,4.0,5.72016314575765,HCT-116,7.333333333333333
Docetaxel,2.0,2.8057581508637903,Fulvestrant,1.0,1.02258782706354,HCT-116,7.333333333333333
Dasatinib,12.0,23.03764664539716,Tretinoin,4.0,5.72016314575765,HCT-116,5.0
Fulvestrant,1.0,1.02258782706354,Tretinoin,4.0,5.72016314575765,HCT-116,5.0
Romidepsin,3.0,3.874082349389023,Sirolimus,2.0,6.19259373759272,HCT-116,4.333333333333333
Dasatinib,12.0,23.03764664539716,Vorinostat,3.0,3.862966561280406,HCT-116,4.111111111111111
Docetaxel,2.0,2.8057581508637903,Nilotinib,2.0,6.237173426181999,HCT-116,3.7777777777777777
Romidepsin,3.0,3.874082349389023,Celecoxib,2.0,4.21337595642953,HCT-116,3.6666666666666665
Mitotane,2.0,1.15756432955154,Tretinoin,4.0,5.72016314575765,HCT-116,3.555555555555556
Everolimus,1.0,3.68517281421072,Paclitaxel,2.0,2.8057581508637903,HCT-116,2.7777777777777777
Megestrol acetate,1.0,0.134976502488,Gefitinib,1.0,8.88944026123,HCT-116,2.6666666666666665
Everolimus,1.0,3.68517281421072,Docetaxel,2.0,2.8057581508637903,HCT-116,2.333333333333333
Dasatinib,12.0,23.03764664539716,Sirolimus,2.0,6.19259373759272,HCT-116,2.0
Everolimus,1.0,3.68517281421072,Celecoxib,2.0,4.21337595642953,HCT-116,1.8888888888888888
Mitotane,2.0,1.15756432955154,Nilotinib,2.0,6.237173426181999,HCT-116,1.7777777777777777
Docetaxel,2.0,2.8057581508637903,Sirolimus,2.0,6.19259373759272,HCT-116,1.5555555555555556
Paclitaxel,2.0,2.8057581508637903,Nilotinib,2.0,6.237173426181999,HCT-116,1.3333333333333333
Mitotane,2.0,1.15756432955154,Everolimus,1.0,3.68517281421072,HCT-116,1.2222222222222223
Mitotane,2.0,1.15756432955154,Docetaxel,2.0,2.8057581508637903,HCT-116,1.2222222222222223
Sirolimus,2.0,6.19259373759272,Mitotane,2.0,1.15756432955154,HCT-116,0.8888888888888888
Romidepsin,3.0,3.874082349389023,Paclitaxel,2.0,2.8057581508637903,HCT-116,0.6666666666666666
Dasatinib,12.0,23.03764664539716,Paclitaxel,2.0,2.8057581508637903,HCT-116,0.5555555555555556
Gefitinib,1.0,8.88944026123,Lenalidomide,1.0,1.44290593944,HCT-116,0.0
Fulvestrant,1.0,1.02258782706354,Romidepsin,3.0,3.874082349389023,HCT-116,-0.2222222222222222
Mitotane,2.0,1.15756432955154,Sirolimus,2.0,6.19259373759272,HCT-116,-0.3333333333333333
Sirolimus,2.0,6.19259373759272,Celecoxib,2.0,4.21337595642953,HCT-116,-0.7777777777777778
Sirolimus,2.0,6.19259373759272,Tretinoin,4.0,5.72016314575765,HCT-116,-1.2222222222222223
Vorinostat,3.0,3.862966561280406,Tretinoin,4.0,5.72016314575765,HCT-116,-1.3333333333333333
Vorinostat,3.0,3.862966561280406,Docetaxel,2.0,2.8057581508637903,HCT-116,-1.5555555555555556
Dasatinib,12.0,23.03764664539716,Celecoxib,2.0,4.21337595642953,HCT-116,-1.7777777777777777
Everolimus,1.0,3.68517281421072,Sirolimus,2.0,6.19259373759272,HCT-116,-2.111111111111111
Everolimus,1.0,3.68517281421072,Dasatinib,12.0,23.03764664539716,HCT-116,-2.111111111111111
Megestrol acetate,1.0,0.134976502488,Lenalidomide,1.0,1.44290593944,HCT-116,-2.4444444444444446
Dasatinib,12.0,23.03764664539716,Romidepsin,3.0,3.874082349389023,HCT-116,-2.4444444444444446
Vorinostat,3.0,3.862966561280406,Celecoxib,2.0,4.21337595642953,HCT-116,-2.888888888888889
Fulvestrant,1.0,1.02258782706354,Dasatinib,12.0,23.03764664539716,HCT-116,-3.0
Mitotane,2.0,1.15756432955154,Celecoxib,2.0,4.21337595642953,HCT-116,-3.111111111111111
Nilotinib,2.0,6.237173426181999,Tretinoin,4.0,5.72016314575765,HCT-116,-3.2222222222222223
Tretinoin,4.0,5.72016314575765,Celecoxib,2.0,4.21337595642953,HCT-116,-3.333333333333333
Fulvestrant,1.0,1.02258782706354,Vorinostat,3.0,3.862966561280406,HCT-116,-3.4444444444444446
Dasatinib,12.0,23.03764664539716,Cladribine,2.0,0.02768428984,HCT-116,-3.7777777777777777
Dasatinib,12.0,23.03764664539716,Nilotinib,2.0,6.237173426181999,HCT-116,-4.0
Fulvestrant,1.0,1.02258782706354,Paclitaxel,2.0,2.8057581508637903,HCT-116,-4.0
Docetaxel,2.0,2.8057581508637903,Paclitaxel,2.0,2.8057581508637903,HCT-116,-4.111111111111111
Sirolimus,2.0,6.19259373759272,Cladribine,2.0,0.02768428984,HCT-116,-4.222222222222222
Vorinostat,3.0,3.862966561280406,Cladribine,2.0,0.02768428984,HCT-116,-4.444444444444445
Romidepsin,3.0,3.874082349389023,Nilotinib,2.0,6.237173426181999,HCT-116,-4.444444444444445
Paclitaxel,2.0,2.8057581508637903,Cladribine,2.0,0.02768428984,HCT-116,-4.444444444444445
Nilotinib,2.0,6.237173426181999,Celecoxib,2.0,4.21337595642953,HCT-116,-4.777777777777778
Fulvestrant,1.0,1.02258782706354,Cladribine,2.0,0.02768428984,HCT-116,-5.111111111111111
Paclitaxel,2.0,2.8057581508637903,Sirolimus,2.0,6.19259373759272,HCT-116,-5.111111111111111
Mitotane,2.0,1.15756432955154,Dasatinib,12.0,23.03764664539716,HCT-116,-5.666666666666667
Nilotinib,2.0,6.237173426181999,Mitotane,2.0,1.15756432955154,HCT-116,-5.888888888888889
Mitotane,2.0,1.15756432955154,Cladribine,2.0,0.02768428984,HCT-116,-6.222222222222222
Vorinostat,3.0,3.862966561280406,Sirolimus,2.0,6.19259373759272,HCT-116,-6.555555555555555
Docetaxel,2.0,2.8057581508637903,Cladribine,2.0,0.02768428984,HCT-116,-6.777777777777778
Vorinostat,3.0,3.862966561280406,Paclitaxel,2.0,2.8057581508637903,HCT-116,-7.0
Everolimus,1.0,3.68517281421072,Romidepsin,3.0,3.874082349389023,HCT-116,-7.222222222222222
Cladribine,2.0,0.02768428984,Celecoxib,2.0,4.21337595642953,HCT-116,-7.333333333333333
Dasatinib,12.0,23.03764664539716,Docetaxel,2.0,2.8057581508637903,HCT-116,-7.777777777777778
Sirolimus,2.0,6.19259373759272,Nilotinib,2.0,6.237173426181999,HCT-116,-7.888888888888889
Vorinostat,3.0,3.862966561280406,Nilotinib,2.0,6.237173426181999,HCT-116,-8.0
Everolimus,1.0,3.68517281421072,Vorinostat,3.0,3.862966561280406,HCT-116,-8.11111111111111
Fulvestrant,1.0,1.02258782706354,Nilotinib,2.0,6.237173426181999,HCT-116,-8.11111111111111
Everolimus,1.0,3.68517281421072,Cladribine,2.0,0.02768428984,HCT-116,-8.777777777777779
Everolimus,1.0,3.68517281421072,Tretinoin,4.0,5.72016314575765,HCT-116,-9.22222222222222
Fulvestrant,1.0,1.02258782706354,Celecoxib,2.0,4.21337595642953,HCT-116,-9.333333333333334
Everolimus,1.0,3.68517281421072,Nilotinib,2.0,6.237173426181999,HCT-116,-10.11111111111111
Fulvestrant,1.0,1.02258782706354,Sirolimus,2.0,6.19259373759272,HCT-116,-10.555555555555555
Nilotinib,2.0,6.237173426181999,Cladribine,2.0,0.02768428984,HCT-116,-11.555555555555555
Tretinoin,4.0,5.72016314575765,Cladribine,2.0,0.02768428984,HCT-116,-12.77777777777778
