SpNotation,SignalingPath,Attention,cell_line_name,cell_line_num,sum_rank
sp28,PI3K-Akt signaling pathway,92.25821298134073,NCI-H23,20,1
sp7,Calcium signaling pathway,51.64781015593998,NCI-H23,20,2
sp22,MAPK signaling pathway,49.43341792797706,NCI-H23,20,3
sp34,Ras signaling pathway,46.22712191037197,NCI-H23,20,4
sp33,Rap1 signaling pathway,46.03614149339403,NCI-H23,20,5
sp47,mTOR signaling pathway,26.364965578719982,NCI-H23,20,6
sp36,Signaling pathways regulating pluripotency of stem cells,25.90352317053999,NCI-H23,20,7
sp4,Apelin signaling pathway,23.686697526739984,NCI-H23,20,8
sp45,cAMP signaling pathway,23.182002168473982,NCI-H23,20,9
sp35,Relaxin signaling pathway,23.03005115189999,NCI-H23,20,10
sp24,NOD-like receptor signaling pathway,22.233337551736117,NCI-H23,20,11
sp30,Phospholipase D signaling pathway,21.929258240939994,NCI-H23,20,12
sp14,GnRH signaling pathway,21.894402239339996,NCI-H23,20,13
sp17,Hippo signaling pathway,21.47314749470803,NCI-H23,20,14
sp44,Wnt signaling pathway,21.021613132591977,NCI-H23,20,15
sp46,cGMP-PKG signaling pathway,20.236817406929994,NCI-H23,20,16
sp5,B cell receptor signaling pathway,19.6748435188,NCI-H23,20,17
sp20,Insulin signaling pathway,19.28626434402799,NCI-H23,20,18
sp10,Estrogen signaling pathway,18.62895010782709,NCI-H23,20,19
sp37,Sphingolipid signaling pathway,18.458390903599994,NCI-H23,20,20
sp21,JAK-STAT signaling pathway,17.263907550519978,NCI-H23,20,21
sp27,Oxytocin signaling pathway,16.941893043775707,NCI-H23,20,22
sp38,T cell receptor signaling pathway,16.827931204179997,NCI-H23,20,23
sp39,TGF-beta signaling pathway,14.875663655879993,NCI-H23,20,24
sp8,Chemokine signaling pathway,14.091736682659981,NCI-H23,20,25
sp12,FoxO signaling pathway,14.022086081359994,NCI-H23,20,26
sp42,Toll-like receptor signaling pathway,13.771586449499997,NCI-H23,20,27
sp13,Glucagon signaling pathway,13.387026147259988,NCI-H23,20,28
sp6,C-type lectin receptor signaling pathway,13.374478290899996,NCI-H23,20,29
sp40,TNF signaling pathway,13.289561078699997,NCI-H23,20,30
sp25,Neurotrophin signaling pathway,13.168338295379991,NCI-H23,20,31
sp9,ErbB signaling pathway,12.408171436039996,NCI-H23,20,32
sp11,Fc epsilon RI signaling pathway,11.981569957019998,NCI-H23,20,33
sp1,AGE-RAGE signaling pathway in diabetic complications,11.880990383059993,NCI-H23,20,34
sp15,HIF-1 signaling pathway,11.646536883515916,NCI-H23,20,35
sp2,AMPK signaling pathway,10.564819489050702,NCI-H23,20,36
sp41,Thyroid hormone signaling pathway,10.542051802021456,NCI-H23,20,37
sp31,Prolactin signaling pathway,10.493604208499997,NCI-H23,20,38
sp43,VEGF signaling pathway,10.361695912399995,NCI-H23,20,39
sp23,NF-kappa B signaling pathway,10.244838697639995,NCI-H23,20,40
sp32,RIG-I-like receptor signaling pathway,8.436910070499998,NCI-H23,20,41
sp19,IL-17 signaling pathway,8.308130957879994,NCI-H23,20,42
sp3,Adipocytokine signaling pathway,8.275316676599996,NCI-H23,20,43
sp16,Hedgehog signaling pathway,8.034741009939996,NCI-H23,20,44
sp26,Notch signaling pathway,7.719031765479994,NCI-H23,20,45
sp29,PPAR signaling pathway,6.343287097611993,NCI-H23,20,46
sp18,Hippo signaling pathway - multiple species,5.454824350959998,NCI-H23,20,47
sp48,p53 signaling pathway,5.401668144979997,NCI-H23,20,48
