SpNotation,Attention_x,cell_line_name,cell_line_num_x,mean_rank_x,Attention_y,cell_line_num_y,mean_rank_y
sp1,0.026883672167156845,A498,1,29,,,
sp2,0.02495566527011529,A498,1,32,0.0799673995329814,1.0,11.0
sp3,0.0427769156005263,A498,1,13,0.0238007062,1.0,16.0
sp4,0.024334744806360314,A498,1,34,0.008099766469999978,1.0,25.0
sp5,0.14585001829710142,A498,1,1,0.24438977499999995,1.0,7.0
sp6,0.03759925779978259,A498,1,20,0.024447517199999998,1.0,15.0
sp7,0.03502312238132074,A498,1,24,0.44378128074999995,1.0,3.0
sp8,0.011366343756013683,A498,1,48,,,
sp9,0.04641406423147539,A498,1,11,,,
sp10,0.03602196752790566,A498,1,22,,,
sp11,0.07364403472234567,A498,1,4,,,
sp12,0.03531018665805824,A498,1,23,0.010118722204999996,1.0,22.0
sp13,0.018587721781200443,A498,1,42,0.02076453979499995,1.0,18.0
sp14,0.09528791691779659,A498,1,3,,,
sp15,0.02557646444971845,A498,1,30,,,
sp16,0.029158817553655153,A498,1,26,1.0,1.0,1.0
sp17,0.019711732182466097,A498,1,39,,,
sp18,0.05262944351132074,A498,1,9,,,
sp19,0.024504925643018,A498,1,33,,,
sp20,0.03802603158708386,A498,1,19,0.01847283489999995,1.0,19.0
sp21,0.015025018395042512,A498,1,47,0.008454810156666633,1.0,24.0
sp22,0.018852896412188534,A498,1,41,,,
sp23,0.039162383772153836,A498,1,18,0.0231918646,1.0,17.0
sp24,0.10221093284980809,A498,1,2,0.53122532555,1.0,2.0
sp25,0.027716290548183194,A498,1,28,,,
sp26,0.020624575618231278,A498,1,37,,,
sp27,0.020622495972592483,A498,1,38,,,
sp28,0.022702001429682775,A498,1,35,0.027122514785669013,1.0,14.0
sp29,0.01687193961421944,A498,1,44,0.14457348514919993,1.0,9.0
sp30,0.04589875750907257,A498,1,12,0.016201860174999992,1.0,20.0
sp31,0.04145368348612243,A498,1,16,,,
sp32,0.07021583172203388,A498,1,5,0.36782126000000004,1.0,5.0
sp33,0.025147675115212105,A498,1,31,0.1697734214,1.0,8.0
sp34,0.020755737080135422,A498,1,36,,,
sp35,0.028627401848009812,A498,1,27,0.01104922728,1.0,21.0
sp36,0.04061266003183614,A498,1,17,,,
sp37,0.04810994507254224,A498,1,10,0.39834133769999996,1.0,4.0
sp38,0.06522670601999998,A498,1,6,0.0976451934,1.0,10.0
sp39,0.03713487672182691,A498,1,21,,,
sp40,0.05993212921962615,A498,1,7,,,
sp41,0.01950179720095338,A498,1,40,,,
sp42,0.05271164467491377,A498,1,8,0.06267397535,1.0,13.0
sp43,0.0421451467917699,A498,1,15,,,
sp44,0.015388957323492049,A498,1,46,0.008786036610769215,1.0,23.0
sp45,0.01750179685941175,A498,1,43,0.005869551029999966,1.0,27.0
sp46,0.0423879704854508,A498,1,14,0.34876471728666664,1.0,6.0
sp47,0.031196040932029056,A498,1,25,0.06838244721642497,1.0,12.0
sp48,0.015447340683970237,A498,1,45,0.006963543044135,1.0,26.0
sp1,0.024796860875168126,A549/ATCC,2,32,,,
sp2,0.022838175390121444,A549/ATCC,2,34,0.10046582561090908,2.0,9.0
sp3,0.03258271478578945,A549/ATCC,2,24,0.0281956242,2.0,17.0
sp4,0.021299603802444042,A549/ATCC,2,35,0.009175577611666657,2.0,29.0
sp5,0.14428944188405796,A549/ATCC,2,1,0.33103072,2.0,6.0
sp6,0.03589647987413042,A549/ATCC,2,22,0.10016340524999999,2.0,10.0
sp7,0.035915465499497284,A549/ATCC,2,21,0.44684460640999996,2.0,2.0
sp8,0.011731618979874984,A549/ATCC,2,48,0.013850693999999976,2.0,25.0
sp9,0.049313702481803265,A549/ATCC,2,9,,,
sp10,0.03642413486008465,A549/ATCC,2,20,,,
sp11,0.0730425456448148,A549/ATCC,2,4,,,
sp12,0.034243291012621344,A549/ATCC,2,23,0.010070760988333318,2.0,27.0
sp13,0.018835409379592622,A549/ATCC,2,39,0.021278224174999975,2.0,20.0
sp14,0.0899864785657627,A549/ATCC,2,3,0.020935139706666647,2.0,22.0
sp15,0.0256729753067665,A549/ATCC,2,30,,,
sp16,0.027689185951448262,A549/ATCC,2,28,1.0,2.0,1.0
sp17,0.016885913414236977,A549/ATCC,2,45,0.00489840926750415,2.0,34.0
sp18,0.0479143969943396,A549/ATCC,2,11,,,
sp19,0.0178325547521171,A549/ATCC,2,41,,,
sp20,0.04203230876961468,A549/ATCC,2,15,0.021060606200000002,2.0,21.0
sp21,0.017289815547885768,A549/ATCC,2,44,0.008257580986363618,2.0,31.0
sp22,0.018693112349797567,A549/ATCC,2,40,0.00567176248186765,2.0,33.0
sp23,0.03936623686561537,A549/ATCC,2,16,0.0224384182,2.0,19.0
sp24,0.10865335102797281,A549/ATCC,2,2,0.40202974566666666,2.0,3.0
sp25,0.02507628647959159,A549/ATCC,2,31,0.02988305223,2.0,16.0
sp26,0.0203778167912925,A549/ATCC,2,37,,,
sp27,0.029484134770541782,A549/ATCC,2,25,0.0487641063,2.0,15.0
sp28,0.023148449473160592,A549/ATCC,2,33,0.027841118484696767,2.0,18.0
sp29,0.017621827205645927,A549/ATCC,2,42,0.0962492012702222,2.0,12.0
sp30,0.04252960969001611,A549/ATCC,2,14,0.016849120745833307,2.0,24.0
sp31,0.03786296979775509,A549/ATCC,2,18,,,
sp32,0.07083482148644066,A549/ATCC,2,5,0.20266737055,2.0,7.0
sp33,0.026364702411058188,A549/ATCC,2,29,0.09797689117833072,2.0,11.0
sp34,0.020428616550749523,A549/ATCC,2,36,,,
sp35,0.028941815650466815,A549/ATCC,2,26,0.012646713686666667,2.0,26.0
sp36,0.038088523892005635,A549/ATCC,2,17,,,
sp37,0.04826803538781817,A549/ATCC,2,10,0.38341926183333325,2.0,4.0
sp38,0.06268989105607406,A549/ATCC,2,6,0.1129382414,2.0,8.0
sp39,0.03684749408394229,A549/ATCC,2,19,,,
sp40,0.060510236612710266,A549/ATCC,2,7,,,
sp41,0.0196133424777934,A549/ATCC,2,38,0.009406283193334,2.0,28.0
sp42,0.051789074568620676,A549/ATCC,2,8,0.08204251121499995,2.0,13.0
sp43,0.04520086701831857,A549/ATCC,2,12,,,
sp44,0.015914851691088007,A549/ATCC,2,47,0.007734510459999982,2.0,32.0
sp45,0.016778564953992443,A549/ATCC,2,46,0.02007301521974999,2.0,23.0
sp46,0.04379039005184425,A549/ATCC,2,13,0.3492244533166666,2.0,5.0
sp47,0.02845600584347144,A549/ATCC,2,27,0.07432530046061901,2.0,14.0
sp48,0.017308828161264195,A549/ATCC,2,43,0.008529329644499975,2.0,30.0
sp1,0.027764969822156843,ACHN,3,30,,,
sp2,0.022355603737161927,ACHN,3,33,0.50472188326,3.0,3.0
sp3,0.030047764823421034,ACHN,3,25,0.0250529429,3.0,20.0
sp4,0.019313081738122476,ACHN,3,39,0.008905438113333317,3.0,28.0
sp5,0.14393665912608694,ACHN,3,1,0.277311828,3.0,8.0
sp6,0.03267858756529346,ACHN,3,24,0.12023981314999999,3.0,11.0
sp7,0.03624863577357141,ACHN,3,21,0.300681551505,3.0,7.0
sp8,0.012039795592303067,ACHN,3,48,0.010054888880000001,3.0,25.0
sp9,0.06429410804213113,ACHN,3,6,,,
sp10,0.03732975630059513,ACHN,3,19,0.12577749669499996,3.0,10.0
sp11,0.07471957398493825,ACHN,3,4,,,
sp12,0.03419121130388348,ACHN,3,22,,,
