SpNotation,SignalingPath,Attention,cell_line_name,cell_line_num,mean_rank
sp16,Hedgehog signaling pathway,1.0,HS 578T,12,1
sp37,Sphingolipid signaling pathway,1.0,HS 578T,12,2
sp24,NOD-like receptor signaling pathway,0.5246150253499999,HS 578T,12,3
sp46,cGMP-PKG signaling pathway,0.5113800718,HS 578T,12,4
sp7,Calcium signaling pathway,0.4347257398,HS 578T,12,5
sp5,B cell receptor signaling pathway,0.33621157300000004,HS 578T,12,6
sp32,RIG-I-like receptor signaling pathway,0.31221778599999994,HS 578T,12,7
sp22,MAPK signaling pathway,0.18269820378999999,HS 578T,12,8
sp2,AMPK signaling pathway,0.1751074071367,HS 578T,12,9
sp29,PPAR signaling pathway,0.1149294196484,HS 578T,12,10
sp38,T cell receptor signaling pathway,0.1111431364,HS 578T,12,11
sp12,FoxO signaling pathway,0.07651556217,HS 578T,12,12
sp47,mTOR signaling pathway,0.07354750824842103,HS 578T,12,13
sp45,cAMP signaling pathway,0.06660228492,HS 578T,12,14
sp42,Toll-like receptor signaling pathway,0.06179279235,HS 578T,12,15
sp4,Apelin signaling pathway,0.05881072579309998,HS 578T,12,16
sp28,PI3K-Akt signaling pathway,0.028527694338020465,HS 578T,12,17
sp3,Adipocytokine signaling pathway,0.0245522845,HS 578T,12,18
sp14,GnRH signaling pathway,0.0237376528,HS 578T,12,19
sp23,NF-kappa B signaling pathway,0.0214387349,HS 578T,12,20
sp13,Glucagon signaling pathway,0.021056197715,HS 578T,12,21
sp30,Phospholipase D signaling pathway,0.020775355267142828,HS 578T,12,22
sp20,Insulin signaling pathway,0.01974411181,HS 578T,12,23
sp6,C-type lectin receptor signaling pathway,0.0178164917,HS 578T,12,24
sp35,Relaxin signaling pathway,0.01197851685,HS 578T,12,25
sp41,Thyroid hormone signaling pathway,0.0101619875,HS 578T,12,26
sp44,Wnt signaling pathway,0.009473108518571414,HS 578T,12,27
sp21,JAK-STAT signaling pathway,0.007940907463333308,HS 578T,12,28
sp15,HIF-1 signaling pathway,0.00747940486399995,HS 578T,12,29
