"","Cell_Line_Name","Cell_Line_Num","Cancer_name","f_value","t_value","top_mean","low_mean","top_median","low_median"
"1","A498",1,"Renal",0.580026372434793,0.262658404923439,8.24572222222222,5.56285185185185,8.1115,1.179
"2","A549/ATCC",2,"Lung",0.0126907946337478,0.000300696244962821,9.69596,2.657,10.709,1.063
"3","ACHN",3,"Renal",0.500612663371588,0.200428721215983,8.06225,5.263,5.836,1.85
"4","BT-549",4,"Breast",0.253937569299101,0.18918379606687,9.89209090909091,6.87665384615385,9.7295,4.7625
"5","CAKI-1",5,"Renal",0.75491216174322,0.189688046893423,7.71534615384615,4.7425625,4.777,1.214
"6","DU-145",6,"Prostate",0.0208041458528466,0.0407312075854582,11.0988181818182,6.51108571428571,13.492,4.613
"7","EKVX",7,"Lung",0.340235085574204,0.0617912683101631,8.11203846153846,4.634625,10.0715,0.793
"8","HCT-116",8,"Colon",0.186274330919743,0.0106054627241627,11.0535909090909,4.86373684210526,12.072,0.968
"9","HCT-15",9,"Colon",0.581939192360982,0.689433736165736,6.64127777777778,5.99260465116279,6.0465,4.337
"10","HOP-62",10,"Lung",0.710606230549405,0.412900855789951,7.49063636363636,5.95386956521739,8.4205,2.403
"11","HOP-92",11,"Lung",0.71623507215451,0.608905714334769,7.08108333333333,6.04933333333333,3.541,1.152
"12","HS 578T",12,"Breast",0.000438349007110578,0.000374753510252441,10.9233846153846,2.91441935483871,10.9285,1.015
"13","IGROV1",13,"Ovarian",0.318876193006963,0.0306524636907431,6.5681,2.92847058823529,5.255,1.162
"14","K-562",14,"Leukemia",0.0563227902451237,0.0567762413647745,8.10402941176471,4.78274074074074,5.2215,3.699
"15","KM12",15,"Colon",4.08299773504201e-06,0.0196201504811047,10.0042380952381,4.00055555555556,6.732,1.78
"16","LOX IMVI",16,"Melanoma",0.695750125887602,0.491619659886553,8.93631578947369,7.24984210526316,6.739,6.739
"17","MCF7",17,"Breast",0.00306833587393581,0.00633312781415275,8.41165,3.779625,9.7145,2.987
"18","MDA-MB-231/ATCC",18,"Breast",0.0433929683240757,0.0116458898259177,9.25486363636364,4.65006451612903,11.1535,2.446
"19","MDA-MB-468",19,"Breast",0.0347709002521194,0.00856875384024063,10.1535454545455,3.92812903225806,10.719,1.456
"20","NCI-H23",20,"Lung",0.972828157321409,0.504921652561192,6.54445833333333,5.36216,5.2885,3.57
"21","NCI-H460",21,"Lung",0.0259017093215538,0.00866585309591733,9.82470833333333,4.0465652173913,10.2615,0.995
"22","NCI-H522",22,"Lung",0.0929589182066035,0.00381136554864143,10.3553913043478,4.10762068965517,10.431,1.112
"23","OVCAR-3",23,"Ovarian",0.14092253152197,0.302777520228437,10.0375,7.4831935483871,8.322,4.721
"24","OVCAR-4",24,"Ovarian",0.00555137229169779,0.0225395279666375,10.5576111111111,4.38482051282051,10.734,2.716
"25","OVCAR-8",25,"Ovarian",0.0656554731297844,0.0200667986442782,10.5759130434783,5.27962962962963,11.749,4.012
"26","PC-3",26,"Prostate",0.618331323677574,0.016824850764266,7.69476666666667,3.68580769230769,7.8885,1.091
"27","RPMI-8226",27,"Leukemia",0.00202570785722263,0.090566197626675,8.20359090909091,4.76770454545455,4.3245,3.1255
"28","SF-268",28,"CNS",0.412252033733953,0.264704037500754,9.00357142857143,6.45484615384615,9.976,2.993
"29","SF-295",29,"CNS",0.0869668768184227,0.0645243629698997,4.53379310344828,2.24575,3.38,0.638
"30","SF-539",30,"CNS",0.00735319034559492,0.00260949359470011,11.5421739130435,3.59255555555556,13.699,1.1785
"31","SK-MEL-2",31,"Melanoma",1,1,4.17266666666667,4.17266666666667,1.349,1.349
"32","SK-MEL-28",32,"Melanoma",0.000319192604995659,0.0148761288148724,8.823,3.91362857142857,10.068,3.142
"33","SK-MEL-5",33,"Melanoma",0.0071750839183891,0.00826384758998808,8.74145833333333,3.65655555555556,8.3605,1.907
"34","SK-OV-3",34,"Ovarian",0.441538421782289,0.504318962697826,7.19541666666667,5.89610526315789,5.4435,5.753
"35","SNB-75",35,"CNS",0.0309785488826922,0.00426484549876097,10.9184782608696,4.57329411764706,11.708,1.7435
"36","SR",36,"Leukemia",0.102770196981961,0.80550571792027,4.640625,5.06011111111111,2.233,6.353
"37","SW-620",37,"Colon",0.108028446696583,0.0948158730500146,11.952,7.60654838709677,11.832,6.941
"38","T-47D",38,"Breast",0.671997804740456,0.0412548952020862,9.1465,4.10940909090909,8.999,1.2975
"39","U251",39,"CNS",0.392620974043324,0.968601176334793,5.05774285714286,5.115625,1.782,3.32
"40","UACC-257",40,"Melanoma",0.126594267143664,0.0625027193591601,9.99073913043478,5.55445,13.737,1.475
"41","UACC-62",41,"Melanoma",0.00426450903648186,0.00107126825448667,10.2899583333333,3.59857894736842,11.868,1.73
"42","UO-31",42,"Renal",0.402806611733726,0.867508036099513,3.98037037037037,4.18062068965517,1.985,1.985
