symbol,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,EKVX,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62,UO-31
ABL1,18,12,17,36,8,26,13,10,18,15,13,26,23,46,5,69,12,30,11,5,20,22,19,5,20,4,10,29,17,19,15,9,18,24,40,17,21,16,34,7,10,15
ABL2,9,5,11,15,7,18,6,5,2,6,9,6,6,4,3,11,2,12,5,8,4,6,4,3,10,2,2,11,5,6,12,15,11,8,16,5,4,3,14,15,5,12
ACAA1,3,3,2,3,3,3,3,3,11,4,7,3,4,4,11,4,6,5,4,3,3,3,5,7,4,13,4,6,4,3,7,6,7,2,6,7,3,6,3,4,7,6
ACACA,10,14,22,12,6,12,16,14,18,22,20,8,10,15,4,13,8,8,7,7,15,25,6,12,10,6,9,13,20,10,9,5,8,15,12,6,13,19,19,7,11,18
ACADM,7,9,18,16,7,9,15,14,13,7,11,5,6,32,16,14,6,6,12,11,12,12,7,9,20,9,8,6,15,13,10,23,18,5,12,15,14,7,15,20,6,8
ACOX1,4,5,4,3,8,3,7,8,10,4,5,2,2,5,6,3,5,4,9,3,3,17,8,2,4,6,3,3,7,2,7,3,7,4,3,3,8,18,8,4,5,6
ACOX3,5,2,2,4,9,4,3,3,6,4,3,4,1,3,1,8,6,3,3,2,1,3,2,4,3,2,2,4,4,4,3,1,2,4,3,4,2,4,3,4,2,3
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL1,12,5,41,8,25,2,5,3,13,3,8,3,9,12,10,0,3,7,20,3,6,2,3,12,1,4,9,8,7,5,8,22,30,12,12,9,5,15,2,14,10,27
ACSL3,15,39,36,12,12,10,40,21,17,34,26,23,12,35,13,38,28,11,21,11,25,11,23,12,22,34,4,24,19,20,41,55,89,29,30,14,12,11,20,39,44,14
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2,6,2,11,36,7,0,0,2,4,1,8,435,6,0,0,3,0,0,0,1,1,0,0,67,0,0,0,1,1,0,0,0,0,3,245,4,0,2,0,5,3,15
ACTB,1864,1420,1295,1849,1232,1641,1620,331,889,1260,1815,2281,1541,617,327,757,860,1445,1777,1466,1279,1087,722,1270,2053,742,492,2966,2147,2150,585,666,800,875,1956,1800,719,1115,1605,880,712,1894
ACTG1,712,1447,791,997,1728,1316,1157,712,685,1896,2011,1130,1081,460,603,1307,918,1015,1037,842,1046,2074,906,1599,1150,426,303,3203,1380,1013,737,1063,1396,1760,934,608,711,457,963,1180,536,1273
ACVR1,11,7,15,6,9,5,7,7,4,10,7,17,2,6,2,13,4,4,5,3,3,4,5,3,4,5,2,8,11,21,10,11,6,6,13,9,1,1,8,15,15,7
ACVR1B,5,4,7,3,4,5,5,7,5,5,4,2,16,5,4,5,9,2,3,6,3,5,8,5,4,3,2,5,5,3,3,3,5,6,3,7,10,9,3,3,3,9
ACVR1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
ACVR2A,1,1,1,0,1,0,1,2,1,1,0,1,3,1,2,1,1,0,1,1,0,1,3,0,1,1,0,0,0,2,2,0,0,1,1,1,1,0,2,1,1,1
ACVR2B,0,0,0,0,0,0,0,4,2,0,0,0,2,5,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0,3,2,0,1,0,0,1
ADAM17,18,17,17,11,9,14,9,20,9,18,7,10,11,13,8,24,6,7,13,14,14,12,14,5,7,6,8,3,12,25,13,9,8,8,8,12,13,4,15,7,7,23
ADCY1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,4,0,0,1,1,3,0,0,2,0,6,1,3,0,23,4,20,0,2,0,0,0,0,7,6,0
ADCY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
