Drug A,Drug B,Cell Line Name,Score,Pred Score
Vorinostat,Romidepsin,BT-549,-0.6666666666666666,2.235203742980957
Romidepsin,Tretinoin,HCT-116,7.333333333333333,3.9211831092834473
Tretinoin,Celecoxib,UACC-257,-0.4444444444444444,-6.208602428436279
Nilotinib,Cladribine,MDA-MB-231/ATCC,-4.111111111111111,-4.177347183227539
Thalidomide,Mitotane,DU-145,-7.333333333333333,-0.2000377178192138
Fulvestrant,Romidepsin,SF-268,1.3333333333333333,0.4714603424072265
Dasatinib,Tretinoin,SK-MEL-28,-8.444444444444445,1.4386532306671145
Mitotane,Dasatinib,SK-OV-3,1.6666666666666667,-0.9417762756347656
Mitotane,Dasatinib,SNB-75,3.333333333333333,1.5561933517456057
Docetaxel,Nilotinib,UACC-257,2.111111111111111,6.231452465057373
Thalidomide,Sirolimus,CAKI-1,0.1111111111111111,2.8127191066741943
Romidepsin,Cladribine,OVCAR-8,11.22222222222222,-2.185619115829468
Gefitinib,Lenalidomide,MCF7,-3.111111111111111,1.701292872428894
Sirolimus,Nilotinib,MCF7,-3.888888888888889,-1.3848851919174194
Mitotane,Everolimus,SK-MEL-28,14.11111111111111,2.4984893798828125
Fulvestrant,Vorinostat,PC-3,-4.444444444444445,3.8220856189727774
Gefitinib,Lenalidomide,SW-620,6.0,-0.905156910419464
Paclitaxel,Celecoxib,SF-268,12.555555555555555,13.596431732177734
Nilotinib,Tretinoin,SF-539,-0.8888888888888888,-5.405753612518311
Fulvestrant,Sirolimus,UACC-257,-4.0,-0.6777365803718567
Tretinoin,Cladribine,SK-MEL-5,-1.1111111111111112,-5.696557998657227
Thalidomide,Paclitaxel,SF-295,-3.555555555555556,-0.6363239288330078
Fulvestrant,Celecoxib,RPMI-8226,-10.666666666666666,-4.411354064941406
Mitotane,Docetaxel,SK-OV-3,9.11111111111111,1.828535079956055
Mitotane,Sirolimus,SR,-1.7777777777777777,-2.1394500732421875
Thalidomide,Mitotane,RPMI-8226,-3.4444444444444446,-3.5622634887695312
Paclitaxel,Celecoxib,MDA-MB-231/ATCC,23.22222222222222,13.666640281677246
Thalidomide,Sirolimus,EKVX,0.8888888888888888,-6.776609420776367
Megestrol acetate,Gefitinib,EKVX,0.3333333333333333,-3.404289484024048
Everolimus,Dasatinib,SF-268,-3.7777777777777777,-7.299358367919922
Thalidomide,Mitotane,MDA-MB-468,2.111111111111111,-0.7637732625007629
Fulvestrant,Cladribine,SF-268,-2.2222222222222223,-2.1831650733947754
Sirolimus,Cladribine,NCI-H460,-2.2222222222222223,-0.4017802476882934
Sirolimus,Mitotane,PC-3,3.111111111111111,-0.7487200498580933
Fulvestrant,Everolimus,U251,0.1111111111111111,4.7778639793396
Thalidomide,Sirolimus,ACHN,-2.555555555555556,-0.000523567199707
Thalidomide,Sirolimus,OVCAR-8,-0.2222222222222222,-1.6253901720046997
Docetaxel,Sirolimus,PC-3,3.111111111111111,1.838500022888184
Mitotane,Dasatinib,OVCAR-4,-4.444444444444445,-1.583879470825195
Docetaxel,Cladribine,K-562,-5.222222222222222,-2.1346027851104736
Paclitaxel,Tretinoin,UO-31,4.0,12.471187591552734
