Drug A,Drug B,Cell Line Name,Score,Pred Score
Dasatinib,Celecoxib,HS 578T,8.88888888888889,1.3535438776016235
Megestrol acetate,Lenalidomide,RPMI-8226,-0.5555555555555556,-6.57920503616333
Dasatinib,Sirolimus,RPMI-8226,-8.444444444444445,-5.655538558959961
Sirolimus,Nilotinib,OVCAR-4,0.4444444444444444,-0.7249641418457031
Vorinostat,Cladribine,A498,-2.7777777777777777,3.9960527420043945
Mitotane,Everolimus,SR,-3.6666666666666665,4.5739359855651855
Vorinostat,Celecoxib,SW-620,-5.222222222222222,-3.6071059703826895
Cladribine,Celecoxib,NCI-H460,-10.555555555555555,2.695542812347412
Vorinostat,Docetaxel,UACC-257,0.6666666666666666,-2.3584439754486084
Dasatinib,Celecoxib,NCI-H522,8.0,5.376460075378418
Docetaxel,Nilotinib,OVCAR-4,0.2222222222222222,12.523822784423828
Romidepsin,Paclitaxel,NCI-H522,-2.6666666666666665,-3.6228864192962646
Cladribine,Celecoxib,U251,-5.111111111111111,-6.5500807762146
Vorinostat,Celecoxib,OVCAR-3,-9.333333333333334,0.5016521215438843
Fulvestrant,Cladribine,OVCAR-8,-0.3333333333333333,-2.1836724281311035
Sirolimus,Nilotinib,OVCAR-3,2.6666666666666665,-1.920590877532959
Vorinostat,Nilotinib,NCI-H460,-8.88888888888889,-10.005119323730469
Mitotane,Celecoxib,SNB-75,-5.555555555555555,-3.1322829723358154
Vorinostat,Cladribine,SK-MEL-5,1.5555555555555556,0.2484861016273498
Mitotane,Tretinoin,SNB-75,-4.444444444444445,-0.0539126396179199
Tretinoin,Cladribine,A498,-8.0,-0.2645015716552734
Sirolimus,Mitotane,U251,5.222222222222222,2.894104480743408
Fulvestrant,Sirolimus,HOP-62,-1.8888888888888888,-1.768004298210144
Everolimus,Romidepsin,IGROV1,-7.555555555555555,-2.834534168243408
Everolimus,Docetaxel,NCI-H522,4.0,-0.5734703540802002
Mitotane,Paclitaxel,PC-3,0.1111111111111111,-0.0517725944519043
Romidepsin,Paclitaxel,SK-MEL-28,1.4444444444444444,-3.1928422451019287
Paclitaxel,Cladribine,SW-620,-2.0,-3.8395729064941406
