Drug A,Drug B,Cell Line Name,Score,Pred Score
Dasatinib,Celecoxib,HS 578T,8.88888888888889,-1.983916521072388
Megestrol acetate,Lenalidomide,RPMI-8226,-0.5555555555555556,-1.0665521621704102
Dasatinib,Sirolimus,RPMI-8226,-8.444444444444445,-0.3600714206695556
Sirolimus,Nilotinib,OVCAR-4,0.4444444444444444,1.2590227127075195
Vorinostat,Cladribine,A498,-2.7777777777777777,-2.573019504547119
Mitotane,Everolimus,SR,-3.6666666666666665,4.247942924499512
Vorinostat,Celecoxib,SW-620,-5.222222222222222,-6.675205230712891
Cladribine,Celecoxib,NCI-H460,-10.555555555555555,0.2978334426879883
Vorinostat,Docetaxel,UACC-257,0.6666666666666666,-3.253756046295166
Dasatinib,Celecoxib,NCI-H522,8.0,-0.881608247756958
Docetaxel,Nilotinib,OVCAR-4,0.2222222222222222,10.92598819732666
Romidepsin,Paclitaxel,NCI-H522,-2.6666666666666665,-2.57576322555542
Cladribine,Celecoxib,U251,-5.111111111111111,-2.3949129581451416
Vorinostat,Celecoxib,OVCAR-3,-9.333333333333334,-4.175395965576172
Fulvestrant,Cladribine,OVCAR-8,-0.3333333333333333,-1.817485213279724
Sirolimus,Nilotinib,OVCAR-3,2.6666666666666665,-2.6618974208831787
Vorinostat,Nilotinib,NCI-H460,-8.88888888888889,-2.7271361351013184
Mitotane,Celecoxib,SNB-75,-5.555555555555555,3.367149353027344
Vorinostat,Cladribine,SK-MEL-5,1.5555555555555556,-1.0676270723342896
Mitotane,Tretinoin,SNB-75,-4.444444444444445,3.266761779785156
Tretinoin,Cladribine,A498,-8.0,-1.6734923124313354
Sirolimus,Mitotane,U251,5.222222222222222,-1.7564634084701538
Fulvestrant,Sirolimus,HOP-62,-1.8888888888888888,0.1828639805316925
Everolimus,Romidepsin,IGROV1,-7.555555555555555,-3.5567307472229004
Everolimus,Docetaxel,NCI-H522,4.0,-0.906330406665802
Mitotane,Paclitaxel,PC-3,0.1111111111111111,-2.4866392612457275
Romidepsin,Paclitaxel,SK-MEL-28,1.4444444444444444,-1.4771102666854858
Paclitaxel,Cladribine,SW-620,-2.0,9.868413925170898
Thalidomide,Sirolimus,HOP-92,-2.7777777777777777,0.6749336123466492
Everolimus,Celecoxib,U251,-6.555555555555555,0.3315409421920776
Thalidomide,Cladribine,CAKI-1,-8.666666666666666,-3.5930287837982178
Sirolimus,Cladribine,OVCAR-4,-5.0,-2.44876766204834
Fulvestrant,Celecoxib,A498,-3.7777777777777777,-2.918949604034424
Vorinostat,Romidepsin,RPMI-8226,9.555555555555555,-1.3079748153686523
Dasatinib,Nilotinib,U251,-10.22222222222222,-4.841904163360596
Docetaxel,Fulvestrant,SK-MEL-5,9.0,15.828649520874023
Fulvestrant,Tretinoin,CAKI-1,-2.7777777777777777,-5.636882781982422
Everolimus,Celecoxib,OVCAR-4,-1.5555555555555556,-3.624456405639648
Everolimus,Paclitaxel,SF-539,-1.8888888888888888,5.049783229827881
Mitotane,Docetaxel,CAKI-1,2.4444444444444446,-3.8170394897460938
Everolimus,Dasatinib,MCF7,-5.222222222222222,-1.5399374961853027
Everolimus,Celecoxib,NCI-H522,-1.6666666666666667,-7.496755599975586
Megestrol acetate,Gefitinib,SW-620,5.888888888888889,-2.8740382194519043
Fulvestrant,Nilotinib,HOP-92,-6.666666666666667,-1.177485466003418
Nilotinib,Cladribine,RPMI-8226,-0.2222222222222222,-1.6335790157318115
Fulvestrant,Nilotinib,MDA-MB-231/ATCC,-6.666666666666667,-0.1221418976783752
Everolimus,Sirolimus,UACC-257,-5.111111111111111,-2.782478094100952
Mitotane,Tretinoin,MDA-MB-231/ATCC,0.3333333333333333,1.0241011381149292
Gefitinib,Lenalidomide,PC-3,-0.4444444444444444,-2.577937602996826
Tretinoin,Celecoxib,UO-31,-4.444444444444445,-2.8594284057617188
Megestrol acetate,Gefitinib,U251,3.4444444444444446,-2.0228662490844727
Everolimus,Vorinostat,MDA-MB-231/ATCC,-0.7777777777777778,-5.727771759033203
Vorinostat,Tretinoin,KM12,-9.555555555555555,-5.852702617645264
Mitotane,Cladribine,SK-MEL-28,-5.333333333333333,-0.141544371843338
Vorinostat,Romidepsin,NCI-H460,5.222222222222222,-1.4291383028030396
Sirolimus,Tretinoin,OVCAR-4,6.444444444444445,2.745070695877075
Thalidomide,Sirolimus,LOX IMVI,5.111111111111111,1.92824935913086
Mitotane,Sirolimus,K-562,4.888888888888889,5.345394134521484
Sirolimus,Tretinoin,HOP-92,-6.0,-0.9655704498291016
Fulvestrant,Cladribine,PC-3,-5.666666666666667,-1.754244327545166
Paclitaxel,Celecoxib,HS 578T,37.77777777777778,17.055347442626953
Everolimus,Vorinostat,BT-549,-7.111111111111111,-3.5347704887390137
Dasatinib,Tretinoin,UACC-257,-1.4444444444444444,-2.3524603843688965
Sirolimus,Tretinoin,U251,6.777777777777778,-2.5047607421875
Dasatinib,Vorinostat,OVCAR-4,-9.444444444444445,-2.0746474266052246
Gefitinib,Lenalidomide,SNB-75,-6.333333333333333,-1.6414849758148191
Fulvestrant,Sirolimus,OVCAR-3,-0.4444444444444444,0.055556297302246
Vorinostat,Docetaxel,HS 578T,5.111111111111111,-3.725915908813477
Dasatinib,Paclitaxel,LOX IMVI,9.11111111111111,-2.2418901920318604
Dasatinib,Celecoxib,HCT-116,-1.7777777777777777,-0.80486661195755
Mitotane,Everolimus,T-47D,-7.888888888888889,-2.265472412109375
Vorinostat,Cladribine,A549/ATCC,-3.6666666666666665,-1.717430591583252
Docetaxel,Sirolimus,SF-268,-2.888888888888889,6.237314224243164
Nilotinib,Mitotane,SNB-75,-8.0,-2.5750744342803955
Vorinostat,Sirolimus,OVCAR-8,-2.4444444444444446,-2.1072328090667725
Docetaxel,Nilotinib,SW-620,7.888888888888889,1.5648354291915894
Fulvestrant,Tretinoin,NCI-H460,-0.2222222222222222,-2.608205556869507
Fulvestrant,Cladribine,DU-145,-0.5555555555555556,0.0622201412916183
Thalidomide,Paclitaxel,EKVX,-2.7777777777777777,-2.875875473022461
Romidepsin,Sirolimus,IGROV1,-3.555555555555556,-2.4354376792907715
Romidepsin,Cladribine,NCI-H460,-0.5555555555555556,-1.644969820976257
Mitotane,Everolimus,HOP-92,-2.111111111111111,-0.6476460695266724
Mitotane,Dasatinib,DU-145,-1.5555555555555556,-0.811248779296875
Dasatinib,Paclitaxel,A549/ATCC,2.4444444444444446,0.9763913154602052
Mitotane,Celecoxib,T-47D,-8.11111111111111,-5.183498859405518
Everolimus,Dasatinib,IGROV1,-0.6666666666666666,-4.407432556152344
Mitotane,Tretinoin,SK-MEL-28,3.0,-0.7068954110145569
Romidepsin,Docetaxel,SK-MEL-5,-1.4444444444444444,-2.813459873199463
Romidepsin,Celecoxib,MDA-MB-231/ATCC,9.666666666666666,-1.6512303352355957
Everolimus,Paclitaxel,U251,3.111111111111111,1.181102275848389
Thalidomide,Docetaxel,NCI-H23,-12.555555555555555,-2.982351779937744
Docetaxel,Sirolimus,SW-620,4.666666666666667,5.194921970367432
Megestrol acetate,Gefitinib,SK-MEL-5,-12.0,-3.6382317543029785
Nilotinib,Tretinoin,BT-549,-10.88888888888889,-1.9331066608428955
Fulvestrant,Everolimus,A498,17.11111111111111,2.4099912643432617
Megestrol acetate,Gefitinib,K-562,9.22222222222222,-1.8814446926116943
Thalidomide,Sirolimus,U251,-1.3333333333333333,0.0956566929817199
Romidepsin,Docetaxel,PC-3,5.666666666666667,-2.103692054748535
Mitotane,Dasatinib,HCT-116,-5.666666666666667,-1.6761409044265747
Vorinostat,Nilotinib,SNB-75,-3.888888888888889,-2.795053005218506
Everolimus,Vorinostat,HCT-116,-8.11111111111111,-3.4053072929382324
Vorinostat,Cladribine,OVCAR-3,-9.444444444444445,-2.428769588470459
Thalidomide,Sirolimus,HOP-62,-2.7777777777777777,1.1080245971679688
Docetaxel,Nilotinib,PC-3,-5.888888888888889,12.677618980407717
Cladribine,Celecoxib,OVCAR-3,8.555555555555555,-2.597165107727051
Fulvestrant,Cladribine,A549/ATCC,-3.555555555555556,-0.4422813653945923
Everolimus,Docetaxel,SW-620,2.555555555555556,0.308488130569458
Everolimus,Nilotinib,MDA-MB-231/ATCC,-25.22222222222222,-3.2059850692749023
Fulvestrant,Romidepsin,NCI-H23,5.888888888888889,-0.5764736533164978
Everolimus,Celecoxib,NCI-H460,-2.7777777777777777,-2.8442862033843994
Thalidomide,Tretinoin,MDA-MB-231/ATCC,-6.444444444444445,-2.707448482513428
Megestrol acetate,Lenalidomide,MDA-MB-231/ATCC,-17.444444444444443,-0.4453076124191284
Romidepsin,Celecoxib,HS 578T,-0.1111111111111111,-0.8943709135055542
Fulvestrant,Dasatinib,SK-MEL-5,-4.666666666666667,-0.9243359565734864
Fulvestrant,Dasatinib,SW-620,-1.7777777777777777,-1.4133038520812988
Romidepsin,Sirolimus,PC-3,-0.2222222222222222,-2.8109006881713867
Mitotane,Docetaxel,U251,6.111111111111111,-3.423435688018799
Everolimus,Vorinostat,DU-145,-5.444444444444445,-5.649981498718262
Sirolimus,Nilotinib,SF-539,-4.222222222222222,-1.771479845046997
Cladribine,Celecoxib,NCI-H522,-3.6666666666666665,-0.7325888872146606
Fulvestrant,Paclitaxel,SF-295,-2.4444444444444446,-2.2708544731140137
Vorinostat,Tretinoin,PC-3,-10.0,-4.901745796203613
Paclitaxel,Cladribine,MDA-MB-231/ATCC,8.333333333333334,0.3061718940734863
Paclitaxel,Tretinoin,OVCAR-3,25.55555555555556,14.464896202087402
Everolimus,Cladribine,BT-549,-2.555555555555556,1.4686646461486816
Mitotane,Everolimus,IGROV1,-4.555555555555555,4.021732330322266
Everolimus,Romidepsin,MCF7,-1.3333333333333333,-1.0567123889923096
Docetaxel,Celecoxib,SF-539,22.666666666666668,17.885156631469727
Paclitaxel,Celecoxib,T-47D,3.2222222222222223,11.354647636413574
Tretinoin,Celecoxib,BT-549,-3.2222222222222223,-1.7166131734848022
Fulvestrant,Cladribine,NCI-H23,-1.2222222222222223,-1.7374579906463623
Fulvestrant,Nilotinib,DU-145,-1.1111111111111112,-1.509117841720581
Tretinoin,Cladribine,SW-620,-6.111111111111111,-2.011589765548706
Nilotinib,Tretinoin,SNB-75,-12.555555555555555,-2.5380921363830566
Mitotane,Everolimus,UO-31,13.11111111111111,6.8100266456604
Mitotane,Tretinoin,T-47D,8.88888888888889,-2.9407894611358643
Mitotane,Cladribine,HOP-62,-2.2222222222222223,-0.933424949645996
Nilotinib,Mitotane,OVCAR-3,-8.666666666666666,-0.1043760776519775
Fulvestrant,Vorinostat,LOX IMVI,-11.555555555555555,-2.2268824577331543
Docetaxel,Fulvestrant,PC-3,-3.2222222222222223,15.581541061401367
Everolimus,Docetaxel,A498,-2.0,0.8971920013427734
Thalidomide,Cladribine,NCI-H522,-1.5555555555555556,-1.588801622390747
Mitotane,Dasatinib,SF-268,-6.111111111111111,-0.9047903418540956
Sirolimus,Celecoxib,A498,2.0,-0.964553713798523
Nilotinib,Mitotane,NCI-H23,-8.333333333333334,-1.92793357372284
Dasatinib,Vorinostat,DU-145,-2.4444444444444446,-3.123112201690674
Thalidomide,Tretinoin,CAKI-1,4.222222222222222,0.0279858112335205
Paclitaxel,Cladribine,RPMI-8226,26.22222222222222,-2.301509380340576
Thalidomide,Tretinoin,SF-268,-5.0,1.0630769729614258
Thalidomide,Mitotane,SW-620,-2.2222222222222223,3.0716300010681152
Mitotane,Tretinoin,NCI-H460,1.1111111111111112,-2.59657621383667
Nilotinib,Celecoxib,EKVX,-10.0,-1.3127574920654297
Dasatinib,Tretinoin,A549/ATCC,4.555555555555555,-0.1782307624816894
Vorinostat,Romidepsin,OVCAR-8,3.6666666666666665,-1.746793270111084
Thalidomide,Cladribine,HOP-62,-11.666666666666666,-0.8840715289115906
Dasatinib,Vorinostat,K-562,12.22222222222222,-4.68311882019043
Megestrol acetate,Gefitinib,HCT-15,-0.3333333333333333,-2.5163357257843018
Everolimus,Nilotinib,MDA-MB-468,-9.11111111111111,-3.333165168762207
Fulvestrant,Celecoxib,NCI-H522,-1.4444444444444444,3.358063220977783
Fulvestrant,Nilotinib,SF-268,-3.4444444444444446,-3.735630750656128
Cladribine,Celecoxib,SF-539,-10.11111111111111,-2.765176773071289
Dasatinib,Tretinoin,RPMI-8226,-2.111111111111111,0.5580165982246399
Paclitaxel,Nilotinib,SNB-75,15.666666666666666,2.93198299407959
Tretinoin,Cladribine,UO-31,-3.888888888888889,-2.2121214866638184
Fulvestrant,Celecoxib,OVCAR-8,-3.2222222222222223,-3.404781579971313
Sirolimus,Mitotane,T-47D,2.0,-5.3502607345581055
Thalidomide,Paclitaxel,A498,-4.666666666666667,-2.765888214111328
Thalidomide,Mitotane,U251,1.7777777777777777,-0.8944215774536133
Dasatinib,Sirolimus,BT-549,1.0,-3.4179415702819824
Everolimus,Sirolimus,SNB-75,-1.3333333333333333,-2.2757248878479004
Thalidomide,Tretinoin,LOX IMVI,-5.222222222222222,-4.715967178344727
Gefitinib,Lenalidomide,HCT-15,-0.2222222222222222,-0.4926141500473022
Docetaxel,Paclitaxel,KM12,-3.0,-1.0454108715057373
Thalidomide,Tretinoin,HOP-62,-6.555555555555555,5.71549654006958
Dasatinib,Vorinostat,UACC-257,-1.3333333333333333,-2.3289361000061035
Vorinostat,Sirolimus,A549/ATCC,-2.111111111111111,-1.7981412410736084
Romidepsin,Celecoxib,IGROV1,9.555555555555555,-0.8292222023010254
Megestrol acetate,Lenalidomide,OVCAR-8,0.7777777777777778,-3.634284496307373
Paclitaxel,Tretinoin,HS 578T,38.11111111111112,16.43311309814453
Dasatinib,Vorinostat,HS 578T,0.0,-4.730367660522461
Everolimus,Vorinostat,SF-539,-4.222222222222222,-5.993149280548096
Dasatinib,Romidepsin,LOX IMVI,1.3333333333333333,-2.3792264461517334
Vorinostat,Cladribine,UO-31,8.555555555555555,-0.1526098251342773
Tretinoin,Cladribine,OVCAR-4,-3.555555555555556,-2.903346061706543
Paclitaxel,Tretinoin,SNB-75,33.0,10.413357734680176
Mitotane,Sirolimus,OVCAR-3,-4.777777777777778,0.0795433968305587
Paclitaxel,Nilotinib,HS 578T,29.0,2.749555826187134
Megestrol acetate,Lenalidomide,MCF7,-12.555555555555555,-4.171067237854004
Fulvestrant,Sirolimus,SF-268,2.111111111111111,0.9162918329238892
Thalidomide,Cladribine,SF-295,-3.2222222222222223,-3.3618927001953125
Nilotinib,Tretinoin,U251,-7.111111111111111,-3.19804048538208
Nilotinib,Mitotane,MDA-MB-468,-4.222222222222222,-2.366102933883667
Sirolimus,Cladribine,NCI-H23,-7.444444444444445,-3.1220085620880127
Tretinoin,Celecoxib,SK-MEL-28,-10.0,-2.0976369380950928
Mitotane,Everolimus,UACC-62,7.888888888888889,4.868684768676758
Nilotinib,Tretinoin,T-47D,1.6666666666666667,-0.7622945308685303
Vorinostat,Paclitaxel,SK-MEL-28,-4.0,-4.729856014251709
Gefitinib,Lenalidomide,IGROV1,-2.888888888888889,-1.197674036026001
Dasatinib,Paclitaxel,HCT-116,0.5555555555555556,-1.5229997634887695
Tretinoin,Celecoxib,DU-145,-14.333333333333334,-1.5675476789474487
Fulvestrant,Sirolimus,K-562,-9.0,7.237627029418945
Megestrol acetate,Lenalidomide,K-562,-4.888888888888889,-2.697549104690552
Mitotane,Celecoxib,K-562,-4.111111111111111,5.732186317443848
Sirolimus,Celecoxib,SF-268,-0.5555555555555556,0.1783984005451202
Romidepsin,Docetaxel,MDA-MB-231/ATCC,-1.6666666666666667,-2.7307653427124023
Dasatinib,Romidepsin,MDA-MB-468,-1.3333333333333333,-2.703496217727661
Docetaxel,Paclitaxel,SF-268,-5.666666666666667,0.1713814735412597
Fulvestrant,Cladribine,RPMI-8226,-6.111111111111111,-1.6571614742279053
Fulvestrant,Tretinoin,OVCAR-4,0.8888888888888888,-0.9319428205490112
Docetaxel,Sirolimus,UO-31,-5.0,1.4559426307678225
Fulvestrant,Sirolimus,RPMI-8226,-14.77777777777778,0.1006662100553512
Dasatinib,Vorinostat,NCI-H460,0.8888888888888888,-0.5300673842430115
Docetaxel,Celecoxib,UACC-257,2.2222222222222223,14.632254600524902
Mitotane,Tretinoin,UO-31,2.7777777777777777,2.004790782928467
Mitotane,Docetaxel,MDA-MB-468,7.666666666666667,-2.7860219478607178
