Drug A,Drug B,Cell Line Name,Score,Pred Score
Vorinostat,Cladribine,T-47D,-4.666666666666667,-2.700006484985352
Sirolimus,Mitotane,ACHN,9.444444444444445,-2.9301769733428955
Fulvestrant,Cladribine,U251,1.6666666666666667,-0.4934471249580383
Fulvestrant,Dasatinib,ACHN,-3.0,0.752771258354187
Vorinostat,Paclitaxel,IGROV1,-5.444444444444445,-2.028637886047364
Mitotane,Dasatinib,HS 578T,2.111111111111111,0.2153616547584533
Romidepsin,Tretinoin,SW-620,-5.888888888888889,-2.513028621673584
Thalidomide,Sirolimus,SF-295,-1.8888888888888888,3.014946699142456
Vorinostat,Paclitaxel,A498,-4.777777777777778,-2.2738707065582275
Mitotane,Cladribine,CAKI-1,2.111111111111111,-0.5604002475738525
Nilotinib,Cladribine,ACHN,0.5555555555555556,-0.9299649000167848
Vorinostat,Celecoxib,IGROV1,-3.111111111111111,-4.568171501159668
Everolimus,Nilotinib,UACC-257,-11.88888888888889,-4.096628665924072
Mitotane,Dasatinib,SW-620,-0.6666666666666666,-1.992075800895691
Fulvestrant,Dasatinib,HS 578T,12.11111111111111,4.437991142272949
Fulvestrant,Sirolimus,DU-145,-0.5555555555555556,-2.734781265258789
Paclitaxel,Sirolimus,NCI-H522,0.6666666666666666,2.83036208152771
Thalidomide,Sirolimus,OVCAR-3,-4.888888888888889,-1.369688630104065
Vorinostat,Cladribine,UACC-257,-3.111111111111111,-1.2141947746276855
Everolimus,Tretinoin,SW-620,-2.2222222222222223,-2.869835376739502
Gefitinib,Lenalidomide,SF-295,-3.2222222222222223,-3.9206151962280273
Vorinostat,Tretinoin,SK-MEL-28,-6.888888888888889,-5.8806867599487305
Everolimus,Celecoxib,MDA-MB-231/ATCC,3.4444444444444446,-2.5898265838623047
Paclitaxel,Celecoxib,NCI-H460,24.11111111111111,17.13850975036621
Romidepsin,Docetaxel,K-562,-0.8888888888888888,-3.522956371307373
Vorinostat,Docetaxel,NCI-H522,0.8888888888888888,0.8890266418457031
Mitotane,Paclitaxel,SK-MEL-5,-6.555555555555555,-4.370290756225586
Sirolimus,Cladribine,SNB-75,-1.3333333333333333,-3.3753347396850586
Docetaxel,Cladribine,UACC-257,-4.111111111111111,0.4868460893630981
Romidepsin,Docetaxel,A549/ATCC,9.666666666666666,1.232935667037964
Megestrol acetate,Gefitinib,SR,5.111111111111111,-0.6855871677398682
Fulvestrant,Nilotinib,T-47D,4.333333333333333,-6.179580211639404
Fulvestrant,Romidepsin,A549/ATCC,0.4444444444444444,-1.3261910676956177
Megestrol acetate,Lenalidomide,SR,-15.444444444444445,-3.031564235687256
Dasatinib,Cladribine,U251,-7.0,-2.094430446624756
Dasatinib,Celecoxib,A498,1.7777777777777777,-0.393794298171997
Everolimus,Sirolimus,PC-3,6.777777777777778,-1.3223636150360107
Dasatinib,Tretinoin,SF-539,8.0,-4.255108833312988
Paclitaxel,Nilotinib,A498,4.777777777777778,8.903246879577637
Paclitaxel,Nilotinib,KM12,19.55555555555556,18.7989501953125
Nilotinib,Tretinoin,LOX IMVI,-6.777777777777778,-2.4817795753479004
Nilotinib,Cladribine,LOX IMVI,-7.222222222222222,-1.3730427026748655
Gefitinib,Lenalidomide,SR,0.1111111111111111,-0.5785373449325562
Mitotane,Cladribine,RPMI-8226,-0.4444444444444444,-0.619340181350708
Vorinostat,Celecoxib,DU-145,-3.555555555555556,-4.631103038787842
Everolimus,Docetaxel,MDA-MB-468,10.444444444444445,5.42698860168457
Paclitaxel,Sirolimus,OVCAR-8,3.4444444444444446,9.144035339355469
Fulvestrant,Tretinoin,SF-295,-0.1111111111111111,0.3774075508117676
Dasatinib,Cladribine,LOX IMVI,-7.666666666666667,-1.811628818511963
Everolimus,Sirolimus,SW-620,0.1111111111111111,-1.56178081035614
Nilotinib,Cladribine,KM12,-3.333333333333333,-1.0519417524337769
Fulvestrant,Sirolimus,ACHN,-4.222222222222222,3.580041885375977
Dasatinib,Romidepsin,K-562,-0.7777777777777778,-1.6325628757476809
Vorinostat,Nilotinib,BT-549,-11.666666666666666,-8.296525955200195
Vorinostat,Sirolimus,NCI-H460,-2.333333333333333,-3.4464762210845947
Nilotinib,Cladribine,MCF7,-0.3333333333333333,-5.181595325469971
Docetaxel,Fulvestrant,LOX IMVI,17.88888888888889,15.643881797790527
Paclitaxel,Tretinoin,MDA-MB-468,32.55555555555556,20.50147819519043
Paclitaxel,Sirolimus,UACC-62,-11.0,6.516069889068604
Fulvestrant,Celecoxib,K-562,-4.0,6.741408348083496
Docetaxel,Cladribine,HCT-116,-6.777777777777778,-10.11266803741455
Everolimus,Vorinostat,OVCAR-3,-15.333333333333334,-2.71540641784668
Sirolimus,Mitotane,OVCAR-3,-7.666666666666667,2.409517765045166
Tretinoin,Cladribine,KM12,-3.555555555555556,-1.3150255680084229
Thalidomide,Tretinoin,SF-539,-2.7777777777777777,0.1246250867843627
Dasatinib,Celecoxib,OVCAR-4,0.1111111111111111,0.5227851867675781
Paclitaxel,Tretinoin,BT-549,38.11111111111112,21.38861656188965
Megestrol acetate,Gefitinib,LOX IMVI,-8.0,-0.1081275939941406
Sirolimus,Cladribine,UACC-257,-4.222222222222222,-0.8897693157196045
Thalidomide,Docetaxel,SF-539,0.0,-3.006504535675049
Docetaxel,Celecoxib,K-562,23.55555555555556,24.89438247680664
Mitotane,Nilotinib,HCT-116,1.7777777777777777,-3.255129337310791
Dasatinib,Romidepsin,RPMI-8226,-2.7777777777777777,0.8107177019119263
Sirolimus,Nilotinib,SNB-75,-5.777777777777778,-7.534978866577148
Docetaxel,Fulvestrant,HCT-116,7.333333333333333,4.88053560256958
Mitotane,Nilotinib,A498,-6.555555555555555,-3.622026920318604
Cladribine,Celecoxib,SF-268,-9.333333333333334,-6.640840530395508
Docetaxel,Paclitaxel,A549/ATCC,5.111111111111111,-1.4633183479309082
Fulvestrant,Vorinostat,HOP-92,-5.444444444444445,-2.4459779262542725
Fulvestrant,Dasatinib,SK-MEL-28,3.6666666666666665,0.4681782126426697
Vorinostat,Tretinoin,SK-MEL-5,-6.555555555555555,-3.0390353202819824
Docetaxel,Celecoxib,SNB-75,19.444444444444443,20.677175521850582
Nilotinib,Celecoxib,NCI-H522,-4.777777777777778,-2.983118057250977
Dasatinib,Sirolimus,A498,4.888888888888889,-1.3462181091308594
Megestrol acetate,Lenalidomide,PC-3,-3.2222222222222223,-5.765824317932129
Everolimus,Paclitaxel,UO-31,-1.6666666666666667,0.1782197952270507
Everolimus,Sirolimus,SF-539,-7.555555555555555,-3.0380101203918457
Thalidomide,Tretinoin,OVCAR-8,-3.4444444444444446,-2.741858720779419
Megestrol acetate,Gefitinib,A549/ATCC,1.5555555555555556,1.7271997928619385
Everolimus,Nilotinib,HCT-15,-7.555555555555555,-9.445719718933104
Everolimus,Vorinostat,SK-MEL-28,-13.333333333333334,-2.8899521827697754
Everolimus,Cladribine,T-47D,-5.0,-2.6839168071746826
Docetaxel,Sirolimus,HS 578T,-3.111111111111111,3.875366449356079
Sirolimus,Tretinoin,NCI-H23,-8.777777777777779,1.3171954154968262
Mitotane,Tretinoin,SF-539,-1.1111111111111112,-0.5981686115264893
Gefitinib,Lenalidomide,UACC-62,1.8888888888888888,-2.6052684783935547
Mitotane,Nilotinib,OVCAR-8,-6.222222222222222,-0.4801282882690429
Megestrol acetate,Lenalidomide,UACC-62,-0.1111111111111111,-1.737928867340088
Mitotane,Everolimus,NCI-H460,4.0,0.00864839553833
Dasatinib,Nilotinib,HCT-15,-18.22222222222222,-7.929980754852295
Thalidomide,Mitotane,ACHN,-1.7777777777777777,-5.307892322540283
Nilotinib,Tretinoin,NCI-H23,-13.333333333333334,-2.36217737197876
Fulvestrant,Celecoxib,BT-549,-7.666666666666667,-2.892767429351806
Thalidomide,Paclitaxel,OVCAR-4,-1.6666666666666667,-2.799046516418457
Dasatinib,Docetaxel,IGROV1,-4.444444444444445,4.529128551483154
Thalidomide,Docetaxel,CAKI-1,-11.444444444444445,-1.1422607898712158
Docetaxel,Cladribine,KM12,2.888888888888889,1.3928980827331543
Docetaxel,Tretinoin,K-562,27.0,22.94918441772461
Mitotane,Tretinoin,PC-3,1.8888888888888888,-1.9139626026153564
Dasatinib,Romidepsin,HS 578T,-8.88888888888889,-3.7618930339813232
Mitotane,Dasatinib,BT-549,-4.888888888888889,4.85977840423584
Tretinoin,Cladribine,NCI-H460,-5.888888888888889,0.9025934934616088
Romidepsin,Celecoxib,SK-MEL-28,-3.6666666666666665,-0.4578442573547363
Paclitaxel,Tretinoin,OVCAR-4,9.555555555555555,14.489310264587402
Mitotane,Docetaxel,SNB-75,-1.6666666666666667,0.9631807804107666
Sirolimus,Mitotane,HCT-116,0.8888888888888888,-2.421976327896118
Romidepsin,Nilotinib,OVCAR-3,-13.666666666666666,-4.687148094177246
Dasatinib,Celecoxib,NCI-H460,-3.555555555555556,-0.7690591812133789
Fulvestrant,Cladribine,A498,-1.6666666666666667,-1.996951937675476
Docetaxel,Tretinoin,UACC-257,8.88888888888889,10.656352043151855
Thalidomide,Tretinoin,KM12,-4.888888888888889,-5.545174598693848
Dasatinib,Sirolimus,UACC-62,-3.888888888888889,-1.0700316429138184
Mitotane,Cladribine,T-47D,-9.88888888888889,-3.591858386993408
Vorinostat,Docetaxel,HCT-116,-1.5555555555555556,-0.1436114311218261
Docetaxel,Sirolimus,OVCAR-3,7.666666666666667,15.59440803527832
Megestrol acetate,Gefitinib,SK-MEL-28,3.7777777777777777,-10.64838981628418
Vorinostat,Celecoxib,UACC-62,12.666666666666666,-5.910087585449219
Everolimus,Sirolimus,KM12,-4.555555555555555,1.0991787910461426
Paclitaxel,Tretinoin,IGROV1,13.555555555555555,16.085933685302734
Dasatinib,Vorinostat,OVCAR-3,6.777777777777778,-3.706243753433228
Thalidomide,Cladribine,SF-539,-9.11111111111111,-0.5018476247787476
Everolimus,Romidepsin,DU-145,-2.555555555555556,-2.2330474853515625
Megestrol acetate,Gefitinib,NCI-H23,-1.4444444444444444,-8.760578155517578
Dasatinib,Cladribine,HCT-15,-6.222222222222222,-2.022177219390869
Nilotinib,Cladribine,DU-145,-7.555555555555555,-3.3174033164978027
Paclitaxel,Sirolimus,K-562,1.0,13.593863487243652
Fulvestrant,Vorinostat,A498,-1.4444444444444444,-1.679911494255066
Nilotinib,Celecoxib,SW-620,-9.88888888888889,-6.1058454513549805
Romidepsin,Tretinoin,KM12,1.2222222222222223,-3.0573692321777344
