symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
ABL1,16,22,19,5,10,17,16,27,20,14,8,5,7,19,61,16,24,13,14,21,17,16,10,21
ABL2,12,5,9,2,5,16,2,16,4,6,1,8,1,4,41,7,8,14,10,4,6,3,5,2
ACAA1,4,2,4,2,3,6,11,5,3,10,5,3,8,5,3,6,2,7,3,3,2,6,7,4
ACACA,12,27,11,7,14,10,13,10,15,11,20,7,7,6,9,8,15,12,12,13,16,19,11,84
ACADM,23,15,14,19,14,10,27,19,12,8,15,11,12,7,11,7,5,25,12,14,3,7,6,16
ACOX1,4,3,4,7,8,3,6,2,3,9,6,3,11,8,6,3,4,5,5,8,6,18,5,8
ACOX3,3,3,4,1,3,3,3,7,1,4,3,2,2,2,6,4,4,3,6,2,6,4,2,2
ACSBG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL1,11,2,7,5,3,12,8,16,6,16,9,3,0,3,13,7,12,35,8,5,17,15,10,42
ACSL3,52,26,46,28,21,54,15,20,25,30,47,11,34,23,14,33,29,68,28,12,23,11,44,125
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2,1,10,1,1,2,4,3,1,1,0,1,1,0,0,2,8,3,0,1,0,1,2,3,0
ACTB,1338,1121,655,1685,331,890,765,2066,1279,1966,737,1466,777,722,392,1164,875,555,1083,719,364,1115,712,280
ACTG1,612,640,550,1484,712,951,630,415,1046,670,217,842,1558,906,427,481,1760,1580,777,711,670,457,536,547
ACVR1,10,6,5,5,7,19,3,5,3,3,3,3,5,5,8,19,6,16,8,1,8,1,15,2
ACVR1B,4,3,4,2,7,3,11,3,3,5,3,6,9,8,7,2,6,3,3,10,18,9,3,14
ACVR1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR2A,1,0,1,1,2,0,2,0,0,1,0,1,1,3,1,1,1,0,0,1,2,0,1,3
ACVR2B,1,3,1,0,4,0,1,1,0,0,1,0,0,1,2,0,0,0,0,2,2,0,0,2
