symbol,A2058,A2780,A375,CAOV3,HCT116,HT144,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,OV90,OVCAR3,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,VCAP
A1BG,0,0,0,2,0,0,0,1,-1,1,1,-1,1,1,0,1,0,-1,1,-1,0,-1,0,1
A1BG-AS1,0,0,0,2,0,0,0,1,-1,1,1,-1,1,1,0,1,0,-1,1,-1,0,-1,0,1
A1CF,0,0,-1,1,-1,-1,0,1,1,-1,1,0,0,1,0,-1,0,0,-1,1,0,1,-1,0
A2M,-1,0,1,1,0,0,1,1,-1,0,-1,1,0,0,0,-1,-1,0,-1,1,0,-2,1,1
A2ML1,-1,0,0,1,0,0,1,1,-1,0,-1,1,0,0,0,-1,-1,0,-1,1,0,-2,1,1
A2MP1,-1,0,1,1,0,0,1,1,-1,0,-1,1,0,0,0,-1,-1,0,-1,1,0,-2,1,1
A4GALT,0,0,-1,1,-1,0,0,0,-1,0,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,0,0
A4GNT,0,0,0,2,0,1,0,1,-1,0,0,1,0,1,0,1,0,1,1,0,0,1,2,0
AAAS,0,0,0,1,-1,0,1,-1,1,0,1,1,1,0,1,-1,0,0,-1,1,0,1,0,1
AACS,0,0,-1,1,0,0,1,1,1,0,0,1,1,-1,1,-1,0,0,1,0,0,1,0,1
AACSP1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,-1,0,1,-1,0,1,0,-1,-1
AADAC,1,-1,1,1,0,1,0,-1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
AADACL2,1,0,1,1,0,1,0,-1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
AADACL3,0,0,0,-1,-1,-1,0,-1,-1,0,-1,1,0,2,1,0,0,1,1,0,0,-1,0,0
AADACL4,0,0,0,-1,-1,-1,0,-1,-1,0,-1,1,0,2,1,0,0,1,1,0,0,-1,0,0
AADAT,0,0,-1,-2,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1,-1,1
AAED1,0,0,0,-1,0,-1,0,0,1,0,-1,0,1,-1,1,-1,0,-1,-1,0,0,-1,-1,0
AAGAB,0,0,1,1,1,1,1,0,1,0,1,0,1,-1,0,1,0,1,1,0,0,0,-1,1
AAK1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,2,0,1,0,0,-1,1,1
AAMDC,0,0,0,1,-1,-1,1,-1,-1,0,-1,1,1,2,1,1,-1,-1,1,1,1,1,-1,1
AAMP,0,0,-1,-1,-1,0,0,-1,1,0,1,0,1,1,1,1,0,0,1,0,0,-1,0,0
AANAT,0,0,-1,0,1,0,0,-1,1,-1,0,0,0,1,1,-1,0,1,1,1,0,1,0,1
AAR2,0,0,1,-1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
AARD,1,0,1,0,2,0,0,2,0,1,1,1,0,1,2,1,0,0,0,0,0,1,1,1
AARS,0,0,0,-1,0,-1,0,-1,0,1,-1,1,0,-1,1,0,1,-1,1,2,0,0,-1,-1
AARS2,-1,0,-1,2,-1,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,1,-1,0,0,0,-1,1
AARSD1,0,0,-1,-1,0,0,0,-1,1,-1,1,0,1,1,1,-1,1,-1,1,-1,0,1,0,-1
AASDH,0,0,0,1,0,-1,0,1,-1,-1,-1,0,-1,0,0,-1,0,-1,1,0,0,-1,-1,0
AASDHPPT,0,0,1,-1,0,-1,1,-1,0,1,-1,-1,0,-1,-1,1,0,-1,-1,1,1,1,0,1
AASS,1,-1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,-1,0,-1,1,0,-1,2,1
AATF,0,0,0,-1,0,0,0,-1,1,0,1,0,1,-1,0,-1,0,0,1,0,0,1,0,1
AATK,0,0,-1,2,1,0,0,-1,1,-1,0,0,0,-1,1,-1,0,1,1,1,0,1,0,1
ABAT,0,0,-1,-1,-1,-1,0,-1,1,0,-1,-1,0,-1,1,-1,0,-1,0,0,0,0,1,-1
ABCA1,0,0,1,-1,0,0,0,-1,1,0,-1,0,1,-1,1,1,0,-1,-1,0,0,1,-1,0
