Drug A,Drug B,Cell Line Name,Score,Pred Score
paclitaxel,geldanamycin,OV90,4.219145585451182,0.5409994125366211
Vorinostat,Erlotinib,RKO,-2.588665914009158,-9.186067581176758
Sunitinib,Sorafenib,LOVO,-3.0703466753296,-4.958840370178223
paclitaxel,Dasatinib,RPMI7951,2.1112971208509976,31.099262237548828
paclitaxel,Lapatinib,VCAP,-19.1693792779686,-7.628998756408691
Sunitinib,Sorafenib,A2058,-0.9096556467231308,0.1568748950958252
vinblastine,Dasatinib,RKO,-5.316952415477393,-6.029716491699219
Dasatinib,geldanamycin,CAOV3,-5.39913759737588,0.2083349227905273
Erlotinib,Sorafenib,CAOV3,6.1026124307435,1.4211645126342771
vinblastine,Sorafenib,LOVO,-1.6005087696864486,-5.481913566589356
metformin,Vorinostat,OVCAR3,-51.6773231694491,-19.813232421875
vinblastine,geldanamycin,MDAMB436,0.51700222845629,-3.715910196304321
paclitaxel,Lapatinib,MDAMB436,-1.6521884315998507,-3.650233030319214
paclitaxel,Sunitinib,LOVO,2.11024229353816,7.903451919555664
Sunitinib,Lapatinib,NCIH2122,17.2594267615487,1.6590874195098877
paclitaxel,Sunitinib,SW837,-1.73607437190069,-13.940515518188477
paclitaxel,Sunitinib,OV90,-5.77436797253085,1.1009283065795898
Vorinostat,Dasatinib,UACC62,-0.568998602339841,-2.583279848098755
vinblastine,Vorinostat,OVCAR3,-1.289264920121349,-9.36642837524414
metformin,Erlotinib,NCIH23,-14.1813773041305,-15.723441123962402
Lapatinib,Erlotinib,SKMEL30,-3.31847606547329,2.9141087532043457
Vorinostat,Dasatinib,A2058,11.710679650337616,-6.715756416320801
paclitaxel,Vorinostat,A2780,2.046344769010002,0.4346921443939209
Vorinostat,Erlotinib,NCIH23,-2.77042962989298,-8.697500228881836
Vorinostat,Lapatinib,CAOV3,9.014890317831036,-5.833914279937744
Erlotinib,Dasatinib,T-47D,2.726862934921635,5.2587738037109375
vinblastine,geldanamycin,OV90,-3.4922781726655696,-14.02177619934082
Lapatinib,Dasatinib,OVCAR3,1.292753014965791,3.62169361114502
Erlotinib,Dasatinib,SK-OV-3,8.16191414696451,0.7121230363845825
Vorinostat,Sorafenib,NCIH2122,-8.251107402184557,-7.257264137268066
Vorinostat,geldanamycin,VCAP,7.262818938793504,-7.532442092895508
Vorinostat,Erlotinib,NCIH1650,4.14054171285972,-7.19575309753418
vinblastine,Sorafenib,NCIH1650,-13.546032832554804,-16.402551651000977
Erlotinib,Dasatinib,HT144,-16.8307740899425,-1.9915984869003296
paclitaxel,Sunitinib,SKMEL30,-0.2642143205483515,1.314566731452942
Lapatinib,geldanamycin,A375,-6.135426654744688,2.3795323371887207
Vorinostat,Dasatinib,A375,-7.187555808667961,-6.386020660400391
paclitaxel,Sunitinib,A375,8.149714042401495,1.710862398147583
Vorinostat,Sorafenib,MDAMB436,-6.426376983867103,-20.556501388549805
Lapatinib,Sorafenib,SK-OV-3,13.9953943577381,3.385702610015869
Vorinostat,Dasatinib,A2780,-6.31868596379813,-4.772332668304443
Vorinostat,Dasatinib,T-47D,5.321680837772678,-2.93756103515625
vinblastine,Erlotinib,SW837,11.9978624338519,-5.449001789093018
vinblastine,Erlotinib,A375,7.909526276907584,-5.614781379699707
Erlotinib,geldanamycin,NCIH1650,7.206977941743588,0.0428001880645751
Sunitinib,Sorafenib,RKO,-7.378812419643663,-9.137380599975586
Sunitinib,Erlotinib,RKO,0.2475632146873464,9.266695976257324
Sunitinib,Erlotinib,NCIH1650,12.7359625054994,4.976100921630859
Vorinostat,Dasatinib,NCIH1650,5.220668557811489,2.070934772491455
geldanamycin,Sorafenib,CAOV3,1.3318185914773402,7.202516555786133
vinblastine,Vorinostat,A2780,2.776867734737273,-5.1785173416137695
metformin,geldanamycin,SKMEL30,-27.8178569354009,-20.748491287231445
paclitaxel,Lapatinib,NCIH23,-4.20883890972707,-4.526934623718262
Sunitinib,geldanamycin,SK-OV-3,2.78743688363977,-1.6446616649627686
metformin,Lapatinib,VCAP,-9.657849716236,-21.707176208496094
paclitaxel,Vorinostat,SW837,4.071661498679735,-4.861275672912598
Lapatinib,Erlotinib,SW-620,-10.586292641023492,3.0430004596710205
Lapatinib,geldanamycin,OV90,2.578081311550471,1.9858348369598389
metformin,Erlotinib,MDAMB436,-42.2483635713802,-22.60713005065918
vinblastine,Erlotinib,CAOV3,8.204494762209066,-6.707315444946289
