Drug A,Drug B,Cell Line Name,Score,Pred Score
paclitaxel,Lapatinib,OVCAR3,1.6198341998494314,-5.134746551513672
vinblastine,Dasatinib,VCAP,1.6646916021852596,-5.734613418579102
vinblastine,Lapatinib,MDAMB436,-7.87226820943855,-8.870485305786133
geldanamycin,Sorafenib,A2058,8.652061852316729,-1.6903533935546875
Vorinostat,Lapatinib,RKO,2.4933992323843923,-16.88727378845215
vinblastine,Vorinostat,NCIH2122,2.35160533891099,-15.857654571533203
Erlotinib,Dasatinib,RKO,1.30779520720034,0.4204511642456054
paclitaxel,Lapatinib,A375,-11.9965988914421,-4.965487480163574
paclitaxel,Lapatinib,HCT116,4.780848076735348,-7.890923023223877
Erlotinib,Dasatinib,NCIH1650,11.2728180991378,1.4172343015670776
paclitaxel,Vorinostat,UACC62,0.7651079053562314,-2.29207181930542
Sunitinib,Sorafenib,OVCAR3,-10.6557437737239,-4.517372131347656
paclitaxel,Vorinostat,VCAP,3.27100049685324,0.7185115814208984
Vorinostat,Sunitinib,VCAP,-5.2815921348029296,-0.2858562469482422
metformin,geldanamycin,SK-OV-3,-27.5445722402187,-31.506282806396484
Sunitinib,geldanamycin,NCIH23,-2.683955047842884,-6.576431274414063
metformin,Sunitinib,SW-620,-43.929359067237,-27.15938949584961
paclitaxel,Erlotinib,HCT116,-4.639593570653838,-4.280116081237793
Sunitinib,Dasatinib,OV90,-14.7229944429405,4.515653610229492
paclitaxel,Sorafenib,NCIH1650,-5.00028834575103,-2.689291000366211
Vorinostat,Dasatinib,RKO,-1.2236747050651609,0.4587516784667969
paclitaxel,geldanamycin,T-47D,-17.6830733389949,-13.113037109375
metformin,Dasatinib,CAOV3,-9.979741434164584,-13.931559562683104
vinblastine,geldanamycin,SW837,-0.2823200449385875,-20.34704971313477
Vorinostat,Dasatinib,NCIH2122,-36.50577458359941,-8.424030303955078
metformin,Vorinostat,OV90,-4.853312003098937,-25.9038200378418
metformin,Sorafenib,SK-OV-3,-27.4476544011683,-19.63488006591797
metformin,Sorafenib,HCT116,-49.5120706514507,-30.30977439880371
vinblastine,Sorafenib,VCAP,1.2287673509824204,-12.97762393951416
Erlotinib,Dasatinib,CAOV3,9.503977484174175,-0.0652964115142822
vinblastine,geldanamycin,SW-620,-5.5186956836840375,-16.735244750976562
Sunitinib,geldanamycin,OVCAR3,-2.99361591491145,-3.25125503540039
paclitaxel,Lapatinib,CAOV3,7.99575647038201,4.625367164611816
Dasatinib,Sorafenib,A2780,11.7225687296843,-1.6386919021606443
vinblastine,Erlotinib,RKO,6.987950206462267,-11.496549606323242
metformin,Sunitinib,OV90,5.5273920092716775,-11.675146102905272
vinblastine,geldanamycin,NCIH2122,-7.19378137939456,-20.76509094238281
Sunitinib,Erlotinib,SW837,6.001532732018722,7.332304954528809
Lapatinib,Sorafenib,VCAP,7.92708077877978,-5.818193435668945
Sunitinib,Sorafenib,A375,4.316615136301563,-3.4396538734436035
paclitaxel,Erlotinib,OV90,0.1590569364430157,-1.1878889799118042
Vorinostat,Erlotinib,A375,2.8348518495029404,9.055736541748049
metformin,Vorinostat,SKMEL30,-46.6686841099013,-21.66010475158692
geldanamycin,Sorafenib,SW-620,-0.8984319813221007,-12.996633529663086
Lapatinib,geldanamycin,NCIH2122,4.30511943579503,-4.192108154296875
Vorinostat,Sorafenib,UACC62,-3.36735139960915,-11.396723747253418
paclitaxel,Dasatinib,SKMES1,6.58117049992555,-5.347867012023926
paclitaxel,Sunitinib,SW-620,6.753311816554961,-4.951128959655762
vinblastine,Sunitinib,VCAP,-1.1091988250418725,-13.313840866088867
Erlotinib,geldanamycin,HT144,5.26551760771767,-1.7681961059570312
metformin,Dasatinib,SKMES1,-37.3999740396079,-15.633623123168944
metformin,Dasatinib,NCIH2122,-34.48768519828235,-11.12388038635254
metformin,Sorafenib,HT144,-46.862925671502296,-14.050077438354492
paclitaxel,geldanamycin,A2780,-1.19024715514191,-3.569160461425781
Vorinostat,Sorafenib,NCIH1650,-1.4920816076829602,-3.8584489822387695
