Drug A,Drug B,Cell Line Name,Score,Pred Score
paclitaxel,geldanamycin,OV90,4.219145585451182,-3.462062120437622
Vorinostat,Erlotinib,RKO,-2.588665914009158,-1.6152766942977903
Sunitinib,Sorafenib,LOVO,-3.0703466753296,0.3549835681915283
paclitaxel,Dasatinib,RPMI7951,2.1112971208509976,-4.539815902709961
paclitaxel,Lapatinib,VCAP,-19.1693792779686,-4.943512916564941
Sunitinib,Sorafenib,A2058,-0.9096556467231308,-1.1264461278915403
vinblastine,Dasatinib,RKO,-5.316952415477393,-11.620118141174316
Dasatinib,geldanamycin,CAOV3,-5.39913759737588,-3.445112705230713
Erlotinib,Sorafenib,CAOV3,6.1026124307435,2.933774948120117
vinblastine,Sorafenib,LOVO,-1.6005087696864486,-0.2444767951965332
metformin,Vorinostat,OVCAR3,-51.6773231694491,-18.96268653869629
vinblastine,geldanamycin,MDAMB436,0.51700222845629,-6.468366622924805
paclitaxel,Lapatinib,MDAMB436,-1.6521884315998507,-4.080803394317627
paclitaxel,Sunitinib,LOVO,2.11024229353816,-6.776014804840088
Sunitinib,Lapatinib,NCIH2122,17.2594267615487,3.667587995529175
paclitaxel,Sunitinib,SW837,-1.73607437190069,-6.430196762084961
paclitaxel,Sunitinib,OV90,-5.77436797253085,0.5731910467147827
Vorinostat,Dasatinib,UACC62,-0.568998602339841,-5.222386360168457
vinblastine,Vorinostat,OVCAR3,-1.289264920121349,-1.629518985748291
metformin,Erlotinib,NCIH23,-14.1813773041305,-14.762091636657717
Lapatinib,Erlotinib,SKMEL30,-3.31847606547329,1.1062241792678833
Vorinostat,Dasatinib,A2058,11.710679650337616,-3.0034186840057373
paclitaxel,Vorinostat,A2780,2.046344769010002,-5.903330326080322
Vorinostat,Erlotinib,NCIH23,-2.77042962989298,4.955477237701416
Vorinostat,Lapatinib,CAOV3,9.014890317831036,7.07209062576294
Erlotinib,Dasatinib,T-47D,2.726862934921635,0.2233266830444336
vinblastine,geldanamycin,OV90,-3.4922781726655696,-2.196014881134033
Lapatinib,Dasatinib,OVCAR3,1.292753014965791,0.1234352588653564
Erlotinib,Dasatinib,SK-OV-3,8.16191414696451,14.822197914123535
Vorinostat,Sorafenib,NCIH2122,-8.251107402184557,-8.319859504699707
Vorinostat,geldanamycin,VCAP,7.262818938793504,-5.840730667114258
Vorinostat,Erlotinib,NCIH1650,4.14054171285972,10.00924015045166
vinblastine,Sorafenib,NCIH1650,-13.546032832554804,2.032422065734864
Erlotinib,Dasatinib,HT144,-16.8307740899425,3.038681983947754
paclitaxel,Sunitinib,SKMEL30,-0.2642143205483515,-1.7582855224609375
Lapatinib,geldanamycin,A375,-6.135426654744688,-2.0233757495880127
Vorinostat,Dasatinib,A375,-7.187555808667961,-5.050674915313721
paclitaxel,Sunitinib,A375,8.149714042401495,0.3657229840755462
Vorinostat,Sorafenib,MDAMB436,-6.426376983867103,-5.348887920379639
Lapatinib,Sorafenib,SK-OV-3,13.9953943577381,-1.0469402074813845
Vorinostat,Dasatinib,A2780,-6.31868596379813,-6.751373291015625
Vorinostat,Dasatinib,T-47D,5.321680837772678,-7.47622013092041
vinblastine,Erlotinib,SW837,11.9978624338519,10.914830207824709
vinblastine,Erlotinib,A375,7.909526276907584,1.3741101026535034
Erlotinib,geldanamycin,NCIH1650,7.206977941743588,2.508697032928467
Sunitinib,Sorafenib,RKO,-7.378812419643663,0.5320057272911072
Sunitinib,Erlotinib,RKO,0.2475632146873464,4.207224845886231
Sunitinib,Erlotinib,NCIH1650,12.7359625054994,13.34783172607422
Vorinostat,Dasatinib,NCIH1650,5.220668557811489,-6.61666202545166
geldanamycin,Sorafenib,CAOV3,1.3318185914773402,-1.0814824104309082
vinblastine,Vorinostat,A2780,2.776867734737273,-5.426259994506836
metformin,geldanamycin,SKMEL30,-27.8178569354009,-13.946381568908691
paclitaxel,Lapatinib,NCIH23,-4.20883890972707,1.6095975637435913
Sunitinib,geldanamycin,SK-OV-3,2.78743688363977,1.1899150609970093
metformin,Lapatinib,VCAP,-9.657849716236,-17.397050857543945
paclitaxel,Vorinostat,SW837,4.071661498679735,-0.9736372232437134
Lapatinib,Erlotinib,SW-620,-10.586292641023492,-6.181142807006836
Lapatinib,geldanamycin,OV90,2.578081311550471,-4.491649627685547
metformin,Erlotinib,MDAMB436,-42.2483635713802,-27.1262149810791
vinblastine,Erlotinib,CAOV3,8.204494762209066,9.218036651611328
Sunitinib,Lapatinib,A2058,18.5317724911246,1.9225871562957764
vinblastine,Vorinostat,T-47D,6.097122298913325,-27.01996421813965
vinblastine,Lapatinib,A2780,-11.299328727708405,-0.2055370211601257
Vorinostat,Sorafenib,T-47D,-6.22433036882608,-6.0787858963012695
paclitaxel,Lapatinib,NCIH1650,3.12612254618191,-0.5345359444618225
Sunitinib,Dasatinib,CAOV3,8.756217929094177,2.63885760307312
metformin,Sunitinib,RPMI7951,-1.757118944268968,-31.46545791625977
metformin,Sunitinib,NCIH1650,-51.402683514636095,-25.516860961914062
Sunitinib,Sorafenib,UACC62,-2.13735826282737,-2.875009298324585
Lapatinib,Sorafenib,UACC62,8.88265541550952,1.6184167861938477
Vorinostat,Dasatinib,CAOV3,5.58846482112586,-0.1551395654678344
Vorinostat,Dasatinib,SW837,7.383552345763623,0.5307151079177856
Vorinostat,Erlotinib,SW837,10.229168329440906,-0.5571808815002441
vinblastine,Lapatinib,SKMEL30,-17.4030551064212,-13.233662605285645
Vorinostat,Erlotinib,SK-OV-3,2.204062447972561,5.569545745849609
Sunitinib,Lapatinib,HCT116,-3.195242757261453,10.269514083862305
metformin,Lapatinib,HT144,-36.8822022827233,-16.425506591796875
Lapatinib,geldanamycin,SK-OV-3,3.812227003524945,1.738409399986267
Vorinostat,Sunitinib,NCIH2122,-6.89310310865277,-6.718204021453857
vinblastine,Lapatinib,SKMES1,-2.85382252753121,-1.7238140106201172
vinblastine,Vorinostat,NCI-H460,-7.42349600405968,1.0474555492401123
paclitaxel,Erlotinib,SK-OV-3,4.398848813602776,10.572866439819336
metformin,Vorinostat,SW-620,-68.1959205924323,-32.48646926879883
vinblastine,Vorinostat,SKMES1,-3.773219093074008,7.324234485626221
Sunitinib,Lapatinib,A2780,8.453421074249384,0.4017519354820251
metformin,Vorinostat,VCAP,-62.9612541332419,-11.82891082763672
vinblastine,Dasatinib,RPMI7951,2.97844031586002,-7.804788112640381
paclitaxel,Sorafenib,SW837,-5.800670766453999,-3.952716112136841
paclitaxel,Sorafenib,A2780,2.409764321136161,-3.211906909942627
paclitaxel,Sorafenib,VCAP,-1.6610011043127195,-3.217160224914551
paclitaxel,Lapatinib,A2780,1.39259946716825,-5.318316459655762
metformin,Lapatinib,HCT116,-5.785469568057495,-18.527889251708984
Lapatinib,Dasatinib,CAOV3,10.468583156479704,6.944302082061768
vinblastine,Lapatinib,OV90,0.8267526169764301,-3.069596290588379
Lapatinib,Erlotinib,RPMI7951,-0.4271227388875901,-1.0672956705093384
Vorinostat,Sunitinib,SKMES1,-5.85807143580148,-8.432577133178711
