Drug A,Drug B,Cell Line Name,Score,Pred Score
paclitaxel,geldanamycin,OV90,4.219145585451182,5.889019012451172
Vorinostat,Erlotinib,RKO,-2.588665914009158,-5.397335052490234
Sunitinib,Sorafenib,LOVO,-3.0703466753296,1.1012052297592163
paclitaxel,Dasatinib,RPMI7951,2.1112971208509976,-16.511280059814453
paclitaxel,Lapatinib,VCAP,-19.1693792779686,-5.197402000427246
Sunitinib,Sorafenib,A2058,-0.9096556467231308,5.858333587646484
vinblastine,Dasatinib,RKO,-5.316952415477393,4.390947818756104
Dasatinib,geldanamycin,CAOV3,-5.39913759737588,-4.948686599731445
Erlotinib,Sorafenib,CAOV3,6.1026124307435,2.5690433979034424
vinblastine,Sorafenib,LOVO,-1.6005087696864486,5.3293137550354
metformin,Vorinostat,OVCAR3,-51.6773231694491,-36.356929779052734
vinblastine,geldanamycin,MDAMB436,0.51700222845629,3.579754114151001
paclitaxel,Lapatinib,MDAMB436,-1.6521884315998507,-1.7640719413757324
paclitaxel,Sunitinib,LOVO,2.11024229353816,3.118445634841919
Sunitinib,Lapatinib,NCIH2122,17.2594267615487,7.207509994506836
paclitaxel,Sunitinib,SW837,-1.73607437190069,-3.8310587406158447
paclitaxel,Sunitinib,OV90,-5.77436797253085,-7.839853286743164
Vorinostat,Dasatinib,UACC62,-0.568998602339841,-20.212268829345703
vinblastine,Vorinostat,OVCAR3,-1.289264920121349,-5.5904645919799805
metformin,Erlotinib,NCIH23,-14.1813773041305,-14.721809387207031
Lapatinib,Erlotinib,SKMEL30,-3.31847606547329,-6.113773822784424
Vorinostat,Dasatinib,A2058,11.710679650337616,-4.421206474304199
paclitaxel,Vorinostat,A2780,2.046344769010002,-0.7433798313140869
Vorinostat,Erlotinib,NCIH23,-2.77042962989298,0.4543751180171966
Vorinostat,Lapatinib,CAOV3,9.014890317831036,5.79578161239624
Erlotinib,Dasatinib,T-47D,2.726862934921635,9.045743942260742
vinblastine,geldanamycin,OV90,-3.4922781726655696,-7.018237113952637
Lapatinib,Dasatinib,OVCAR3,1.292753014965791,2.697892904281616
Erlotinib,Dasatinib,SK-OV-3,8.16191414696451,11.17063808441162
Vorinostat,Sorafenib,NCIH2122,-8.251107402184557,-7.323949337005615
Vorinostat,geldanamycin,VCAP,7.262818938793504,-6.8922438621521
Vorinostat,Erlotinib,NCIH1650,4.14054171285972,3.446913480758667
vinblastine,Sorafenib,NCIH1650,-13.546032832554804,1.4674036502838137
Erlotinib,Dasatinib,HT144,-16.8307740899425,-6.3911452293396
paclitaxel,Sunitinib,SKMEL30,-0.2642143205483515,-2.562662124633789
Lapatinib,geldanamycin,A375,-6.135426654744688,-2.827010154724121
Vorinostat,Dasatinib,A375,-7.187555808667961,-6.676754474639893
paclitaxel,Sunitinib,A375,8.149714042401495,-0.934656262397766
Vorinostat,Sorafenib,MDAMB436,-6.426376983867103,-1.1951671838760376
Lapatinib,Sorafenib,SK-OV-3,13.9953943577381,15.025473594665527
Vorinostat,Dasatinib,A2780,-6.31868596379813,4.694217205047607
Vorinostat,Dasatinib,T-47D,5.321680837772678,-1.1174932718276978
vinblastine,Erlotinib,SW837,11.9978624338519,6.601175785064697
vinblastine,Erlotinib,A375,7.909526276907584,5.677249908447266
Erlotinib,geldanamycin,NCIH1650,7.206977941743588,8.680562973022461
Sunitinib,Sorafenib,RKO,-7.378812419643663,-5.306710243225098
Sunitinib,Erlotinib,RKO,0.2475632146873464,-0.5541513562202454
Sunitinib,Erlotinib,NCIH1650,12.7359625054994,7.396035671234131
Vorinostat,Dasatinib,NCIH1650,5.220668557811489,2.003265142440796
geldanamycin,Sorafenib,CAOV3,1.3318185914773402,2.388420820236206
vinblastine,Vorinostat,A2780,2.776867734737273,-1.879813551902771
metformin,geldanamycin,SKMEL30,-27.8178569354009,-31.454498291015625
paclitaxel,Lapatinib,NCIH23,-4.20883890972707,-5.900966644287109
Sunitinib,geldanamycin,SK-OV-3,2.78743688363977,5.843400478363037
metformin,Lapatinib,VCAP,-9.657849716236,-11.504121780395508
paclitaxel,Vorinostat,SW837,4.071661498679735,-2.151595115661621
Lapatinib,Erlotinib,SW-620,-10.586292641023492,-13.25806999206543
Lapatinib,geldanamycin,OV90,2.578081311550471,1.7963603734970093
metformin,Erlotinib,MDAMB436,-42.2483635713802,-45.37578201293945
vinblastine,Erlotinib,CAOV3,8.204494762209066,6.097073078155518
Sunitinib,Lapatinib,A2058,18.5317724911246,13.453561782836914
vinblastine,Vorinostat,T-47D,6.097122298913325,5.898665428161621
vinblastine,Lapatinib,A2780,-11.299328727708405,-3.955033302307129
Vorinostat,Sorafenib,T-47D,-6.22433036882608,-1.3336526155471802
paclitaxel,Lapatinib,NCIH1650,3.12612254618191,10.959580421447754
Sunitinib,Dasatinib,CAOV3,8.756217929094177,10.20370388031006
metformin,Sunitinib,RPMI7951,-1.757118944268968,-4.894659996032715
metformin,Sunitinib,NCIH1650,-51.402683514636095,-38.96660232543945
Sunitinib,Sorafenib,UACC62,-2.13735826282737,-2.6443850994110107
Lapatinib,Sorafenib,UACC62,8.88265541550952,12.271157264709473
Vorinostat,Dasatinib,CAOV3,5.58846482112586,1.4907821416854858
